2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram
или не	4	2
никогда не	2	9
так же	4	2
в меру	5	4
оно есть	4	3
в данном	3	3
и та	3	6
того или	2	2
перед нами	6	2
та или	3	2
или другим	2	2
в результате	6	2
с этим	3	3
– не	5	9
и как	4	10
точки зрения	14	12
далее в	2	2
того как	2	2
стало быть	15	10
мы получаем	2	2
есть и	3	6
что они	4	6
как бы	14	14
что в	7	7
уже не	9	3
– совершенно	4	3
в жизни	5	2
ни с	4	4
– это	5	6
мифа и	6	4
и уже	4	3
кроме того	2	3
но как	2	5
тех или	4	2
есть ни	9	6
было бы	9	3
таким образом	5	4
что если	3	3
это –	25	23
миф не	8	22
что я	5	2
только потому	3	2
жизни и	4	6
как таковой	5	4
но только	5	3
может только	2	2
конечно не	2	6
тут не	2	3
как нечто	2	4
в себе	8	15
и тогда	2	3
что здесь	3	2
только в	7	5
личность и	3	2
от этого	3	3
как не	2	2
жизнь и	2	5
смысла и	3	2
и –	9	4
вы не	3	2
все на	3	4
что миф	5	5
и это	8	5
что этот	2	3
личности и	10	6
и его	7	5
и только	2	4
тут тоже	2	2
не может	11	9
но что	5	7
не есть	40	47
говоря уже	3	2
и если	3	4
по себе	13	18
как только	5	3
миф и	3	2
– в	15	8
что по	2	2
может и	2	2
смысл и	3	2
тем что	2	2
субъекта и	5	4
же время	6	5
собственно говоря	2	2
и следовательно	3	5
или других	3	2
быть без	2	2
и бытия	3	3
в том	11	14
но в	3	2
– то	3	2
все равно	2	5
все же	2	4
в частности	2	2
мы имеем	5	3
как будто	2	7
что это	13	10
и при	2	2
так и	5	10
об этом	3	3
есть религия	4	3
но –	8	5
с точки	9	8
в ее	2	4
говорить о	11	5
между мифологией	2	5
и в	15	19
не будет	2	2
вместе с	2	2
она не	4	8
миф есть	10	6
другой стороны	2	4
все это	9	4
при этом	2	4
и с	4	5
да и	2	6
что мы	7	2
же есть	3	2
же и	2	9
что он	7	6
не раз	2	2
также и	4	2
самоутверждение личности	2	8
только тогда	5	7
с тем	4	2
бы только	4	2
в этом	11	8
должно быть	2	7
от всего	3	2
в мифе	6	16
это есть	13	8
бы ни	2	2
в их	3	2
но мы	2	2
еще не	4	4
в то	6	6
т е	46	30
что иное	8	3
как раз	4	5
в самом	2	5
это и	9	3
или нет	3	3
ее в	2	2
это все	2	2
во всех	2	2
и часто	2	2
себе и	2	3
и не	30	30
за пределы	3	4
вещи и	2	3
в вечности	5	6
в виде	3	2
и из	2	3
в одном	4	4
это значит	8	8
не как	4	2
совершенно не	3	7
– мы	5	3
как же	5	3
мы только	2	2
не просто	7	12
ни на	6	2
и когда	2	4
но и	4	12
не по	2	2
что тут	7	4
что личность	2	2
потому что	10	14
в которой	2	2
только не	3	2
понятие мифа	3	2
или иначе	2	2
в целях	2	3
с ними	4	2
с ним	3	4
можно сказать	5	5
личности но	3	2
жизнь личности	2	2
в каком	5	4
личности а	2	2
в ней	5	2
и идеи	2	2
в сфере	5	2
не было	2	3
поэтический образ	3	7
быть в	5	4
или в	7	2
что на	2	2
или вообще	3	3
если вы	5	2
об ее	2	2
в некоем	2	2
интеллигенции и	2	4
же это	5	4
тем или	2	2
что такое	5	3
в нем	5	10
в своей	3	8
что она	5	14
это не	12	10
прежде всего	11	8
но это	4	7
можно только	3	2
и т	17	17
– и	4	3
именно в	5	2
что оно	7	4
я уже	3	2
по крайней	7	9
человека и	2	2
иметь в	2	2
он всегда	2	2
алогическое становление	2	4
себя в	2	2
так чтобы	3	2
что с	2	2
