3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_3gram
и прежде всего	3	2
друг на друга	2	2
в этом мире	6	2
для того чтобы	7	5
мы уже сказали	3	2
в пределах отдельных	2	2
в греческом романе	3	22
пределах отдельных авантюр	2	2
и его жизни	2	4
в том что	3	2
как мы уже	4	8
не только в	5	2
греческом романе и	2	2
в этом отношении	2	3
мы уже говорили	3	3
не для того	2	2
в то же	4	6
с точки зрения	8	2
но и в	3	2
к себе самому	3	4
и в то	3	5
в последующей истории	2	4
том числе и	2	2
и т п	11	8
связи с этим	2	2
в связи с	7	5
пространства и времени	2	3
равно как и	2	2
может быть и	2	2
то же время	4	9
до сих пор	2	3
и в особенности	3	2
в авантюрном времени	2	5
в том числе	3	4
