3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram
в бесконечный ряд	2	7
в конце концов	6	3
это уже не	2	2
во всяком случае	2	6
о том что	9	3
потому что они	2	2
и то что	3	7
тех или иных	2	4
для нас не	2	3
то время как	3	4
в сравнении с	3	2
по крайней мере	4	5
как будто бы	3	3
и в частности	3	2
бы то ни	2	4
не что иное	3	4
в настоящее время	3	2
в том что	8	9
необходимо сказать что	4	2
в то время	3	4
в таком случае	2	4
с точки зрения	8	2
тем не менее	5	10
но и в	2	2
в данном случае	2	7
можно сказать что	3	2
также и то	2	4
с другой стороны	5	5
дело в том	2	3
потому что он	2	4
в связи с	7	7
точно так же	3	3
в этом стихотворении	2	2
такого же рода	2	2
не может быть	2	5
никак не может	2	2
мы находим в	2	2
что иное как	3	4
но даже и	2	4
до сих пор	2	2
