3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram
так или иначе	2	2
и в самом	2	2
на то что	2	2
в свою очередь	2	3
во всяком случае	5	5
для того чтобы	8	15
в соответствии с	2	3
в зависимости от	4	5
в свое время	2	2
только потому что	6	6
но все же	2	2
на самом деле	2	2
по крайней мере	6	5
только в том	2	3
и вовсе не	2	2
в том что	10	15
вместе с тем	2	3
в области языка	2	2
того или иного	2	3
в этом отношении	3	5
в самом деле	7	7
в то же	3	2
с точки зрения	8	9
в русском языке	9	4
тем не менее	5	4
т е такие	2	2
в этом случае	2	2
этой точки зрения	2	2
и потому что	2	2
хотя бы и	2	2
с другой стороны	7	6
можно было бы	9	3
то обстоятельство что	7	8
и т п	24	18
в данном отношении	2	2
и т д	14	14
в связи с	3	3
не может быть	4	3
в этом смысле	5	3
то же время	3	2
