3gram	Losev_DialektikaMifa_partition_part3_wordlist_3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram
одно и то	4	2
есть не что	2	3
и прежде всего	2	3
так или иначе	2	2
во всяком случае	2	2
крайней мере в	2	3
о том что	4	5
сам по себе	3	5
не говоря уже	2	2
т е в	3	4
сама по себе	7	4
в зависимости от	2	2
не есть догмат	4	5
то время как	3	4
по крайней мере	9	5
субъекта и объекта	4	3
говоря уже о	2	2
не что иное	3	6
в том что	6	3
не могут быть	2	2
не есть ни	6	3
в то время	3	4
ни в каком	3	3
в таком случае	3	10
д и т	2	5
в самом деле	3	5
это значит что	8	21
сами по себе	3	3
с точки зрения	8	14
иметь в виду	2	2
тем не менее	2	10
с тех пор	2	2
только тогда когда	4	3
с другой стороны	4	2
имеется в виду	2	3
само по себе	2	5
т д и	2	6
и не только	5	3
и т д	15	23
не может быть	3	6
что иное как	3	6
как и все	2	2
вовсе не есть	2	5
и то же	4	2
миф не есть	19	5
