3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part3_wordlist_3gram
в своей книге	2	2
и прежде всего	3	3
той или иной	2	5
в значительной степени	2	2
у рабле в	2	3
средневековья и возрождения	2	2
в отличие от	3	4
в романе рабле	15	2
и т.п все	2	2
и в других	2	2
в той или	2	5
на самом деле	3	2
или меньшей степени	2	4
друг в друга	2	2
в большей или	2	4
в гротескном реализме	2	4
века и в	2	3
смеховой культуры и	3	2
большей или меньшей	3	4
народной смеховой культуры	6	21
как мы уже	5	5
в этом отношении	2	3
мы уже говорили	3	7
его связь с	3	2
но и в	2	2
смехового аспекта мира	3	3
том числе и	2	7
смеха и его	2	2
до сих пор	4	4
в том числе	3	10
