3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram
в бесконечный ряд	14	2
во всяком случае	4	2
для того чтобы	2	2
о том что	3	9
тех или иных	3	2
то время как	2	3
в сравнении с	2	3
по крайней мере	6	4
как будто бы	2	3
и в частности	2	3
в значительной мере	2	2
то и другое	3	2
не что иное	2	3
в том что	8	8
необходимо сказать что	3	4
чем иным как	2	2
вместе с тем	3	3
в то время	2	3
с точки зрения	11	8
тем не менее	10	5
в данном случае	5	2
с другой стороны	6	5
потому что он	2	2
в связи с	3	7
точно так же	3	3
что иное как	2	3
в этом смысле	3	3
но даже и	4	2
не чем иным	2	2
