3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part5_wordlist_3gram
в известной мере	2	3
и прежде всего	3	3
то есть в	2	4
в отличие от	2	4
в романе рабле	7	2
и в эпоху	4	2
в отрыве от	2	2
нужно сказать что	2	4
на самом деле	4	2
гротескной концепции тела	3	3
в том что	6	6
на народных языках	2	5
и др в	2	2
в этом отношении	5	3
мы уже говорили	2	7
в большинстве случаев	2	2
с точки зрения	2	3
сих пор еще	2	3
смен и обновлений	3	2
существенную роль в	2	2
том числе и	2	7
дело в том	2	2
в средние века	2	4
в xvii веке	2	2
до сих пор	3	4
в том числе	4	10
взглянуть на мир	2	3
