2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part5_wordlist_2gram
мы имеем	14	19
связи с	8	6
такой же	2	2
эти случаи	2	3
никогда не	3	3
не совсем	6	3
в нем	7	9
так же	5	3
более поздних	3	2
видели что	2	4
из материалов	3	2
его в	9	3
к нему	3	5
пребывание в	5	4
это не	6	6
в лесу	2	26
после того	3	2
в свете	3	5
прежде всего	6	3
сказке герой	5	4
но это	7	3
и он	6	2
со стороны	2	3
в данном	3	4
и в	25	22
одна из	2	2
но не	5	7
в русской	3	3
вместе с	22	9
в избушке	2	3
если бы	2	6
этих случаях	8	7
сказке в	5	4
в качестве	7	2
она не	2	4
данном случае	2	3
и т	20	16
в свою	3	4
для нас	5	4
другой стороны	8	7
у него	2	3
по материалам	2	2
знаем что	6	2
живет в	5	5
связь с	8	6
связан с	2	2
герой в	4	2
и потому	2	2
б неи	5	2
в царство	3	4
с этим	5	8
и с	3	4
что герой	3	3
и как	3	3
случаях мы	2	2
образом в	2	2
того что	2	5
точки зрения	2	2
не менее	4	5
что он	22	9
показывает что	5	5
после этого	2	2
так что	2	5
стране смерти	2	2
тем не	4	5
с появлением	5	4
здесь можно	2	6
с тем	8	2
то же	4	6
в целом	3	3
на этом	3	4
к этому	2	7
будем здесь	2	2
и герой	2	2
представляет собой	7	3
сих пор	2	5
что в	8	15
уже не	11	7
в которых	3	2
в этом	10	17
представления о	3	2
некоторое время	2	3
за ним	4	3
таких примеров	2	2
следует за	2	2
в нее	6	2
§ неи	2	3
роль в	2	2
его и	2	4
видим что	5	4
не всегда	4	4
в обряде	5	5
с одной	7	2
и вновь	2	2
от них	2	3
этого мотива	8	4
еще не	8	10
в то	3	2
т е	16	16
и для	2	2
этом случае	7	5
они не	3	4
так как	11	7
этой сказки	2	2
в него	5	2
с ней	2	6
и др	3	2
сюда же	3	2
таким образом	9	10
а в	3	6
эти материалы	6	2
в животное	6	3
ее в	2	3
этот обряд	6	2
уже только	2	2
его на	4	2
до сих	2	5
на нее	2	3
не исключают	2	2
уже выше	2	2
на том	3	3
как мы	5	8
а именно	4	4
вопрос о	2	2
вовсе не	2	2
представляют собой	3	4
все эти	8	4
например в	5	2
в других	2	4
жизни и	2	2
на смену	4	4
все еще	4	6
в некоторых	4	5
сказки в	3	4
он видит	4	3
легко узнаем	2	2
увидим ниже	3	3
в ином	3	6
не в	6	4
от обряда	2	2
но есть	2	2
некоторых случаях	2	3
это делается	4	2
же можно	4	2
но все	5	2
отношению к	2	2
сказке о	2	4
со своими	2	2
мы видим	8	8
находится в	2	4
царство мертвых	2	3
и не	11	12
встречается в	3	2
даже в	2	2
может быть	17	11
на ней	2	5
в виде	9	2
связано с	5	4
мы знаем	8	2
можно проследить	4	3
мы можем	2	6
и все	3	3
о том	7	3
так в	2	6
в этой	3	5
птицу и	5	2
при помощи	7	3
в связи	4	3
совершенно не	2	2
что у	4	3
мы должны	4	7
что здесь	3	6
только в	7	4
но и	13	12
не будем	5	3
образом мы	2	2
мы здесь	4	4
в дальнейшем	4	4
аф неи	5	5
ином мире	2	4
сказать что	2	3
из них	2	7
в обрядах	5	3
представление о	17	3
в этих	6	11
выше мы	2	3
из дому	2	3
что и	6	9
как в	6	2
новой гвинее	2	2
должно было	2	2
то что	7	7
как и	7	3
мы видели	7	13
т д	18	15
мы увидим	5	3
потому что	7	3
в другой	3	4
неи в	9	8
в течение	2	6
если не	4	2
этот случай	3	8
один из	2	5
в особенности	3	2
и это	4	2
и здесь	7	7
и пр	3	11
как герой	2	3
с обрядом	3	2
он на	2	2
и его	9	4
в сказках	2	9
в животном	2	2
него и	5	2
в дом	2	12
не может	6	4
он не	4	5
русской сказке	4	2
в его	12	3
и она	3	3
одним из	2	4
когда герой	4	2
не только	13	14
том что	8	8
можно сказать	2	2
мы уже	4	6
а затем	7	3
и они	2	4
на себя	3	2
во время	7	6
могут быть	6	5
попадает в	2	11
ту же	2	2
тем что	10	4
а не	2	6
же как	4	2
раньше чем	4	3
их в	3	3
в ней	5	2
то это	3	2
никто не	3	2
и действительно	5	2
и на	8	4
можно найти	2	4
же в	2	2
после смерти	3	2
по отношению	2	2
этот мотив	6	5
или в	6	11
ничего не	2	6
временной смерти	3	2
одной стороны	7	2
там где	6	7
превращается в	7	3
в том	6	9
книге мертвых	2	2
превращение в	2	2
в сказке	18	50
и что	8	2
здесь мы	5	5
с другой	9	7
но он	2	4
друг друга	3	6
а если	2	3
в пределах	4	4
все же	10	5
его не	3	3
в частности	7	5
