3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram
в конце концов	3	3
и в самом	4	2
надо сказать что	2	3
в том и	2	2
во всяком случае	2	6
на то что	6	8
для того чтобы	13	5
о том что	4	7
и таким образом	2	2
в сущности говоря	4	3
в художественном произведении	5	3
одной и той	4	3
с таким образом	8	8
на самом деле	5	2
заключается в том	10	6
не в том	2	5
то время как	2	5
мы видим что	2	2
как и в	2	4
только в том	4	3
в том что	17	9
искусство как прием	2	2
в то время	3	5
в этом отношении	5	2
подобно тому как	2	5
в самом деле	11	7
с точки зрения	10	2
никогда не может	3	2
и той же	4	3
тем не менее	4	2
указывает на то	2	3
то же самое	6	2
так же точно	7	3
этой точки зрения	2	5
том что она	3	3
с другой стороны	2	5
и т п	8	15
само по себе	3	5
и т д	2	8
точно так же	3	3
в том случае	4	2
не может быть	8	8
совершенно ясно что	6	14
в психологии искусства	4	2
в конечном счете	3	3
так же как	4	4
до сих пор	5	3
в том чтобы	3	7
что и в	3	2
состоит в том	2	2
когда говорит что	2	3
