2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_2gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_2gram
между тем	2	2
не так	2	2
и ее	6	10
связи с	13	3
в зависимости	3	2
всего в	2	3
задачи и	3	4
никогда не	2	4
в художественном	2	3
каждый элемент	4	2
всего этого	5	2
в нем	13	14
на почве	9	13
если же	2	2
оно не	4	4
его в	3	3
так и	8	18
в своей	7	11
со всею	2	5
самой литературы	2	6
это не	2	2
с точки	7	13
литературного произведения	3	4
прежде всего	15	22
формалистов не	3	3
в ее	2	8
но это	2	3
раз и	4	2
со стороны	2	5
как о	4	4
произведения искусства	2	3
не о	4	3
и в	38	24
но не	2	3
в процессе	9	9
зависимости от	3	3
того или	4	2
вместе с	6	2
художественная конструкция	2	2
если бы	5	4
есть лишь	2	2
к тому	4	3
значение и	3	3
она не	2	6
и т	14	12
независимо от	4	4
для него	7	3
входит в	4	6
отношение к	2	3
здесь не	4	3
именно в	5	8
по аналогии	2	3
все это	3	9
в художественную	3	2
при этом	9	5
как к	3	3
не приходится	3	2
формализма в	4	2
о литературе	3	6
они были	2	2
от нее	4	2
в результате	6	2
одним словом	4	5
с этим	5	2
и с	9	8
произведений в	2	2
общения и	2	2
к действительности	3	2
элементы художественной	2	3
и как	3	3
а лишь	3	2
того что	3	5
в систему	2	3
сводится к	5	3
точки зрения	8	16
метод в	4	4
этом пункте	2	2
значения и	2	2
что он	5	3
так сказать	3	3
сами по	2	2
была бы	3	2
главным образом	3	4
в большинстве	4	3
конструктивные задачи	2	6
ни стало	2	2
с тем	11	2
и отчасти	3	3
место в	3	7
в целом	3	6
то же	6	10
как бы	4	6
и их	3	10
между ними	2	3
что в	7	4
является для	2	2
уже не	7	2
в этом	27	15
истории литературы	6	12
должно быть	2	11
формального метода	15	16
как таковое	4	2
лишь в	7	8
борьба с	2	3
формы и	2	5
должна быть	5	7
самый предмет	2	2
или иного	5	3
нового направления	3	3
он в	2	2
в их	6	11
не оказалось	2	2
в то	5	9
т е	26	34
они не	4	3
как раз	6	2
с другими	10	4
конструкции и	4	2
было бы	6	6
в самом	16	5
быть и	3	4
и др	3	5
и всякое	2	3
только на	3	5
и до	3	5
таким образом	20	13
науки о	2	2
менее всего	3	2
и может	3	4
а в	6	6
дело идет	4	3
это и	5	3
художественного произведения	6	23
лишь для	4	2
применении к	2	2
однако не	3	2
пр и	4	2
эти определения	2	3
специфических особенностях	2	2
как мы	7	5
вовсе не	11	10
произведения в	2	8
все эти	6	6
жизни и	3	7
русский формальный	2	2
как это	2	6
только и	3	4
как ее	3	2
во всех	5	5
т п	9	4
как таковой	3	6
если мы	5	2
социального общения	4	6
не в	15	8
но все	3	2
на литературу	2	6
произведение как	2	3
чем же	3	2
лишь как	4	5
как она	2	3
всех этих	3	3
и не	20	20
язык поэзии	2	2
произведения и	3	8
может быть	23	14
его с	3	2
ни в	2	2
формалистов и	3	2
и наконец	4	3
произведения как	2	2
даже и	4	2
большинстве случаев	3	2
и все	3	6
с помощью	10	3
на самом	3	7
в этой	6	6
не как	4	4
более того	5	3
формальный метод	10	9
по существу	7	2
и к	4	4
в связи	10	4
но ведь	3	2
ничем не	2	3
художественное произведение	2	6
ни на	2	3
только в	6	2
бы в	5	3
но и	13	7
для этого	2	4
всякого искусства	2	2
от этого	3	2
в истории	6	4
не по	2	3
самое понятие	2	2
и более	2	2
то ни	2	3
что и	8	2
как в	4	8
своей статье	3	3
материала и	4	3
в искусстве	2	5
идет о	2	2
то что	6	8
и лишь	2	2
мы видели	4	2
как и	9	11
т д	5	8
как такового	6	2
произведение искусства	2	2
в которой	2	4
как их	2	2
один из	2	3
в особенности	4	3
в области	3	3
и методы	2	2
и это	2	2
и здесь	3	6
специфических особенностей	3	2
говорит он	5	3
и пр	21	17
на язык	2	3
и его	21	10
русского формализма	2	2
идеологического смысла	2	3
до конца	2	7
самом деле	8	6
смысла с	2	2
не может	14	16
он не	6	3
в его	10	23
не есть	3	2
идеологического кругозора	5	16
с ним	2	2
к другим	2	2
с его	11	4
не только	9	7
по себе	7	5
единства и	2	2
в понимании	2	5
тем самым	2	3
отнюдь не	8	6
или же	2	3
литературных произведений	2	3
а как	3	2
произведения а	3	2
литературы с	2	3
художественной конструкции	6	7
индивидуального потребления	2	2
же как	3	2
в единстве	2	7
мы не	3	3
а не	6	10
а только	2	2
в ней	6	10
от всех	2	3
и даже	4	3
и других	2	3
литературы и	4	2
на фоне	4	3
же время	5	8
и на	3	8
мы ни	2	2
в общем	5	3
во всяком	5	4
не было	6	3
его как	2	3
особенно в	3	3
поэтического произведения	8	3
все более	2	2
е как	2	2
подхода к	2	2
хотя бы	6	5
ничего не	4	2
именно как	4	12
все время	6	2
в основе	5	3
всяком случае	5	4
в том	11	6
в применении	2	2
но в	4	5
конструктивное значение	8	4
во всей	2	2
в широком	2	3
метода в	2	6
с другой	3	5
и от	2	7
и должно	5	2
в пределах	12	6
все же	8	3
его не	2	2
приводит к	2	2
художественную конструкцию	3	2
