3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram
в конце концов	3	2
и в самом	2	2
на то что	8	16
в том и	2	2
для того чтобы	5	19
не в состоянии	3	3
и если мы	2	4
о том что	7	6
и таким образом	2	2
в отличие от	3	2
в сущности говоря	3	8
в зависимости от	5	6
одной и той	3	2
с таким образом	8	2
на самом деле	2	2
заключается в том	6	6
том что мы	2	2
легко показать что	2	2
все то что	3	2
мы видим что	2	3
в том что	9	14
вместе с тем	2	3
что в этом	3	6
мы никогда не	4	2
в этом отношении	2	3
в самом деле	7	5
не только не	3	4
с точки зрения	2	2
и той же	3	2
указывает на то	3	2
так же точно	3	5
то же самое	2	3
совершенно очевидно что	2	2
с другой стороны	5	5
по этому поводу	2	4
и т п	15	3
само по себе	5	2
потому что он	2	2
с одной стороны	5	12
и т д	8	3
мы увидим что	2	6
никак не может	2	3
не может быть	8	2
совершенно ясно что	14	5
по себе не	2	2
так же как	4	2
показывает что в	2	2
до сих пор	3	5
в том чтобы	7	2
состоит в том	2	2
когда говорит что	3	2
