2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram
связи с	9	9
интеллектуальных операций	4	2
наряду с	3	2
формы мышления	7	2
которую мы	5	2
никогда не	4	8
так же	17	4
и мышления	2	3
к тому	4	7
перед нами	10	2
мы склонны	3	2
для нас	2	4
по сравнению	4	5
у ребенка	19	15
в результате	3	3
с этим	4	3
но на	3	3
переход от	3	4
и как	5	2
едва ли	2	7
точки зрения	6	26
форм поведения	3	2
того как	3	4
эту пору	2	3
что они	10	3
в целом	13	10
как бы	10	7
что в	17	14
и речь	4	2
исследования пиаже	2	3
этом смысле	2	2
что как	2	3
той же	4	2
нас к	2	2
с другими	2	3
было бы	10	10
смысле этого	4	3
таким образом	17	14
а в	4	4
мышления с	2	2
высшей степени	6	7
развития мышления	5	3
пользу того	2	2
по этому	3	6
когда ребенок	2	2
и т.д	5	12
речь в	2	3
экспериментальных исследований	2	2
в эксперименте	4	2
отношению к	2	5
и другое	5	2
в себя	3	2
с помощью	42	5
в связи	6	6
как показывают	2	2
в себе	2	2
только в	10	4
помощью которого	2	2
от этого	6	2
речевого развития	2	3
и сам	3	3
или иной	3	2
в генетическом	4	7
мы увидим	4	2
сравнению с	3	5
интеллектуальной деятельности	7	2
и это	4	3
и его	2	4
и только	2	3
ребенка в	12	10
собственном смысле	6	3
для всего	2	2
не может	6	9
он не	4	7
могли бы	11	4
склонны видеть	2	2
по себе	7	7
интересующей нас	2	4
имеет свое	2	2
в них	2	4
различным линиям	2	2
тем что	8	2
первых слов	2	6
корни и	2	2
знаем о	2	2
в котором	3	2
в том	23	33
развитии речи	5	11
в эту	2	4
все же	6	4
в совершенно	2	4
приводит к	4	5
в частности	4	6
мы имеем	4	3
для ребенка	10	9
что это	5	6
так и	5	8
об этом	2	3
является то	7	2
показал что	3	5
и в	25	15
не можем	3	3
вместе с	14	6
оба эти	3	2
в качестве	12	4
этой проблемы	2	2
не станем	4	2
слов ребенка	2	3
употребление знака	3	3
все это	6	4
при этом	5	3
этот вопрос	3	5
со всей	2	4
уже в	7	5
к которому	3	6
что мы	7	9
все что	2	5
тому как	2	2
между мышлением	3	5
столь же	7	2
что он	6	12
с несомненностью	3	2
вытекает из	2	3
детской речи	6	19
по пути	4	2
для обозначения	2	2
что речь	4	2
в этом	14	19
должно быть	2	2
шимпанзе с	3	2
в мышлении	11	2
в поведении	5	2
как уже	6	2
в самом	3	11
речь не	2	2
мышления и	23	16
отличие от	6	3
к выводу	2	6
об отношении	2	3
которые не	4	2
это обстоятельство	3	2
связь между	4	5
на основе	22	7
мышления в	17	9
значение в	3	3
и не	10	7
речи для	2	2
у животных	3	6
смысле слова	2	5
речь мы	2	2
мы можем	7	10
в одном	2	2
состоит в	3	3
связи или	2	2
но и	4	10
того чтобы	8	12
ребенка и	17	4
для того	7	10
таким же	2	3
потому что	6	7
в собственном	6	3
в пользу	5	4
когда он	3	3
что ребенок	7	8
в его	15	2
с ним	4	3
и речи	20	13
деятельность ребенка	2	2
тем самым	2	3
ребенка с	3	4
были бы	3	2
в функциональном	10	2
же как	6	2
мы не	9	10
раньше чем	2	2
указывает на	2	2
этого слова	4	3
из которых	5	3
ребенок не	9	2
мышлении ребенка	7	2
в последнее	3	4
по отношению	3	6
в детском	4	2
с мы	4	3
или в	2	3
в начале	2	4
а с	3	4
ребенком и	3	2
иначе говоря	2	2
в зависимости	5	6
с мышлением	3	5
видели что	3	5
можно было	6	5
что она	5	3
в своей	2	4
прежде всего	4	4
в высшей	6	7
но не	6	3
речи не	2	2
если бы	5	8
тот же	2	7
независимо от	4	4
для него	5	3
именно в	5	2
что оно	4	4
связь с	3	2
мы будем	2	3
человека и	5	3
говорили выше	2	2
что с	4	5
этот вывод	3	2
взрослого человека	10	3
развития в	2	6
вопрос об	2	2
во всем	3	2
а также	2	2
представляет собой	6	2
и их	3	5
которых он	2	3
с одной	5	7
из того	2	4
и для	2	2
детского мышления	8	23
фазу в	2	4
и той	2	2
генетическом отношении	3	2
мышления которая	3	2
последнее время	3	5
как известно	3	6
не представляет	2	2
относятся к	2	2
на том	3	2
если мы	3	6
друг с	5	2
тогда когда	4	5
мышление и	5	3
мы видим	3	4
находится в	2	2
внутренней речи	19	5
на этой	5	2
приводит нас	3	2
мы должны	6	6
мышления ребенка	7	3
не является	8	9
для этого	2	3
как он	3	6
к установлению	2	3
речи и	8	15
в этих	2	2
и особенно	2	3
то что	15	20
