2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram
в отдельности	2	2
мы имеем	7	12
связи с	3	3
и этим	2	3
из этих	3	3
главе о	2	2
эти случаи	2	7
еще один	2	2
никогда не	2	4
что это	2	6
своего отца	3	4
так же	18	6
в нем	2	6
его в	9	3
к нему	6	7
так и	10	5
об этом	7	6
что она	3	5
это не	5	10
в лесу	12	2
после того	2	4
в свете	3	3
но это	3	3
в форме	2	2
и он	3	3
в одной	3	2
в данном	3	4
и в	26	24
одна из	2	7
в брак	2	4
но не	5	6
в русской	3	5
не случайно	2	3
вместе с	6	7
видеть в	2	3
в силу	5	2
этих случаях	8	16
еще другим	3	2
в качестве	7	3
она не	3	2
данном случае	3	3
перед нами	3	2
и т	27	17
для нас	3	6
должен был	3	2
здесь не	4	2
он стал	2	2
отношение к	2	5
другой стороны	4	8
все это	2	8
домой и	3	2
происходит в	2	3
знаем что	7	3
при этом	3	4
у него	5	10
связь с	12	2
герой в	3	2
этот вопрос	2	2
и другие	3	9
иногда это	2	2
с этим	2	2
что герой	2	12
уже в	2	3
по его	2	2
на земле	3	2
что мы	3	3
того что	2	6
того как	4	3
указать что	2	2
начинается с	2	4
не менее	2	5
что он	10	21
показывает что	10	8
так что	2	3
тем не	2	4
но для	2	2
здесь можно	2	2
в иной	6	2
есть и	2	4
что они	6	3
во всем	3	2
и тот	2	2
огонь и	4	2
то же	8	8
к этому	5	2
как бы	3	4
таких случаев	2	3
царство и	2	2
представляет собой	2	4
сих пор	5	3
что в	14	13
уже не	5	2
в этом	7	12
представления о	3	4
можно предположить	3	2
и там	2	2
этого не	2	2
видим что	2	3
в мифе	2	2
не всегда	6	4
в обряде	2	3
нет необходимости	3	2
волшебных предметов	7	2
на острове	2	2
к сказке	4	2
совершенно ясно	2	4
сад или	2	2
он в	4	2
этого мотива	3	5
еще не	6	8
связанные с	3	2
нас к	7	2
т е	18	16
герой получает	4	3
так как	9	8
и у	5	2
в тех	4	5
было бы	2	2
сказке он	4	2
сказке это	3	2
другими словами	2	2
с того	3	4
и др	5	2
этой стороны	2	3
с целью	2	2
таким образом	10	7
а в	8	10
они же	2	3
случаи когда	2	2
его на	4	2
до сих	5	2
сказка показывает	3	2
тогда как	4	3
на то	3	3
уже выше	2	6
на том	2	2
как мы	5	3
а именно	3	6
вопрос о	4	3
имеется в	2	2
вовсе не	4	4
представляют собой	4	5
все эти	3	2
например в	3	3
на вопрос	3	4
в других	2	4
показывают что	2	6
к ним	2	2
три года	4	2
не могут	2	2
точно так	5	2
как это	3	2
между прочим	2	3
не в	5	9
но эта	4	2
но есть	2	3
так например	2	2
имеем в	2	5
но все	5	4
у афанасьева	2	2
со змеем	2	3
случай показывает	2	2
сказке о	3	3
в русских	2	2
помощника и	2	3
мы видим	6	10
или он	3	3
и не	9	4
возможно что	2	3
может быть	14	14
ни в	2	2
на него	3	2
мы знаем	8	2
такое же	4	2
которой он	2	3
конечно не	2	2
и все	2	6
мы можем	6	4
к себе	3	3
он также	2	2
мы рассмотрим	7	3
с собой	5	7
так в	4	4
их не	2	2
это видно	2	2
при помощи	10	3
по существу	3	4
аф вар	3	4
в связи	2	2
героя а	2	2
е в	3	2
в тридесятое	4	4
мы должны	5	4
тридесятое царство	4	4
что у	3	4
что здесь	7	7
только в	3	6
не просто	4	2
но и	12	11
показывает как	2	3
мы здесь	2	2
в дальнейшем	6	3
дело не	2	5
аф неи	3	4
не по	2	2
известно что	2	2
из них	2	2
как он	6	6
не имеет	3	4
у нее	2	2
в этих	7	13
выше мы	2	3
что и	9	8
как в	7	12
сказка начинается	2	2
то что	16	7
о том	4	9
увидим что	2	2
мы видели	6	7
мы увидим	3	6
потому что	6	9
в другой	3	3
в американских	2	2
как и	7	6
т д	24	16
право на	2	5
на коне	8	2
отец и	2	2
этот случай	9	9
в особенности	2	2
царства мертвых	2	3
в мифах	2	3
и здесь	5	12
что этот	4	2
говорит о	2	2
с этой	2	6
можно указать	2	2
более поздняя	2	3
и его	10	3
когда он	6	3
не может	6	14
он не	7	6
русской сказке	4	5
превратился в	2	2
в образе	3	3
случаях когда	3	4
и если	3	3
когда герой	4	4
не только	15	21
мы пока	2	2
том что	3	10
мы уже	5	4
на этот	2	2
и тем	2	2
во время	7	6
на себя	4	2
он показывает	2	6
попадает в	3	2
тем что	5	6
тех случаях	2	4
же как	13	4
хотя и	2	3
раньше чем	5	3
а не	6	8
и даже	4	3
это происходит	2	3
то это	5	5
дает ему	4	2
и на	2	2
можно найти	2	2
эта связь	5	3
этот мотив	4	3
он говорит	2	2
или в	3	8
предположить что	6	3
он может	2	4
ничего не	5	5
иной мир	6	2
эта форма	2	3
представление об	3	5
превращается в	7	3
в том	3	7
в одну	2	2
там где	3	5
русских сказках	2	2
иное царство	6	2
но в	5	5
в таких	2	2
здесь мы	2	5
в сказке	47	36
и что	5	10
на его	3	2
с другой	4	9
от него	2	3
но он	4	2
власть над	11	2
и по	5	3
сказать что	2	2
все же	9	9
