3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_3gram
то ни стало	2	2
во всяком случае	4	5
художественного произведения в	2	2
формальный метод в	3	2
в зависимости от	2	3
так и в	4	3
т е как	2	2
на самом деле	6	3
и не в	2	2
прежде всего в	3	2
в своей статье	3	3
как мы видели	2	4
в применении к	2	2
в этом пункте	2	2
того или иного	2	4
в истории литературы	2	2
и в этом	2	5
в большинстве случаев	2	3
в то же	8	5
сами по себе	2	2
с точки зрения	13	7
только и может	2	2
пр и пр	2	4
и т п	4	9
связи с этим	2	3
и пр и	2	4
и т д	8	5
в связи с	2	10
не может быть	5	10
и не может	2	3
русский формальный метод	2	2
может быть и	3	3
то же время	8	5
дело идет о	2	2
формального метода в	4	2
