2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram
мы имеем	7	19
я тебя	2	2
связи с	3	6
относится к	3	2
из этих	3	3
эти случаи	2	3
в этот	4	2
никогда не	2	3
в нем	2	9
так же	18	3
видели что	3	4
его в	9	3
к нему	6	5
так и	10	2
что она	3	5
это не	5	6
в лесу	12	26
после того	2	2
в свете	3	5
сказке герой	3	4
но это	3	3
и он	3	2
в одной	3	3
в данном	3	4
и в	26	22
одна из	2	2
в брак	2	14
но не	5	7
в русской	3	3
стоит на	2	3
вместе с	6	9
если бы	2	6
в немецкой	2	3
в силу	5	2
этих случаях	8	7
сказке в	2	4
в качестве	7	2
она не	3	4
данном случае	3	3
и т	27	16
сказка не	2	2
для нас	3	4
должен был	3	3
здесь не	4	3
отношение к	2	4
другой стороны	4	7
у него	5	3
при этом	3	2
происходит в	2	2
знаем что	7	2
живет в	2	5
связь с	12	6
связан с	3	2
герой в	3	2
вступают в	2	2
связана с	2	3
этот вопрос	2	2
в царство	2	4
и другие	3	4
с этим	2	8
и с	5	4
и есть	2	2
что герой	2	3
частный случай	4	2
не сохранила	3	2
и как	5	3
того что	2	5
не менее	2	5
указать что	2	3
не дает	2	2
все что	4	3
что он	10	9
одной сказке	2	3
показывает что	10	5
так что	2	5
в своем	2	2
тем не	2	5
с появлением	4	4
здесь можно	2	6
есть и	2	5
что они	6	8
с тем	2	2
то же	8	6
в целом	2	3
на этом	2	4
к этому	5	7
а также	3	2
представляет собой	2	3
здесь на	2	2
во все	2	2
сих пор	5	5
что в	14	15
уже не	5	7
в которых	4	2
в этом	7	17
представления о	3	2
на могилу	2	12
и там	2	4
его и	2	4
видим что	2	4
у тебя	2	2
не всегда	6	4
не мог	3	2
в обряде	2	5
на острове	2	3
видели как	2	3
от них	2	3
этого мотива	3	4
еще не	6	10
т е	18	16
этом случае	3	5
имеем и	2	3
что иное	3	3
так как	9	7
и у	5	3
в тех	4	2
было бы	2	3
в могилу	2	2
с того	3	2
и др	5	2
таким образом	10	10
а в	8	6
с миром	3	2
случаи когда	2	4
в животное	5	3
и и	3	2
его на	4	2
до сих	5	5
уже выше	2	2
на том	2	3
как мы	5	8
а именно	3	4
вопрос о	4	2
вовсе не	4	2
ж ст	2	5
представляют собой	4	4
все эти	3	4
например в	3	2
белый цвет	2	4
в других	2	4
в лес	3	12
за это	2	2
свете этих	4	2
все еще	3	6
точно так	5	2
в некоторых	5	5
на смену	3	4
как это	3	4
между прочим	2	3
не в	5	4
но есть	2	2
некоторых случаях	4	3
имеем в	2	4
у нас	2	4
но все	5	2
сказке о	3	4
в русских	2	3
мы видим	6	8
возможно что	2	6
и не	9	12
может быть	14	11
даже в	4	2
ни в	2	2
в виде	2	2
мы знаем	8	2
не видно	2	3
и все	2	3
мы можем	6	6
в одном	5	2
мы рассмотрим	7	2
о том	4	3
с собой	5	2
так в	4	6
в этой	2	5
при помощи	10	3
обряда посвящения	5	4
в связи	2	3
иное как	3	3
мы должны	5	7
что у	3	3
что здесь	7	6
только в	3	4
но и	12	12
в другом	5	2
не что	3	3
мы здесь	2	4
в дальнейшем	6	4
аф неи	3	5
известно что	2	2
из них	2	7
не имеет	3	2
у нее	2	2
и более	3	2
в этих	7	11
выше мы	2	3
в доме	4	12
то мы	2	2
что и	9	9
как в	7	2
то что	16	7
как и	7	3
мы видели	6	13
т д	24	15
мы увидим	3	3
потому что	6	3
в другой	3	4
неи в	4	8
указать на	3	2
этот случай	9	8
в особенности	2	2
и здесь	5	7
и пр	11	11
поставить вопрос	2	2
и его	10	4
с переходом	2	2
с ними	5	3
не может	6	4
он не	7	5
ему как	2	2
русской сказке	4	2
в его	5	3
и то	6	2
когда герой	4	2
не только	15	14
том что	3	8
мы уже	5	6
видели выше	2	3
а затем	3	3
здесь сказка	2	2
и они	2	4
на себя	4	2
во время	7	6
могут быть	6	5
попадает в	3	11
и яга	3	3
тем что	5	4
а не	6	6
случаи показывают	2	2
хотя и	2	2
этих материалов	2	3
же как	13	2
раньше чем	5	3
и даже	4	2
их в	7	3
то это	5	2
на это	2	2
и действительно	3	2
и на	2	4
есть только	3	2
можно найти	2	4
же в	3	2
из-за могилы	2	2
связанных с	2	2
но этот	2	2
этот мотив	4	5
немецкой сказке	2	3
или в	3	11
предположить что	6	7
что на	2	4
ничего не	5	6
в северной	2	3
там где	3	7
превращается в	7	3
в том	3	9
русских сказках	2	2
в сказке	47	50
но в	5	10
здесь мы	2	5
и что	5	2
на его	3	3
как указано	2	2
с другой	4	7
от него	2	2
и вот	2	2
но он	4	4
власть над	11	4
сказать что	2	3
все же	9	5
в частности	2	5
