2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram
для них	3	2
не так	4	3
он был	2	3
мы имеем	2	6
связи с	7	3
далеко не	4	2
как будто	3	11
в нем	6	5
так же	5	5
можно было	2	4
есть в	2	7
из этого	4	3
к нему	3	3
так и	7	10
об этом	4	6
его в	6	2
несмотря на	6	4
с точки	8	11
в своей	22	4
это не	2	7
прежде всего	6	11
в ее	3	5
свидетельствует о	2	2
и он	4	2
как о	4	3
в данном	2	6
как символ	9	6
и в	30	20
не будет	2	2
но не	7	5
вместе с	7	5
то есть	21	27
в стихотворении	14	2
тот же	3	2
к тому	2	3
в качестве	4	10
данном случае	2	5
все в	3	3
жизни в	4	2
для нас	10	6
здесь не	7	7
именно в	3	7
другой стороны	6	6
при этом	4	6
по крайней	4	6
в результате	7	8
и с	5	7
однако в	3	2
уже в	2	4
да и	2	5
и как	6	3
на земле	9	2
едва ли	4	10
точки зрения	10	14
в отношении	3	4
в символе	2	6
не менее	5	10
в чем	2	2
что он	7	8
в своем	11	3
так что	11	6
это уже	2	3
была бы	2	2
тем не	5	10
также и	12	13
сравнении с	3	2
с тем	5	4
что они	3	2
не чем	2	2
в таком	2	6
и является	2	3
то же	2	7
а также	3	6
как бы	6	4
что в	5	3
и притом	5	2
космоса и	2	2
уже не	6	5
в новое	3	3
в этом	17	9
и вполне	4	5
этом смысле	3	3
а его	4	2
не к	2	2
того же	4	2
необходимо сказать	4	3
кроме того	2	4
в это	2	2
здесь в	2	5
здесь конечно	2	2
никак не	8	4
тех или	2	4
всякого рода	2	3
то более	2	3
дело в	2	2
и о	5	5
еще не	3	7
в то	4	4
и для	6	4
и вообще	9	6
так как	6	5
что иное	3	2
как раз	5	4
было бы	4	14
в сравнении	3	2
в самом	5	2
нет никакого	3	3
таким образом	13	8
у гесиода	2	2
а в	6	4
человеческой жизни	2	5
как именно	4	2
иным как	2	2
или вернее	3	2
значительной мере	2	2
подобного рода	7	11
по этому	2	2
или к	2	2
вовсе не	8	21
а именно	12	2
то и	2	5
некоторого рода	4	2
как мы	2	3
без всякого	2	4
разложение в	2	2
все эти	2	16
в других	3	2
жизни и	2	5
точно так	3	3
в значительной	2	2
только и	3	5
или иных	2	3
не в	7	13
такого рода	2	7
но только	3	2
у нас	7	14
но все	4	3
чем иным	2	2
об его	2	2
и не	12	28
может быть	7	9
и другое	3	3
ни в	4	17
смысле слова	3	15
в виде	10	22
конечно не	2	3
даже и	4	13
мы можем	5	3
в одном	3	4
о себе	2	3
и все	9	8
о том	12	5
в этой	10	4
мы читаем	6	2
при помощи	6	10
и к	4	3
в связи	7	3
иное как	3	2
в себе	4	12
верит в	2	2
нет никакой	3	4
и тогда	2	2
и без	2	6
что здесь	2	6
только в	9	23
не просто	5	16
но и	13	14
в другом	3	3
что не	2	4
не что	3	2
учение о	3	3
не прямо	2	3
того чтобы	2	2
то время	3	2
жизнь и	3	4
из них	2	3
здесь тоже	3	3
не то	2	2
и более	2	3
что и	6	3
как в	2	5
для того	3	3
тут же	6	3
только для	2	3
то что	18	15
как и	7	6
потому что	13	15
но даже	4	4
в которой	5	2
если не	4	3
в области	2	3
будто бы	5	2
и сама	2	3
ясно что	4	7
говорит о	7	2
и его	6	10
и только	2	4
в целях	2	5
самом деле	2	3
он не	3	2
не может	5	5
еще более	3	2
в его	12	3
крайней мере	4	6
и то	5	2
с ним	3	4
не только	18	24
по себе	2	11
том что	17	12
можно сказать	6	5
со всеми	2	2
в какой	2	4
бесконечный ряд	2	16
отнюдь не	4	10
и тем	3	7
в них	2	5
уже и	2	3
в виду	3	6
тем что	2	3
а не	5	7
хотя и	8	5
мы не	2	7
указывает на	3	4
мы находим	7	2
в ней	3	7
и даже	14	9
и на	6	3
что именно	2	2
есть только	3	2
во всяком	2	8
же в	3	4
что его	3	4
в котором	2	2
в самой	3	4
в конце	8	2
для себя	5	2
хотя бы	2	7
или в	4	5
еще и	4	3
если он	2	2
в начале	3	3
все время	3	2
всяком случае	2	4
в бесконечный	2	14
в том	12	20
но в	9	8
и что	6	2
в смысле	4	5
на его	2	2
с другой	6	7
является символом	2	6
время как	3	2
здесь как	2	4
сказать что	9	7
все же	9	2
в частности	4	2
