2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram
связи с	3	4
ходе развития	5	7
наряду с	3	2
никогда не	5	4
их развития	5	2
так же	11	14
к нему	2	3
к общему	2	2
в данном	2	5
стадии в	2	2
к тому	6	7
отнесенности и	2	2
перед нами	5	2
одно и	6	3
для нас	4	2
к мысли	2	4
между словом	2	8
по сравнению	4	9
у ребенка	13	9
с этим	5	2
что слово	2	2
едва ли	2	4
точки зрения	24	28
того как	2	2
же самое	7	5
говорит что	3	2
экспериментальное исследование	2	2
что они	14	10
в целом	11	5
как бы	7	6
что в	19	12
слова к	3	5
отличается от	2	3
никак не	2	5
той же	6	8
нас к	3	6
то как	2	2
иначе как	2	6
было бы	8	6
смысле этого	7	3
только на	2	3
таким образом	25	23
а в	2	2
что если	2	2
когда ребенок	2	2
в эксперименте	3	2
что эти	2	3
с помощью	31	13
в себе	10	9
которые в	4	2
является не	4	2
только в	10	8
не имеет	2	2
действительности в	2	2
и которые	2	2
сравнению с	3	8
школьного возраста	2	8
что этот	2	5
и его	5	12
и только	4	4
мы пытались	2	8
функциональное значение	2	3
собственном смысле	7	3
не может	6	11
могли бы	9	5
не есть	2	4
значения слова	8	9
со всеми	3	2
а затем	2	2
и тем	8	6
содержит в	2	3
является общим	2	2
нашего исследования	4	5
тем что	7	9
мысли и	2	11
слова в	9	5
в том	42	18
но в	3	4
в другую	3	3
все же	5	6
приводит к	3	4
между двумя	2	3
для ребенка	2	2
по мере	4	7
что это	2	6
и при	4	2
его в	6	2
так и	5	3
с точки	11	21
является в	3	5
и в	20	26
вместе с	8	12
не совпадают	5	4
в качестве	21	5
нас в	3	2
представить себе	2	3
в сознании	4	6
о развитии	5	4
словом и	4	10
думается нам	2	5
и с	4	5
уже в	6	2
что мы	7	9
что он	6	8
показывает что	2	2
столь же	3	2
этого понятия	3	2
развития как	3	2
но для	2	2
также и	2	2
с тем	6	5
детской речи	2	4
своему значению	3	2
мы говорили	3	2
развития ребенка	7	5
в этом	24	29
должно быть	3	2
нашему мнению	2	2
от слова	2	6
к пониманию	3	3
представляется нам	4	3
мы и	2	2
в их	12	2
в мышлении	21	2
еще не	2	4
этой точки	4	4
в самом	6	9
в ходе	4	12
мышления и	14	9
отличие от	2	2
к выводу	2	3
ключом к	4	2
это положение	5	3
предметной отнесенности	7	3
связь между	2	6
