2gram	Losev_DialektikaMifa_partition_part1_wordlist_2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram
или не	5	5
сам по	5	6
что такое	21	10
из этих	2	2
как таковая	3	2
и значит	3	3
никогда не	7	9
что это	12	11
для мифа	3	2
так же	4	4
в нем	3	16
для науки	2	3
несмотря на	2	10
к нему	3	8
говорить что	4	2
об этом	6	4
так и	5	9
что она	9	7
но –	5	4
с точки	14	12
это не	4	9
прежде всего	8	10
д и	6	2
говорить о	4	5
оно есть	2	2
но это	5	8
со стороны	2	2
в данном	2	3
как о	4	2
не о	2	4
и в	24	18
вещи есть	2	2
но если	6	5
но не	2	4
вещей и	6	2
если бы	6	12
можно только	4	2
как с	2	2
утверждать что	6	3
к тому	4	4
она не	3	6
и т	24	21
мифология и	5	3
миф есть	12	4
для него	4	2
– и	4	3
одно и	5	4
но вот	2	3
именно в	2	2
что оно	7	5
другой стороны	2	4
все это	6	11
то в	2	7
по крайней	5	4
и потому	2	3
и всякий	3	2
и есть	16	16
с этим	3	2
и ни	3	6
– не	7	11
грань между	2	2
и с	6	5
иметь в	2	3
и как	8	7
как мифология	2	2
даже не	6	3
того что	12	2
миф сам	2	2
точки зрения	25	17
не менее	11	2
ничто не	2	3
в чем	4	6
стало быть	9	9
же и	2	2
что он	13	11
есть просто	4	3
так что	8	15
не знает	3	2
в своем	3	5
была бы	3	3
также и	2	7
есть мифология	2	3
есть и	12	5
при условии	3	3
только тогда	3	2
во всем	3	2
что не	5	7
и является	2	2
то же	6	10
на этом	2	2
как бы	3	11
не мешает	2	4
что в	7	13
и жизни	6	4
и притом	5	4
уже не	5	2
утверждаю что	5	5
есть бытие	2	3
в этом	8	12
должно быть	3	3
отличается от	8	2
в мифе	13	12
– это	6	9
должна быть	6	3
мифа и	6	2
раз и	3	2
не буду	5	3
вероучение и	2	2
с одной	3	2
это есть	8	9
но как	2	2
никак не	2	6
тех или	2	3
если иметь	2	2
мы и	4	2
и говорить	2	2
в их	2	3
не что-нибудь	2	3
– вот	2	3
не значит	3	3
и о	3	3
еще не	2	2
из того	2	2
в то	5	6
т е	48	25
то как	2	3
учения о	2	2
этой точки	2	2
и для	2	2
есть ни	3	6
и у	2	2
как раз	7	4
он –	7	18
и вообще	2	4
так как	6	11
было бы	5	12
в самом	7	3
для мифического	2	6
другими словами	7	2
быть и	3	4
случае не	3	3
– или	3	2
только на	7	3
ровно никакого	3	2
а в	2	5
точка зрения	5	2
это и	7	4
или нет	5	3
ибо иначе	3	2
что если	2	2
что для	5	3
это –	16	24
мы говорим	2	4
миф не	5	14
на то	3	5
и он	2	5
вовсе не	13	7
вопрос о	5	2
то и	3	2
как мы	2	4
только потому	2	3
все эти	3	2
он и	3	2
мифического сознания	7	15
жизни и	5	3
нет ни	2	2
очень мало	2	2
есть всегда	5	4
иной раз	2	2
точно так	2	2
как это	5	4
только и	2	4
не наука	3	2
как таковой	2	4
не в	3	6
итак миф	2	2
же можно	2	2
но только	4	3
сознания и	4	3
только как	5	2
лишь как	2	2
всегда есть	5	2
и не	27	30
же он	2	2
пространства и	2	2
значит что	24	14
же тут	4	3
может быть	13	17
ни в	9	15
в виде	8	2
не больше	3	2
от самого	2	3
не говорит	3	4
конечно не	4	3
даже и	7	3
– тогда	11	3
– все	3	6
и все	6	3
о том	6	4
на что	2	2
это значит	24	11
даже если	2	3
я не	6	5
совершенно не	2	8
тому что	4	3
в себе	2	11
ничем не	7	3
как же	5	5
и тогда	5	2
не просто	18	7
только в	5	3
бы в	2	3
но и	9	7
ни на	3	6
от бога	2	3
для этого	2	2
миф –	5	9
учение о	8	11
ровно ничего	3	5
как не	2	2
оно –	4	3
что же	11	3
больше ничего	6	3
жизнь и	4	3
сказать что	4	10
мифическое сознание	3	8
быть может	3	4
и –	6	14
не имеет	11	15
из них	3	2
что и	6	3
реальная жизнь	3	2
для того	3	2
что миф	7	12
или иной	4	3
обе стороны	2	3
чаще всего	2	2
то что	14	13
как и	7	2
т д	23	19
потому что	7	14
в особенности	7	5
и где	2	2
и это	4	2
ни от	4	2
ясно что	7	8
и пр	6	5
говорит о	4	5
с этой	5	2
она есть	10	5
это было	3	2
тем более	3	2
как например	2	2
самом деле	6	3
он не	5	3
не может	19	12
того кто	3	2
есть конечно	2	2
в его	2	3
крайней мере	5	4
но что	7	3
и то	4	9
не есть	54	40
не только	23	13
есть нечто	23	10
по себе	20	25
том что	8	9
миф и	3	4
она должна	2	2
– в	6	4
отнюдь не	10	9
в каком	3	8
в них	5	3
может и	2	4
уже и	3	3
могут быть	2	3
в виду	7	5
той или	2	7
же как	2	2
хотя и	5	4
и даже	13	13
а не	26	14
в ней	2	3
то это	9	4
никто не	2	2
есть подлинная	3	2
же время	3	4
ни к	3	2
что именно	3	2
и больше	4	2
само по	5	5
он есть	3	4
собственно говоря	4	4
есть только	12	5
я утверждаю	4	4
не было	3	6
и следовательно	2	2
во всяком	2	4
думать что	2	3
сама по	4	8
ни о	3	5
есть не	9	3
только что	4	3
– одно	2	2
хотя бы	4	6
ничего не	17	17
именно как	3	2
еще и	2	3
не существует	10	7
тому же	2	2
но они	2	2
мифологии и	3	5
в основе	3	3
вещь не	2	2
всяком случае	2	2
но она	3	3
одной стороны	3	2
и тут	3	3
– как	3	5
в том	5	9
что их	2	2
но в	2	6
и что	15	12
необходимым образом	2	2
с другой	4	6
и от	3	2
и вот	2	6
время как	4	2
что мир	7	2
все равно	2	3
все же	3	5
его не	2	6
в частности	2	2
