2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram
большей частью	2	2
прав когда	3	2
и ее	2	2
далеко не	3	3
такой же	2	2
с такой	5	2
из этих	3	2
как все	2	4
никогда не	4	5
как будто	4	8
так же	2	13
что это	10	13
мы в	2	3
в нем	4	7
как на	3	6
окончание на	2	2
его в	3	3
больше чем	4	2
из этого	8	5
действия и	2	2
речь идет	4	3
с точки	9	4
что она	16	10
в своей	5	4
одно из	2	2
в ее	7	2
нами в	2	2
со стороны	2	2
в одной	2	2
и та	2	2
и в	38	33
одна из	4	4
но если	4	3
в русской	2	2
не можем	4	3
вместе с	5	8
если бы	14	10
то есть	15	13
тот же	3	3
к тому	6	12
она не	6	3
и т	14	6
перед нами	8	6
для нас	8	7
должен был	2	3
с необычайной	3	2
в такой	3	2
что оно	2	3
другой стороны	5	2
на тему	3	2
все это	3	13
при этом	4	2
у него	4	6
о которых	9	2
и затем	2	3
с этим	8	5
со всей	3	2
их в	2	3
и как	8	5
самого начала	6	5
того что	4	4
и дает	2	2
едва ли	3	2
точки зрения	16	6
приглядеться к	2	2
совершенно иначе	2	3
же самое	10	6
что он	11	20
в своем	5	7
столь же	2	2
так что	8	7
говорит что	8	10
и эти	2	2
была бы	2	2
что эта	4	6
совершенно в	2	2
надо было	2	2
он все	2	3
что они	4	6
с тем	8	4
место в	3	2
в целом	4	5
в таком	3	4
совершенно другой	3	2
на этом	5	3
то же	10	9
к этому	3	4
как бы	14	25
что автор	2	4
представляет собой	2	2
сих пор	5	3
что в	20	21
в которых	6	3
в этом	13	28
в нее	2	2
видим что	8	2
и конечно	3	2
и уже	2	4
с одной	6	3
все они	2	2
совершенно ясно	13	8
здесь в	2	3
никак не	7	6
лежит в	2	2
и этот	3	3
стоит только	3	2
той же	2	4
сам себя	2	2
и о	3	4
могла бы	3	4
но мы	2	2
эти слова	2	3
в то	3	3
то как	2	2
и для	4	3
так как	6	12
и мы	13	15
как раз	8	9
заставляет его	2	4
в тех	4	2
заставляет нас	2	2
же точно	2	7
было бы	12	12
к самому	2	2
в самом	25	12
смысле этого	2	3
содержание рассказа	2	2
и той	2	2
таким образом	12	13
рассказа и	2	10
а в	7	4
однако мы	3	2
что если	4	3
эти события	2	3
либо в	2	4
ее в	4	4
которые с	2	2
или вернее	2	2
до сих	6	3
на то	16	10
вовсе не	8	5
как мы	7	4
все эти	4	6
например в	2	3
могло бы	2	3
как это	6	14
самого конца	2	2
он видит	2	3
внимание на	2	2
обратиться к	4	3
во всех	4	2
т п	5	3
если мы	6	12
не в	12	2
так например	2	4
этот рассказ	3	2
у нас	2	4
только этой	2	2
что эти	4	2
мы видим	12	6
и не	10	13
всех этих	2	3
что поэт	2	2
и другое	4	2
полагает что	3	5
может быть	19	22
всякий раз	3	6
ни в	3	3
в виде	2	3
и наконец	2	2
показать что	7	7
какой мере	2	2
конечно не	4	3
и все	10	12
ли это	2	3
мы можем	7	5
все то	7	12
на самом	2	6
в одном	8	3
о том	6	20
напротив того	6	2
легко показать	6	3
аффективное противоречие	3	2
по существу	2	2
при помощи	4	4
в этой	13	9
с самого	6	5
совершенно не	5	4
я не	5	4
в себе	4	6
мы читаем	2	2
и к	3	2
на примере	2	2
что у	7	4
не просто	2	4
только в	4	4
но и	5	3
и когда	5	2
что не	3	4
для этого	2	8
нас совершенно	3	2
того чтобы	9	22
двух противоположных	5	2
из нее	2	3
то время	2	2
из них	6	4
когда мы	2	6
при таком	2	3
не имеет	6	2
ясно что	6	5
не то	4	4
сам автор	3	2
что и	4	3
казалось бы	5	5
для того	8	23
как в	4	3
идет о	4	3
то что	35	44
как и	8	5
увидим что	9	3
т д	4	2
мы увидим	12	2
потому что	14	24
бы не	3	2
что все	3	11
в которой	5	4
конечно же	2	2
один из	6	2
том как	2	3
и это	8	5
очень легко	4	4
что этот	4	3
и здесь	6	3
говорит о	2	4
был бы	3	3
с этой	2	4
в двух	9	4
и его	6	5
и только	3	7
когда он	4	7
до конца	2	7
чтобы он	2	2
самом деле	21	12
не может	7	10
он не	6	11
истинный смысл	2	2
могли бы	5	2
в его	5	10
и то	8	2
и если	6	9
с ним	2	5
в той	5	3
заключается в	7	5
не только	12	7
том что	14	22
впечатление от	2	2
мы уже	7	5
как только	3	2
раз в	4	7
та же	3	3
этого рассказа	2	12
в них	3	2
в своих	4	3
быть не	2	2
мы все	4	3
мы могли	4	2
в виду	4	2
тем что	3	3
который говорит	2	3
смысл и	4	4
мы не	5	5
одной и	2	2
этого слова	2	3
указывает на	6	3
в ней	15	6
все те	2	2
из которых	4	3
а не	7	6
то это	2	3
целый ряд	2	5
и на	6	5
что именно	2	3
с но	2	3
думать что	2	2
во всяком	2	3
есть только	2	2
тому что	6	6
с той	4	2
который не	4	2
нам в	2	2
с ее	2	3
что его	2	3
только что	2	15
в котором	6	2
и совершенно	4	5
в самой	4	6
в конце	2	8
он говорит	6	3
хотя бы	2	2
он может	2	2
ничего не	2	2
если он	4	2
сущности говоря	7	2
все время	30	24
в основе	3	3
к этой	2	3
всяком случае	2	3
одной стороны	5	3
до самого	2	2
в том	25	21
а с	2	2
иначе говоря	5	2
но в	3	2
здесь мы	4	3
и что	18	25
с другой	7	2
и вот	2	6
но он	2	6
в сущности	10	6
время как	4	2
сказать что	4	13
все же	8	5
и может	2	5
в какой	5	5
