3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram
но на деле	2	2
в свою очередь	4	6
точно так как	6	4
для того чтобы	2	2
может быть названо	3	2
и может быть	2	2
как бы ни	2	3
по мере того	3	4
сама по себе	3	2
так и в	3	2
только потому что	2	2
не в том	4	2
в сравнении с	2	2
по крайней мере	2	5
а вместе и	2	4
то и другое	2	4
в том что	13	7
не могут быть	2	3
удовольствия и неудовольствия	4	2
в таком случае	2	2
подобно тому как	3	4
в то же	3	2
с самого начала	3	2
humboldt т с	21	10
тем не менее	6	5
lotze т с	4	6
а между тем	3	4
только тогда когда	4	2
с другой стороны	5	2
и того же	2	6
и т п	2	3
само по себе	4	2
с одной стороны	3	3
и т д	4	3
заключает в себе	2	4
не может быть	9	2
но тем не	3	3
в том смысле	4	4
в этом смысле	4	2
то же время	3	2
мере того как	3	4
одного и того	2	6
