3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part1_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_3gram
вход в царство	2	2
в русской сказке	6	2
материалы показывают что	2	2
сих пор мы	2	2
о том что	4	3
но все же	2	3
то время как	3	3
по отношению к	2	3
представлений о смерти	3	3
в том что	5	4
здесь мы имеем	4	2
вместе с тем	3	2
в то время	3	3
с представлениями о	5	3
мы не будем	2	3
но и в	2	2
с другой стороны	8	5
можно было бы	2	3
в царство мертвых	4	5
представлениями о смерти	3	2
и т д.<неи	2	2
с одной стороны	7	4
и т д	8	22
точно так же	2	3
за тридевять земель	3	2
не может быть	3	7
до сих пор	4	5
в иное царство	5	4
мы видели что	3	2
