3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram
в бесконечный ряд	2	14
во всяком случае	2	4
для того чтобы	2	2
о том что	9	3
тех или иных	2	3
то время как	3	2
в сравнении с	3	2
по крайней мере	4	6
как будто бы	3	2
и в частности	3	2
в значительной мере	2	2
то и другое	2	3
не что иное	3	2
в том что	8	8
необходимо сказать что	4	3
чем иным как	2	2
вместе с тем	3	3
в то время	3	2
с точки зрения	8	11
тем не менее	5	10
в данном случае	2	5
с другой стороны	5	6
потому что он	2	2
в связи с	7	3
точно так же	3	3
что иное как	3	2
в этом смысле	3	3
но даже и	2	4
не чем иным	2	2
