2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram
козьи уши	3	2
связи с	3	2
так же	4	3
к нему	5	3
из коих	2	6
этот образ	2	4
оно есть	2	3
со стороны	3	3
и та	4	2
к слову	3	2
за собою	2	2
к тому	3	7
с нею	3	2
для нас	14	20
внутренняя форма	2	15
к сознанию	2	2
мысли о	2	2
с этим	7	6
или что	2	3
и как	2	5
что слово	10	7
того как	6	4
том смысле	2	3
точки зрения	4	2
что мысль	3	2
из сказанного	3	2
свою мысль	2	2
самое слово	4	2
как бы	5	3
для говорящего	3	3
что в	17	17
уже не	3	6
и проч	18	16
тем и	6	3
же с	2	6
нельзя сказать	3	3
что как	4	2
или лучше	2	2
той же	3	2
и о	4	2
народной поэзии	7	2
с другими	4	5
было бы	8	9
только на	4	3
в нас	3	2
таким образом	24	14
а в	5	12
для человека	4	4
для мысли	2	4
вместе и	2	5
из себя	2	2
очевидно что	7	5
что я	11	5
имеет для	5	3
только потому	4	3
в других	2	2
отношению к	8	5
на мысль	4	4
что только	2	6
и слова	2	2
и понятия	2	3
нам кажется	2	2
в себе	14	16
только под	3	2
художественное произведение	2	6
только в	15	21
когда например	2	2
слово есть	5	9
не имеет	5	6
не то	5	3
в искусстве	3	3
по тому	2	5
говорящего и	2	3
и это	2	4
и его	2	4
внутреннюю форму	3	5
не может	11	6
он не	2	4
но что	2	2
не есть	9	17
и если	3	2
не знаем	2	3
по себе	11	16
эта последняя	2	2
что по	2	2
и тем	4	5
а как	2	2
в них	3	5
мере того	4	3
быть не	2	2
тем что	10	7
есть уже	4	11
перед собою	2	2
язык не	5	2
же время	3	5
можно видеть	2	5
не думая	2	2
и следовательно	3	3
слов в	4	2
поэтического произведения	5	2
в котором	4	4
так или	2	2
мысли и	7	2
для меня	10	4
слова в	3	7
не существует	2	3
по которому	3	5
в том	23	32
все равно	3	4
к одному	3	5
со словом	3	4
в сознание	2	7
мысли а	2	4
по мере	7	4
что это	7	4
и при	2	4
его в	4	3
так и	6	11
об этом	2	2
в ее	2	2
говорить о	5	3
и в	23	30
не будет	3	3
не можем	5	3
вместе с	6	12
я представляю	2	2
она не	2	2
все это	5	4
при этом	15	3
представить себе	2	3
в сознании	4	15
меня то	2	2
и с	4	2
уже в	5	5
что мы	10	8
языка и	3	2
все что	2	4
что он	4	6
с и	2	3
столь же	2	4
тому как	2	5
только тогда	5	9
с тем	7	7
мысль о	6	5
к ней	2	5
в этом	23	10
не следует	2	5
должно быть	5	5
природы и	2	2
не всегда	3	2
бы ни	2	3
еще не	3	5
но мы	2	2
в то	4	10
в самом	3	8
и до	3	2
об отношении	2	4
до сих	4	3
до того	3	4
каждый раз	4	2
то и	4	6
т п	4	2
связь между	3	2
т с	6	22
и не	18	15
нашей мысли	3	4
в виде	2	2
слово с	6	2
членораздельный звук	3	3
такое же	2	3
мы можем	10	3
в одном	4	2
так в	3	2
не как	2	2
и без	2	7
бы в	2	2
но и	11	19
там же	3	6
того чтобы	4	3
мысли есть	4	2
выше мы	2	2
для того	6	4
потому что	33	46
будет понятно	2	2
в которой	6	3
в каждом	3	3
только не	3	2
слова и	5	5
тем более	5	4
в слове	22	32
в его	5	4
с ним	5	6
можно сказать	4	3
тем самым	4	7
во время	2	2
в каком	4	5
мы не	8	9
указывает на	2	6
этого слова	7	11
в ней	2	8
никто не	2	3
такой степени	6	2
не было	12	4
это последнее	4	2
по отношению	10	5
можно думать	2	3
что язык	7	2
чувственный образ	11	23
что даже	2	4
чувственных восприятий	2	7
заметить что	6	3
в действительности	3	5
что такое	7	2
это можно	2	3
что например	3	3
в нем	7	9
оно не	2	4
что она	2	3
