3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram
так или иначе	2	2
и в самом	2	2
на то что	2	2
в свою очередь	3	2
во всяком случае	5	5
для того чтобы	15	8
в соответствии с	3	2
в зависимости от	5	4
в свое время	2	2
только потому что	6	6
но все же	2	2
на самом деле	2	2
по крайней мере	5	6
только в том	3	2
и вовсе не	2	2
в том что	15	10
вместе с тем	3	2
в области языка	2	2
того или иного	3	2
в этом отношении	5	3
в самом деле	7	7
в то же	2	3
с точки зрения	9	8
в русском языке	4	9
тем не менее	4	5
т е такие	2	2
в этом случае	2	2
этой точки зрения	2	2
и потому что	2	2
хотя бы и	2	2
с другой стороны	6	7
можно было бы	3	9
то обстоятельство что	8	7
и т п	18	24
в данном отношении	2	2
и т д	14	14
в связи с	3	3
не может быть	3	4
в этом смысле	3	5
то же время	2	3
