3gram	Losev_DialektikaMifa_partition_part2_wordlist_3gram	Losev_DialektikaMifa_partition_part3_wordlist_3gram
одно и то	2	4
есть не что	3	2
и прежде всего	3	2
так или иначе	2	2
во всяком случае	2	2
крайней мере в	3	2
о том что	5	4
сам по себе	5	3
не говоря уже	2	2
т е в	4	3
сама по себе	4	7
в зависимости от	2	2
не есть догмат	5	4
то время как	4	3
по крайней мере	5	9
субъекта и объекта	3	4
говоря уже о	2	2
не что иное	6	3
в том что	3	6
не могут быть	2	2
не есть ни	3	6
в то время	4	3
ни в каком	3	3
в таком случае	10	3
д и т	5	2
в самом деле	5	3
это значит что	21	8
сами по себе	3	3
с точки зрения	14	8
иметь в виду	2	2
тем не менее	10	2
с тех пор	2	2
только тогда когда	3	4
с другой стороны	2	4
имеется в виду	3	2
само по себе	5	2
т д и	6	2
и не только	3	5
и т д	23	15
не может быть	6	3
что иное как	6	3
как и все	2	2
вовсе не есть	5	2
и то же	2	4
миф не есть	5	19
