3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram
в конце концов	7	6
на то что	4	2
во всяком случае	10	2
для того чтобы	2	2
о том что	14	9
и то что	7	3
по крайней мере	6	4
как будто бы	5	3
и в частности	3	3
бы то ни	2	2
в значительной мере	3	2
не что иное	3	3
в настоящее время	16	3
в том что	4	8
необходимо сказать что	5	4
может быть только	2	3
в таком случае	10	2
тем не менее	12	5
но и в	3	2
в данном случае	5	2
можно сказать что	3	3
только тогда когда	3	3
по этому поводу	2	2
с другой стороны	5	5
также и то	2	2
с одной стороны	5	3
в связи с	5	7
точно так же	3	3
никак не может	2	2
не может быть	3	2
что иное как	3	3
в этом смысле	5	3
до сих пор	4	2
в том числе	2	2
