2gram	Vinokur_KulturaYazyka_partition_part1_wordlist_2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram
между тем	6	5
можно говорить	2	2
мы имеем	5	6
связи с	3	7
что такое	3	6
слова как	3	3
в зависимости	4	5
никогда не	2	2
что это	7	5
в свое	2	2
так называемые	2	3
так же	4	4
в нем	4	4
не на	2	4
можно было	9	6
оно не	2	3
что она	3	3
так и	4	7
в своей	2	2
несмотря на	5	3
что можно	3	2
речь идет	2	2
с точки	8	9
это не	6	7
прежде всего	8	9
речи в	6	4
этого термина	2	2
в современной	2	2
со стороны	4	4
в данном	4	4
и в	23	24
речи не	3	2
но не	6	5
зависимости от	5	6
в силу	7	10
вместе с	5	7
того или	2	4
если бы	12	9
тот же	5	2
к тому	4	5
в качестве	8	7
и т	39	33
в свою	2	3
для нас	4	2
здесь не	3	3
но вот	2	2
именно в	3	6
что оно	3	3
другой стороны	7	6
все это	5	6
при этом	2	6
по крайней	6	5
языка не	2	3
и потому	2	4
в результате	4	5
о котором	2	2
и есть	2	2
с этим	3	4
и с	7	5
уже в	3	3
что слово	3	3
гораздо более	3	3
языке как	3	3
того что	3	9
сводится к	3	3
точки зрения	14	14
того как	2	4
языка и	8	8
не все	3	2
не менее	7	7
же и	2	2
что он	5	6
в своем	2	3
была бы	4	3
тем не	6	4
также и	5	2
нуждается в	2	3
обстоятельство что	7	8
доказать что	2	2
с тем	2	5
что они	2	4
что-либо в	3	2
то же	6	8
уже из	2	2
как бы	4	7
в русском	10	4
что в	10	17
к примеру	4	2
уже не	8	8
в которых	2	6
в этом	18	14
из предыдущего	2	2
этого не	3	2
должно быть	4	3
на себе	4	6
роль в	2	4
этом смысле	5	3
со специфическими	3	3
не всегда	2	2
лишь в	5	2
можно ли	4	2
должна быть	5	3
того же	3	4
в языке	10	8
или иного	2	3
русском языке	10	4
никак не	3	2
что сокращения	4	2
той же	2	3
в их	2	3
еще не	5	5
в то	4	2
т е	22	38
и для	2	2
этом случае	2	2
этой точки	2	2
нисколько не	3	3
как раз	3	8
так как	15	9
язык в	2	5
но уже	2	5
было бы	15	15
то обстоятельство	7	8
в самом	12	10
смысле этого	2	3
в речи	6	3
нам не	2	3
таким образом	5	12
пишет он	2	2
должен быть	5	4
а в	3	5
это и	3	4
что если	2	2
однако не	4	6
мы говорим	2	2
грамматических форм	3	3
на то	4	4
на том	2	3
очевидно что	2	3
вовсе не	9	10
а именно	2	2
что я	4	2
для лингвиста	2	2
то и	3	2
вопрос о	9	2
только потому	8	6
области языка	2	2
речь в	5	4
культура языка	3	2
все эти	12	6
слово это	6	5
его к	2	3
не могут	5	2
письменной речи	21	3
как это	5	3
в соответствии	3	3
т п	24	18
если мы	4	2
между прочим	2	2
не в	8	11
должны быть	2	2
это только	2	3
у нас	12	10
но все	4	2
и еще	2	2
но также	4	2
и не	16	12
может быть	15	13
ни в	4	2
культуры языка	8	4
ср также	3	2
конечно не	2	2
даже и	2	3
ли это	2	2
состоит в	2	3
с помощью	7	7
на самом	2	2
и все	2	2
в этой	6	3
по существу	5	4
данном отношении	2	2
в связи	4	3
стоит в	2	4
я не	5	2
на примере	2	2
что касается	2	2
этом отношении	3	5
свою очередь	2	3
ораторской речи	4	3
не просто	2	5
только в	5	11
но и	7	6
что не	6	5
для этого	3	3
дело не	2	2
от этого	2	2
соответствии с	2	3
того чтобы	11	17
что же	5	6
не имеет	4	2
речи и	5	5
и более	2	2
что и	3	4
казалось бы	3	3
для того	9	16
как в	3	4
следует что	3	4
то что	9	9
как и	2	2
т д	14	14
а это	2	3
потому что	25	23
может служить	2	2
что все	5	2
один из	5	4
в особенности	4	3
в области	11	7
рядом с	2	5
и здесь	5	3
ясно что	5	3
слова и	5	4
или иначе	3	2
был бы	2	2
и пр	8	15
с этой	2	2
и его	3	5
самом деле	9	9
в пределах	4	4
до конца	3	2
с ними	2	4
это слово	4	3
он не	3	2
не может	9	7
по преимуществу	2	2
могли бы	2	2
в его	5	12
крайней мере	6	5
и то	5	3
и если	2	3
в той	2	5
заключается в	2	2
не только	20	10
по себе	10	2
том что	11	21
можно сказать	4	3
ли не	2	3
тем самым	2	4
на этот	2	2
и тем	5	2
в каком	4	2
не говоря	2	2
о пуризме	2	4
в них	4	7
свое время	2	2
в виду	3	5
смысл и	3	2
тем что	3	8
а не	10	8
хотя и	4	3
русский язык	6	4
этого слова	5	3
а только	3	8
в ней	3	6
думаю что	2	2
и даже	2	3
е такие	2	2
есть в	3	4
же время	3	2
и на	6	4
бы и	4	2
целый ряд	5	5
во всяком	5	5
же в	3	4
какой смысл	2	2
иными словами	8	4
а на	2	2
не было	4	3
обратить внимание	2	2
слов в	3	2
в самой	2	4
так или	2	2
хотя бы	9	10
или в	4	2
когда в	2	2
самого языка	2	2
живет и	3	2
ничего не	4	2
еще и	2	5
всяком случае	5	5
там где	5	4
превращается в	2	2
в том	19	30
то только	2	2
бы на	2	2
языка как	2	5
но в	11	2
в таких	3	4
русского языка	4	9
и вовсе	2	5
и что	8	5
с другой	8	7
языка в	3	12
в сущности	9	3
а если	2	3
в иных	2	2
все равно	2	2
все же	7	12
в частности	2	4
