3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram
том что у	2	2
в конце концов	3	3
и в самом	2	4
надо сказать что	3	2
во всяком случае	3	2
на то что	6	6
для того чтобы	19	13
о том что	10	4
сам по себе	2	4
в сущности говоря	2	4
одной и той	2	4
с таким образом	2	8
на самом деле	5	5
заключается в том	3	10
то время как	2	2
мы видим что	2	2
в том что	12	17
к тому что	5	2
что в этой	2	2
в то время	2	3
в самом деле	7	11
том что он	3	3
сами по себе	3	3
с точки зрения	4	10
таким образом в	2	2
и той же	2	4
то же самое	6	6
так же точно	5	7
и что в	3	2
с другой стороны	2	2
те же самые	2	2
можно было бы	4	4
и т п	3	8
что он не	4	2
в первый раз	3	2
и т д	2	2
точно так же	3	3
совершенно ясно что	3	6
же самое что	2	2
так же как	3	4
до сих пор	3	5
в том чтобы	3	3
на то как	2	2
