3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part6_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part5_wordlist_3gram
и прежде всего	3	2
то есть в	2	2
нужно сказать что	2	2
в другом месте	2	4
в эпоху рабле	3	5
гротескной концепции тела	3	4
в том что	6	2
со всеми его	2	2
в этом отношении	5	3
в большинстве случаев	2	4
мы уже говорили	2	11
в третьей книге	2	2
в то же	9	5
с точки зрения	2	2
есть здесь и	2	4
сих пор еще	2	3
в данном случае	2	2
кн iii гл	3	4
существенную роль в	2	2
кн i гл	2	2
в средние века	2	4
в xvii веке	2	2
жизни и смерти	2	2
в эпизоде с	4	3
то же время	9	5
а также и	4	2
до сих пор	3	3
