3gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram
на то что	3	2
во всяком случае	4	3
борис годунов говорит	2	2
о том что	4	11
но все же	2	2
в г в	3	3
языке бориса годунова	5	2
над борисом годуновым	7	5
не в том	3	2
в языке бориса	5	2
между царем и	2	3
в том что	11	16
к тому что	2	5
в печатном издании	2	3
что борис годунов	2	3
в этом отношении	4	9
и в этом	2	2
с точки зрения	4	2
с тем что	3	2
в своей трагедии	2	4
с самого начала	2	3
тем не менее	2	2
работы над борисом	2	3
в трагедии пушкина	2	10
о борисе годунове	2	3
по этому поводу	2	2
с другой стороны	4	3
то обстоятельство что	5	4
и т п	6	3
в борисе годунове	38	28
к борису годунову	2	3
и т д	2	6
бориса годунова в	2	3
в том смысле	2	2
в его трагедии	2	2
что пушкин не	2	4
бориса годунова и	3	5
до сих пор	2	5
бориса годунова не	3	5
в предисловии к	2	2
что в борисе	2	2
