2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram
связи с	9	3
которую мы	2	2
так точно	2	4
никогда не	8	5
так же	4	15
к тому	7	6
отрицательный ответ	2	2
по сравнению	5	5
у ребенка	15	9
в результате	3	4
с этим	3	3
переход от	4	7
и как	2	3
точки зрения	26	18
того как	4	5
же самое	2	4
не дает	2	2
говорит что	5	5
что они	3	5
в целом	10	4
как бы	7	5
что в	14	16
пиаже в	8	3
исследования пиаже	3	2
путь развития	2	4
лежит в	3	2
он в	3	3
той же	2	4
нас к	2	3
учения о	2	2
было бы	10	10
отчета в	2	2
таким образом	14	19
а в	4	3
в первой	2	2
речи к	7	2
что если	2	4
речь ребенка	8	3
высшей степени	7	2
этой теории	3	5
очевидно что	3	2
когда ребенок	2	3
в более	2	2
и т.д	12	4
речь в	3	3
отношению к	5	12
и другое	2	4
в себя	2	3
отдает себе	2	2
с помощью	5	10
по существу	5	3
как показывают	2	2
только в	4	10
помощью которого	2	2
не имеет	4	4
речевого развития	3	3
не то	2	4
только для	3	2
современной психологии	2	2
сравнению с	5	5
и его	4	3
ребенка в	10	5
не может	9	18
он не	7	8
могли бы	4	6
но что	2	3
по себе	7	7
интересующей нас	4	3
и тем	2	3
в них	4	2
тем что	2	5
в теории	6	4
в котором	2	2
сам пиаже	6	3
в том	33	18
не отдает	2	2
но в	6	6
имеет свою	2	3
все равно	2	2
все же	4	3
в совершенно	4	2
приводит к	5	7
в частности	6	3
для ребенка	9	3
эта проблема	5	2
так и	8	7
больше чем	2	3
с точки	18	9
является то	2	2
говорить о	2	3
показал что	5	3
и в	15	16
вместе с	6	4
оба эти	2	4
в качестве	4	4
не станем	2	2
в такой	2	5
все это	4	2
при этом	3	4
этот вопрос	5	6
и с	4	3
к которому	6	4
что мы	9	4
эта теория	2	4
языка и	3	6
все что	5	2
тому как	2	4
что он	12	25
столь же	2	2
с несомненностью	2	2
совершенно в	2	2
вытекает из	3	3
детской речи	19	2
ребенка не	5	3
развития ребенка	3	11
в этом	19	25
должно быть	2	8
это есть	2	4
т.д и	2	2
в их	2	3
но мы	3	5
пиаже и	7	2
как уже	2	3
в самом	11	4
речь не	2	3
мышления и	16	4
отличие от	3	2
об отношении	3	2
ее в	2	3
что для	3	2
которые не	2	2
во всех	2	2
на основе	7	2
значение в	3	3
мысль что	6	4
ребенок усваивает	2	3
и не	7	12
за пределы	2	4
показать что	5	3
психологического развития	2	2
и из	2	2
мы можем	10	6
в одном	2	3
состоит в	3	6
потребность в	4	4
но и	10	6
в другом	2	6
самое что	2	2
того чтобы	12	17
этих двух	2	3
ребенка и	4	4
казалось бы	8	4
для того	10	14
таким же	3	3
потому что	7	21
друг от	2	4
в которой	4	5
он должен	2	5
когда он	3	2
что ребенок	8	11
тем более	3	4
ребенок в	4	5
в его	2	11
чем в	2	3
с ним	3	5
можно сказать	2	5
тем самым	3	8
развитие ребенка	2	3
одной из	3	3
ребенка с	4	3
же как	2	7
мы не	10	3
раньше чем	2	3
указывает на	2	2
должны были	3	2
из которых	3	3
ребенок не	2	6
по отношению	6	12
от друга	2	4
вот почему	3	3
тому чтобы	2	4
а с	4	2
речи является	3	2
на всем	2	2
в зависимости	6	2
можно было	5	5
нам известно	4	2
что она	3	2
в своей	4	2
это не	5	4
прежде всего	4	3
в высшей	7	2
но если	2	6
но не	3	10
и составляет	2	4
речи не	2	4
если бы	8	8
тот же	7	5
для него	3	5
ребенка от	2	2
именно в	2	4
что оно	4	6
у него	2	6
и развития	2	12
мы будем	3	2
к логике	2	2
что с	5	5
развития в	6	6
вопрос об	2	3
во всем	2	2
из виду	2	2
представляет собой	2	7
и их	5	4
на протяжении	2	2
которых он	3	2
своем развитии	2	5
с одной	7	3
детской мысли	7	12
из того	4	11
что между	2	4
они не	3	3
детского мышления	23	4
речи так	2	3
точка зрения	3	8
как известно	6	4
всем протяжении	2	2
вопрос о	5	12
и ошибок	5	2
отношение между	6	4
если мы	6	7
друг с	2	7
тогда когда	5	5
его мысли	4	3
мы видим	4	4
находится в	2	2
внутренней речи	5	7
приводит нас	2	2
больше того	3	2
мы должны	6	8
мышления ребенка	3	2
не является	9	5
в истории	6	2
как он	6	6
речи и	15	6
и более	2	3
в этих	2	3
то что	20	26
мы видели	6	3
что все	4	6
ступень в	3	3
с другом	2	7
стороны и	2	2
говорит он	12	2
с этой	2	4
заключается в	8	5
не только	15	16
том что	27	15
на этот	6	4
могут быть	2	4
мы могли	4	7
от того	2	3
а не	3	10
процессе развития	7	4
и даже	5	2
речи но	3	2
к внутренней	5	3
само по	2	2
отношения между	3	3
во всяком	7	2
сама по	2	4
теории пиаже	8	3
ничего не	3	5
внутренняя речь	3	7
речи как	3	4
другом месте	2	4
в сущности	9	13
сказать что	6	13
к его	2	3
речи в	6	6
зависимости от	6	2
в процессе	11	13
в силу	2	10
процесса развития	2	2
развитии ребенка	4	3
процесс развития	3	2
подобно тому	2	4
по поводу	4	2
и есть	2	7
ребенка как	3	2
общего с	2	2
того что	17	16
в отношении	6	9
в своем	9	5
что эта	6	3
то же	5	8
к этому	4	3
на все	2	5
является для	4	2
ту мысль	5	2
принадлежит к	2	2
того же	3	7
до лет	2	3
так как	4	16
значение для	4	2
развития и	3	11
с их	2	4
нас интересует	2	2
в известном	2	8
вовсе не	6	2
как мы	6	10
