3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram
и в самом	2	4
что же до	2	2
для того чтобы	15	11
о том что	5	3
на мой взгляд	2	3
в зависимости от	5	7
так и в	2	3
в свое время	2	2
т е как	4	3
на самом деле	2	3
не в том	4	2
по отношению к	8	2
только в том	3	2
в том что	15	8
в области языка	2	2
того или иного	3	3
в самом деле	7	11
в первую очередь	2	3
с точки зрения	9	16
в русском языке	4	2
тем не менее	4	9
в этом случае	2	4
и того же	2	2
с другой стороны	6	3
можно было бы	3	10
а с другой	3	3
то обстоятельство что	8	3
и т п	18	41
и т д	14	8
в связи с	3	4
не может быть	3	3
более или менее	3	2
до сих пор	4	8
в том чтобы	8	3
одного и того	2	2
