2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram
связи с	9	4
признать что	4	2
наряду с	2	2
никогда не	8	4
так же	4	14
в данном	3	5
к тому	7	7
перед нами	2	2
для нас	4	2
самого ребенка	2	2
по сравнению	5	9
у ребенка	15	9
о которых	3	2
с этим	3	2
к действительности	8	2
едва ли	7	4
точки зрения	26	28
того как	4	2
начале развития	2	3
же самое	2	5
психологии в	2	3
говорит что	5	2
нет и	2	3
учении о	5	6
что они	3	10
в целом	10	5
как бы	7	6
что в	14	12
и речь	2	3
пиаже в	8	3
той же	2	8
нас к	2	6
учения о	2	4
с другими	3	3
было бы	10	6
смысле этого	3	3
и речью	6	2
таким образом	14	23
а в	4	2
в первой	2	3
речи к	7	5
что если	2	2
речь ребенка	8	8
по этому	6	4
очевидно что	3	3
когда ребенок	2	2
речь в	3	4
в эксперименте	2	2
отношению к	5	5
точку зрения	6	2
и другое	2	3
с помощью	5	13
с собой	3	3
в себе	2	9
только в	4	8
не имеет	4	2
речевого развития	3	2
сравнению с	5	8
и его	4	12
и только	3	4
собственном смысле	3	3
не может	9	11
он не	7	3
могли бы	4	5
по себе	7	3
и самым	2	2
мы сумеем	4	2
и тем	2	6
тем что	2	9
в котором	2	4
в учении	6	6
в том	33	18
но в	6	4
все же	4	6
приводит к	5	4
и ее	3	2
для ребенка	9	2
что это	6	6
так и	8	3
об этом	3	3
с точки	18	21
между которыми	2	2
и в	15	26
не можем	3	4
вместе с	6	12
от социальной	4	6
оба эти	2	5
в качестве	4	5
в такой	2	4
нас в	2	2
все это	4	3
о развитии	7	4
и с	4	5
уже в	5	2
что мы	9	9
все что	5	6
между мышлением	5	3
что он	12	8
столь же	2	2
с несомненностью	2	2
но для	2	2
также и	2	2
совершенно в	2	2
эгоцентрическую речь	2	4
детской речи	19	4
развития ребенка	3	5
к ней	2	2
в этом	19	29
должно быть	2	2
это есть	2	4
и психологического	2	3
в их	2	2
в мышлении	2	2
не удивительно	4	2
чем это	3	5
но мы	3	3
пиаже и	7	2
как раз	4	3
в самом	11	9
речь не	2	5
мышления и	16	9
отличие от	3	2
к выводу	6	3
и до	3	2
ее в	2	8
что для	3	2
мысль и	2	3
во всех	2	6
связь между	5	6
значение в	3	2
и не	7	18
речи для	2	25
показать что	5	4
его мысль	2	2
мы можем	10	3
состоит в	3	3
на самом	3	3
но и	10	11
самое что	2	2
того чтобы	12	19
этих двух	2	2
ребенка и	4	8
представление о	5	7
казалось бы	8	2
для того	10	18
друг от	2	2
потому что	7	16
в собственном	3	3
формы речи	2	3
в которой	4	11
в пользу	4	4
ребенок в	4	2
что ребенок	8	5
в его	2	4
чем в	2	4
с ним	3	3
и речи	13	19
можно сказать	2	5
тем самым	3	8
раз в	2	2
одной из	3	4
во время	3	2
ребенка с	4	4
были бы	2	3
в функциональном	2	4
же как	2	8
мы не	10	7
все те	2	2
этого слова	3	3
должны были	3	2
из которых	3	2
детского развития	3	6
в последнее	4	2
по отношению	6	6
от друга	2	2
в детском	2	3
или в	3	2
что на	2	2
в начале	4	5
речи является	3	3
речью и	5	2
на двух	3	2
на всем	2	5
речи которая	2	2
мышлением и	7	2
можно было	5	2
что она	3	8
несмотря на	4	2
и значением	3	5
в своей	4	3
это не	5	3
прежде всего	4	7
но если	2	2
но не	3	3
речи не	2	5
если бы	8	5
данном случае	3	5
для него	3	3
ребенка от	2	2
именно в	2	6
что оно	4	4
говорили выше	2	2
речи ее	3	3
что с	5	5
развития в	6	3
возникает из	4	6
во всем	2	3
представляет собой	2	19
и их	5	5
лишь в	3	2
с одной	7	5
из двух	3	3
детской мысли	7	2
из того	4	3
что между	2	2
и для	2	5
детского мышления	23	4
речи так	2	3
и той	2	2
последнее время	5	3
как известно	6	2
не представляет	2	2
всем протяжении	2	4
вопрос о	5	6
если мы	6	5
отношение между	6	4
друг с	2	2
тогда когда	5	5
его мысли	4	2
мышление и	3	2
мы видим	4	3
находится в	2	2
даже в	4	2
внутренней речи	5	67
как совершенно	3	3
приводит нас	2	3
мы должны	6	6
что эгоцентрическая	3	8
не является	9	3
из всех	2	5
для этого	3	3
что же	2	2
речи и	15	30
в этих	2	2
идет о	3	2
то что	20	24
мы видели	6	3
что все	4	2
с другом	2	2
стороны и	2	4
с этой	2	5
как говорит	2	5
заключается в	8	6
не только	15	24
том что	27	17
могут быть	2	2
мы могли	4	6
а не	3	6
мы находим	6	3
речи но	3	11
к внутренней	5	6
отношения между	3	4
во всяком	7	2
что его	4	2
в самой	3	3
теории пиаже	8	2
для себя	3	24
ничего не	3	2
внутренняя речь	3	15
речи как	3	6
и другой	2	3
во всей	5	2
речи или	2	3
друг друга	5	4
в сущности	9	9
сказать что	6	8
мы уже	6	3
к его	2	2
из этих	4	3
речи это	2	4
внешней речи	3	18
детского эгоцентризма	5	2
речи в	6	27
которое мы	3	2
в процессе	11	5
в силу	2	5
на деле	5	2
процесс развития	3	2
моментов в	2	2
связана с	4	3
и есть	2	2
ребенка как	3	2
того что	17	14
в отношении	6	2
что при	3	2
что эта	6	6
мышления как	5	3
то же	5	8
к этому	4	2
в которых	3	2
эгоцентрическая речь	10	28
том же	2	2
той и	2	3
так как	4	14
развития и	3	2
с ней	2	2
случае не	2	2
бы с	3	2
речи ребенка	3	10
речи от	2	5
в известном	2	2
которой мы	2	2
речью в	2	3
на то	6	4
вовсе не	6	2
как мы	6	14
на вопрос	4	5
все эти	3	6
его к	2	2
не могут	2	4
как это	6	5
не в	8	4
но эта	3	2
об эгоцентрической	3	2
может быть	9	7
его с	2	3
ни в	2	2
мы знаем	7	2
о том	9	4
в этой	6	3
и к	6	7
своей психологической	3	3
что у	3	4
этом отношении	3	3
социальной речи	3	11
от речи	4	8
что и	2	3
как в	4	4
как и	6	15
в развитии	26	10
самом деле	6	6
мысль ребенка	3	2
развитии мышления	5	2
ту же	2	2
речь и	5	5
в виду	6	5
и других	2	2
и обратно	2	3
в конечном	4	2
целый ряд	2	4
эгоцентрической речи	13	91
но с	2	2
в отличие	3	2
с ее	2	2
по своей	6	10
только что	3	5
этому поводу	3	3
в основе	3	3
речи с	5	7
к этой	3	2
одной стороны	7	5
и что	8	6
с другой	6	4
конечном счете	4	2
от внешней	5	6
речи мы	4	4
и по	3	3
