2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram
жизни на	2	2
авторитарного сознания	12	4
всего лишь	3	4
в рамках	4	6
при всем	2	3
никогда не	3	4
в художественном	2	4
в хх	4	6
русской литературе	2	5
в нем	3	2
одно из	2	3
так и	7	4
русской поэзии	3	5
с точки	3	2
прежде всего	4	11
со стороны	3	4
произведения искусства	2	3
в данном	3	5
и в	19	8
одна из	5	3
но не	5	4
в русской	4	10
не случайно	4	2
то есть	5	6
в стихотворении	13	4
х годов	3	2
еще в	4	4
в качестве	5	17
коммуникативная стратегия	5	5
данном случае	3	4
для него	4	2
в принципе	5	3
у него	2	3
при этом	6	19
хх века	8	10
подобно тому	2	2
художественного творчества	2	3
мира в	2	3
уже в	2	5
однако в	6	2
того что	5	6
точки зрения	4	6
не менее	6	7
себя в	6	6
эстетический субъект	3	3
что он	3	5
пути иллюстрация	2	2
коммуникативное событие	3	4
тому как	2	2
столь же	5	4
тем не	2	2
рефлективного традиционализма	2	4
то же	12	5
в целом	2	8
на этом	2	2
а также	2	5
как бы	2	7
общественного сознания	2	3
во имя	2	2
и нет	2	2
в равной	3	2
е годы	2	2
представляет собой	2	4
что в	4	3
в кругозоре	3	2
уже не	2	7
в этом	9	12
другого в	3	3
в году	5	13
в жизни	2	6
не к	2	2
того же	4	2
с одной	7	2
той же	2	3
в их	3	3
в мире	9	2
перестает быть	3	4
эстетического субъекта	3	9
еще не	2	4
в то	9	5
из того	2	2
как раз	2	4
было бы	2	2
и др	3	3
тем же	3	3
обращается к	3	2
а в	3	3
на наш	3	5
нашего столетия	2	3
[] в	6	4
своего рода	13	11
не исключают	2	2
тогда как	9	13
внутренней свободы	2	2
и т.п	10	4
то и	3	2
что я	2	2
творческого поведения	5	4
он и	2	3
жизни и	4	3
русской классической	2	7
не столько	3	5
как это	2	8
в культуре	3	3
не в	4	8
мыслится как	3	3
такого рода	9	10
отношению к	3	2
и не	11	12
может быть	17	13
даже в	4	2
поэзии и	2	2
в себя	3	2
как правило	3	2
о себе	3	4
состоит в	9	11
о том	2	2
ты в	2	2
в этой	3	4
в россии	2	2
я и	4	7
я не	5	7
в себе	6	7
наш взгляд	3	5
этом отношении	3	2
что не	2	2
но и	10	17
в другом	3	2
не является	2	2
между я	3	3
для этого	2	4
культура авторитарного	2	2
своего другого	3	3
своих стихах	2	2
из них	2	4
как он	2	2
художественной культуры	3	10
коммуникативного события	2	7
и сам	2	6
в искусстве	4	2
то что	7	10
как и	10	6
потому что	2	3
причастность к	4	2
и.п смирнов	4	2
один из	4	3
это как	2	2
в области	4	3
уединенного сознания	5	50
с этой	2	5
и его	3	4
и только	2	2
по характеристике	2	3
конвергентного сознания	3	3
лирический герой	10	4
я в	7	5
не может	9	5
по преимуществу	2	4
в его	4	7
классической художественности	2	5
одним из	3	5
говоря уже	2	2
и то	3	2
не только	8	24
том что	7	14
сознания в	3	12
ли не	4	3
тем самым	3	5
сознания дискурс	2	2
отнюдь не	4	2
на себя	2	2
не говоря	2	2
литературного процесса	3	6
эстетической деятельности	3	4
в своих	2	4
могут быть	2	2
ту же	2	2
в виду	2	3
тем что	4	2
а не	20	16
творческой рефлексии	2	5
и даже	8	3
парадигма художественности	2	4
вплоть до	3	2
в е	2	2
в конечном	5	5
же время	9	5
в сфере	4	3
же в	2	5
художественного письма	2	9
не было	2	3
ко всему	2	2
по отношению	4	3
в конце	2	4
для себя	2	5
хотя бы	2	2
обращаясь к	3	2
с читателем	2	2
при всей	2	3
в основе	2	3
одной стороны	6	2
хх веке	4	5
в том	10	16
но в	2	3
самоактуализация как	2	4
а потому	2	2
с другой	8	3
конечном счете	5	4
в сущности	3	2
друг друга	2	4
все же	2	4
парадигмы художественности	3	7
в частности	4	15
