2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram
или не	5	2
никогда не	7	9
так же	4	2
отрешенность от	2	10
к нему	3	4
оно есть	2	3
в данном	2	3
того или	3	2
к тому	4	2
перед нами	3	2
одно и	5	4
с этим	3	3
– не	7	9
грань между	2	3
и как	8	10
точки зрения	25	12
стало быть	9	10
зависит от	2	2
есть и	12	6
как бы	3	14
что в	7	7
уже не	5	3
– это	6	6
мифа и	6	4
и уже	2	3
кроме того	6	3
но как	2	5
тех или	2	2
мифа в	2	4
то как	2	3
есть ни	3	6
было бы	5	3
таким образом	13	4
а в	2	4
что если	2	3
это –	16	23
миф не	5	22
только потому	2	2
мифического сознания	7	3
жизни и	5	6
как таковой	2	4
итак миф	2	2
но только	4	3
конечно не	4	6
в себе	2	15
и тогда	5	3
только в	5	5
личность и	2	2
как не	2	2
жизнь и	4	5
где есть	2	2
и –	6	4
вы не	6	2
что миф	7	5
и это	4	5
что этот	2	3
личности и	5	6
и его	5	5
и только	6	4
он не	5	4
не может	19	9
и она	2	2
но что	7	7
не есть	54	47
и я	3	2
и если	2	4
говоря уже	2	2
по себе	20	18
миф и	3	2
– в	6	8
может и	2	2
тем что	3	2
субъекта и	4	4
у меня	2	3
же время	3	5
собственно говоря	4	2
и следовательно	2	5
в сферу	3	2
ведь это	2	3
так или	2	2
быть только	2	2
в том	5	14
но в	2	2
по одному	2	4
хочет быть	2	3
живое существо	2	2
все равно	2	5
все же	3	4
в частности	2	2
что время	2	2
что это	12	10
не на	6	2
так и	5	10
об этом	6	3
но –	5	5
с точки	14	8
говорить о	4	5
в одной	3	4
и в	24	19
не будет	3	2
она не	3	8
миф есть	12	6
другой стороны	2	4
все это	6	4
при этом	2	4
и с	6	5
что мы	8	2
же и	2	9
что он	13	6
также и	2	2
только тогда	3	7
бы только	2	2
в этом	8	8
должно быть	3	7
от всего	6	2
в мифе	13	16
это есть	8	8
в их	2	2
еще не	2	4
в то	5	6
т е	48	30
что иное	6	3
он –	7	6
как раз	7	5
в самом	7	5
мифическая отрешенность	2	10
бытие и	3	2
души и	2	2
это и	7	3
или нет	5	3
ее в	2	2
– тоже	2	2
и не	27	30
за пределы	3	4
пространства и	2	7
в виде	8	2
это значит	24	8
совершенно не	2	7
