2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram
начинает с	2	2
большей частью	2	2
мы имеем	2	4
далеко не	3	2
художественной формы	4	5
такой же	2	2
из этих	2	6
никогда не	5	8
как будто	8	5
что это	13	6
так же	13	12
в художественном	2	3
в нем	7	2
как на	6	3
его в	3	2
так и	3	3
из этого	5	2
действия и	2	2
что она	10	6
речь идет	3	3
с точки	4	2
в своей	4	3
прежде всего	2	4
одно из	2	2
в ее	2	5
нам придется	3	2
утверждает что	4	2
со стороны	2	4
в одной	2	3
и в	33	31
одна из	4	4
и другую	3	2
не будет	4	3
но не	3	3
не можем	3	3
вместе с	8	8
то есть	13	26
если бы	10	6
тот же	3	2
к тому	12	4
совершенно другим	3	2
она не	3	5
и т	6	26
этими словами	2	2
исходя из	4	3
для нас	7	5
и так	4	4
в такой	2	2
что оно	3	3
другой стороны	2	5
все это	13	8
при этом	2	19
у него	6	4
вслед за	3	6
и потому	2	2
и всякий	2	2
в результате	2	4
по поводу	4	2
и есть	4	5
с этим	5	3
и с	2	2
как нельзя	2	4
уже в	2	3
и как	5	2
что мы	6	8
того что	4	10
с совершенно	4	2
точки зрения	6	15
же самое	6	2
что он	20	7
тому как	2	7
столь же	2	4
так что	7	5
говорит что	10	5
в своем	7	3
что при	2	3
что эта	6	3
с тем	4	3
что они	6	2
дело с	3	3
в таком	4	3
в целом	5	5
во всем	2	3
совершенно другой	2	2
то же	9	5
к этому	4	4
как бы	25	5
представляет собой	2	2
сих пор	3	3
что в	21	23
оказывается что	2	5
в которых	3	3
и все	12	5
в этом	28	12
в жизни	4	2
его и	2	3
видим что	2	2
совершенно верно	6	2
с одной	3	5
совершенно ясно	8	19
никак не	6	4
стоит только	2	2
той же	4	3
и о	4	4
но мы	2	3
в то	3	5
и для	3	5
так как	12	18
как раз	9	2
то чтобы	2	2
было бы	12	6
же точно	7	3
в самом	12	11
смысле этого	3	2
и той	2	3
таким образом	13	20
а в	4	6
точка зрения	2	4
это и	5	3
что для	5	2
до сих	3	3
на то	10	10
все дело	2	2
вовсе не	5	6
вопрос о	2	3
без всякого	2	2
как мы	4	2
например в	3	3
жизни и	4	3
могло бы	3	4
точно так	3	3
как это	14	4
конце концов	3	3
обратиться к	3	2
т п	3	16
если мы	12	12
не в	2	11
у нас	4	4
что эти	2	3
мы видим	6	5
как она	10	2
и не	13	16
даже в	2	2
всякий раз	6	8
может быть	22	22
ни в	3	9
с таким	2	11
показать что	7	8
и сейчас	3	2
в основу	3	2
какой мере	2	3
мы знаем	2	3
мы совершенно	4	2
ли это	3	2
у шекспира	2	2
все то	12	3
в одном	3	2
мы можем	5	4
мы никогда	3	4
напротив того	2	2
легко показать	3	2
на самом	6	2
по существу	2	4
из его	2	3
при помощи	4	20
в этой	9	3
совершенно не	4	5
почти всегда	2	3
в себе	6	4
критики и	2	2
и к	2	3
на примере	2	3
что у	4	3
нет никакой	2	3
только в	4	14
но и	3	2
и когда	2	3
не является	2	5
того чтобы	22	7
то время	2	5
из них	4	2
как он	5	2
когда мы	6	3
не то	4	2
что и	3	13
казалось бы	5	2
для того	23	6
как в	3	9
но совершенно	4	2
в искусстве	2	4
с психологической	2	3
идет о	3	2
то что	44	32
увидим что	3	2
о том	20	7
мы увидим	2	4
потому что	24	10
как и	5	16
что все	11	3
т д	2	8
ее и	2	2
в которой	4	4
его не	2	2
один из	2	4
только не	2	3
и это	5	3
очень легко	4	2
и здесь	3	2
был бы	3	5
говорит о	4	2
с этой	4	4
ясно что	5	19
что самое	5	3
и его	5	7
и только	7	3
когда он	7	2
до конца	7	6
надо сказать	3	3
самом деле	12	9
он не	11	3
не может	10	17
в его	10	6
как говорит	2	2
и то	2	2
и если	9	4
с ним	5	2
заключается в	5	7
не только	7	13
по себе	9	9
том что	22	16
что психология	2	5
в какой	5	5
тем самым	3	2
или его	3	3
до тех	2	2
никак нельзя	2	2
та же	3	3
в каком	8	2
в них	2	2
в своих	3	4
мы все	3	2
в виду	2	4
их в	3	2
а не	6	13
же как	3	4
мы не	5	12
одной и	2	4
указывает на	3	4
из которых	3	3
этого слова	3	4
бы мы	3	2
и других	4	3
бы и	2	2
целый ряд	5	6
есть только	2	2
во всяком	3	8
тому что	6	4
сама по	3	2
почти все	2	2
не было	3	3
только что	15	2
в котором	2	4
и совершенно	5	5
в конце	8	3
том чтобы	4	7
те же	2	4
ничего не	2	2
сущности говоря	2	3
тому же	3	3
все время	24	4
в основе	3	2
к этой	3	2
исследования и	4	3
всяком случае	3	6
одной стороны	3	6
в том	21	30
это в	4	2
иначе говоря	2	5
тому чтобы	3	3
но в	2	3
и что	25	8
с другой	2	5
и от	2	2
и вот	6	3
в сущности	6	10
время как	2	5
сказать что	13	7
все же	5	5
и может	5	2
в частности	4	3
