3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram
именно в том	2	2
в конце концов	3	2
и в самом	2	2
до тех пор	2	2
стороны он видит	2	2
то что в	3	2
на то что	6	16
для того чтобы	19	19
и если мы	2	4
о том что	10	6
то что он	3	3
сам по себе	2	3
в сущности говоря	2	8
одной и той	2	2
тех пор пока	2	2
с таким образом	2	2
друг с другом	4	3
на самом деле	5	2
заключается в том	3	6
легко показать что	2	2
все то что	11	2
мы видим что	2	3
если бы мы	2	2
то что мы	3	2
в том что	12	14
к тому что	5	6
так как это	3	3
вместе с тем	2	3
мы никогда не	3	2
в самом деле	7	5
не только не	2	4
сами по себе	3	2
с точки зрения	4	2
с самого начала	5	3
и той же	2	2
так же точно	5	5
то же самое	6	3
и что в	3	3
с другой стороны	2	5
можно было бы	4	3
таким образом что	2	3
и т п	3	3
сводится к тому	2	2
потому что он	2	2
с одной стороны	3	12
и т д	2	3
как это делает	2	2
никак не может	2	3
совершенно ясно что	3	5
он говорит что	2	2
так же как	3	2
до сих пор	3	5
в том чтобы	3	2
