2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram
между тем	5	3
ни было	2	4
и ее	2	2
далеко не	3	3
о мире	6	8
никогда не	3	8
как будто	3	7
наконец в	2	3
так же	6	8
достоевского нет	3	3
в нем	19	19
друг другу	2	4
как на	3	2
его в	6	4
к нему	6	14
так и	7	6
со всею	2	2
в своей	8	3
это не	9	5
для достоевского	5	4
с точки	13	4
прежде всего	7	15
раз и	4	3
входят в	2	2
но это	4	4
в форме	7	2
в одной	6	3
не о	2	4
и в	29	34
но не	9	4
если бы	9	4
голос самого	2	2
голоса в	2	2
тот же	2	2
в человеке	3	2
должна была	4	2
и т	4	8
для него	18	13
входит в	7	2
отношение к	2	6
что оно	2	2
другой стороны	3	3
все это	6	16
при этом	2	4
у него	5	4
он ни	2	3
себя как	2	2
и внутренне	3	2
мире а	3	2
не входит	3	2
как к	3	4
и потому	6	2
подобно тому	3	2
с этим	2	2
и с	4	15
и слово	3	8
уже в	3	3
однако в	2	2
и как	7	3
самого начала	2	8
в отношении	2	9
точки зрения	19	8
же и	2	2
что он	8	23
именно потому	2	2
тому как	3	2
не знает	3	6
так чтобы	4	3
так что	2	5
так сказать	4	2
в своем	8	2
в большинстве	2	2
из подполья	10	36
романах достоевского	5	3
великого инквизитора	2	2
он все	2	3
то же	14	14
в целом	6	5
записок из	2	3
словом о	2	2
как бы	19	27
что в	8	7
произведениях достоевского	5	2
если б	2	2
уже не	13	2
творчестве достоевского	5	5
в которых	2	2
в этом	22	16
мы остановимся	2	4
в обычном	2	2
должно быть	4	3
за ним	3	2
бы то	2	4
в жизни	2	2
этом смысле	10	4
отличается от	3	2
его и	2	3
героя и	10	9
вследствие этого	2	2
эта особенность	4	2
у вас	2	2
он знает	3	2
совпадает с	2	2
или как	5	2
героя в	4	5
но как	3	4
себе самом	9	5
для его	3	2
он в	3	4
той же	5	2
в мире	6	4
еще не	5	4
в то	10	12
т е	21	12
и для	4	8
так как	6	4
нисколько не	2	2
как раз	6	4
и у	3	5
с другими	7	4
чужого сознания	2	3
точек зрения	3	2
было бы	5	2
последним словом	2	2
в самом	10	8
же не	2	2
таким образом	12	5
а в	7	5
и тон	2	3
дело идет	5	5
это и	5	2
его целом	6	2
образа героя	2	3
у достоевского	16	13
ни одного	2	5
как другой	3	4
как мы	4	7
вопрос о	2	2
в творчестве	5	3
вовсе не	7	11
на вопрос	2	4
из своего	2	4
например в	3	2
он и	5	5
все эти	9	4
жизни и	2	3
как можно	2	3
нет ни	2	2
его к	2	3
достоевского в	12	3
конце концов	5	3
слово о	7	7
о нем	9	2
т п	3	6
не в	7	9
друг с	2	2
но все	5	5
отношению к	8	6
сознания и	5	3
себе и	3	5
себе самому	3	18
находится в	2	2
и не	31	29
всех этих	2	2
за пределы	7	2
для других	2	3
даже в	4	5
себя самого	2	11
может быть	24	19
на него	3	7
ни в	3	4
нему и	2	5
и наконец	4	5
с собою	2	6
мире достоевского	7	3
в плане	5	6
слово героя	7	4
конечно не	2	2
большинстве случаев	2	3
о себе	12	18
к себе	2	17
в одном	10	5
на самом	5	11
из его	2	4
в произведениях	3	2
человека из	3	13
героя но	2	2
да ведь	2	2
и во	2	3
ее как	3	3
более того	5	2
я не	3	7
и к	2	12
не как	14	3
в себе	7	6
мы должны	3	5
последнее слово	8	4
ивана карамазова	4	3
и со	2	2
только в	10	6
бы в	3	3
себя и	2	8
но и	14	12
отношении к	3	7
чужое слово	2	2
что же	4	8
сказать что	3	2
но именно	3	2
обращено к	2	2
и сам	2	5
что и	4	5
то ни	2	4
как в	6	4
него нет	2	2
слово в	2	2
то что	15	11
как и	12	18
время не	3	2
потому что	8	12
в другой	3	2
по ту	2	2
благодаря этому	2	2
достоевского и	7	3
в которой	2	2
в каждом	8	3
один из	2	2
и это	5	4
рядом с	14	4
говорит он	6	3
он сам	3	5
ту сторону	2	2
с этой	2	2
был бы	6	2
и его	14	16
самом деле	6	13
до конца	8	3
к другому	2	20
не может	12	19
он не	5	15
в его	24	22
сливается с	6	3
в той	2	2
с ним	5	8
с его	9	6
не только	15	10
по себе	8	3
том что	7	3
войти в	2	2
мы уже	2	6
ибо в	2	2
бы уже	2	3
а как	7	2
в них	3	2
были бы	4	2
тем что	4	4
ни был	2	4
а не	22	9
и даже	2	7
все те	2	2
самого героя	8	3
их в	4	3
в ней	2	3
кажется что	2	2
в кругозор	6	2
диалог в	3	2
бы он	2	4
бы и	4	4
же время	9	12
он есть	4	2
и на	7	6
во всяком	5	5
тому что	3	2
но с	3	2
не было	4	2
самим собою	2	9
человек из	4	7
по отношению	8	5
в котором	2	3
в конце	6	5
для себя	2	6
в романах	7	3
хотя бы	2	5
те же	2	2
лишь на	3	2
он может	3	2
все его	3	2
как слово	3	2
ничего не	5	4
все время	2	5
достоевский заставляет	2	2
всяком случае	3	5
чужому сознанию	2	3
там где	10	7
в том	8	3
но в	7	16
другого человека	4	5
и что	2	5
на его	2	4
с другой	3	4
слову героя	2	2
но он	2	3
и от	2	5
друг друга	3	2
в сущности	5	11
в пределах	13	6
все же	9	7
человек и	2	2
