3gram	Losev_VladivirSolovjev_partition_part3_wordlist_3gram	Losev_VladivirSolovjev_partition_part2_wordlist_3gram
для вл соловьева	10	8
как мы знаем	4	2
в конце концов	3	5
вл соловьев был	4	4
так или иначе	3	2
на то что	2	2
вл соловьева с	6	6
с м указ	13	2
вл соловьева не	3	6
во всяком случае	6	3
он никогда не	2	2
сам вл соловьев	3	7
о том что	3	8
никакого отношения к	3	3
у вл соловьева	11	42
сам по себе	2	2
там же с	10	6
в отличие от	3	3
и то что	5	4
вл соловьева но	4	4
к вл соловьеву	5	2
и в его	2	3
вл соловьев написал	4	2
в те времена	3	5
вл соловьева в	20	8
в настоящее время	2	3
в том что	9	10
соловьев никогда не	3	6
как мы видели	2	3
что же касается	5	5
в то время	6	4
вл соловьев называет	3	7
жизни вл соловьева	3	2
здесь вл соловьев	3	3
по вл соловьеву	3	8
необходимо сказать что	4	5
вл соловьева и	6	10
само собой разумеется	3	2
у него в	3	4
вл соловьева это	2	3
л м лопатин	3	7
том что вл	2	3
вопросы философии и	2	2
содержит в себе	4	4
в то же	3	3
с точки зрения	3	6
вл соловьева только	2	4
тем не менее	6	9
что вл соловьев	8	17
никогда не был	2	4
самого вл соловьева	3	4
вл соловьев и	4	11
м указ соч	13	2
философии и психологии	2	2
в данном случае	2	2
вл соловьева то	4	8
вл соловьев не	5	2
же с ]	9	5
на первый план	2	2
вл соловьев никогда	3	7
дело в том	3	5
само по себе	2	3
вл соловьева здесь	2	2
в это время	4	2
ни в каких	2	2
в связи с	8	2
точно так же	3	4
у нас выше	3	3
вл соловьевым и	2	2
вл соловьева к	14	3
вл соловьева мы	2	5
более или менее	3	5
с вл соловьевым	2	4
то же время	3	2
и вл соловьев	3	2
вл соловьева как	4	10
вл соловьев в	9	7
т i с	3	2
философию вл соловьева	2	6
