2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram
связи с	3	9
которую мы	4	5
формы мышления	2	7
никогда не	2	4
так же	16	17
и мышления	11	2
к тому	4	4
перед нами	5	10
мы склонны	2	3
по сравнению	6	4
у ребенка	6	19
в результате	4	3
с этим	6	4
и как	5	5
самого начала	8	6
пути развития	2	3
едва ли	2	2
точки зрения	26	6
того как	2	3
значения и	2	5
экспериментальное исследование	3	3
главным образом	2	2
всеми остальными	2	2
что они	3	10
в целом	20	13
как бы	11	10
мы называем	3	2
что в	14	17
уже не	2	2
и речь	4	4
тем и	3	4
и основной	3	2
исследования пиаже	3	2
одного из	3	2
что как	2	2
той же	2	4
нас к	8	2
с другими	2	2
было бы	4	10
смысле этого	3	4
таким образом	26	17
а в	2	4
мышления с	6	2
высшей степени	4	6
развития мышления	4	5
значение как	2	3
пользу того	3	2
и т.д	5	5
речь в	2	2
экспериментальных исследований	3	2
приходит к	3	6
отношению к	7	2
что эти	2	3
всех этих	2	2
образом что	3	2
с помощью	13	42
этого исследования	4	2
в себе	6	2
только в	6	10
от этого	2	6
в генетическом	2	4
нас сейчас	2	2
сравнению с	5	3
школьного возраста	3	3
и это	3	4
наши исследования	4	2
и его	6	2
ребенка в	8	12
собственном смысле	5	6
речевого мышления	10	5
не может	12	6
он не	5	4
могли бы	6	11
значения слова	3	2
по себе	5	7
интересующей нас	2	2
со всеми	2	6
в них	2	2
тем что	6	8
хотя и	2	2
связи между	3	5
функции в	4	2
в котором	4	3
в том	24	23
все же	3	6
приводит к	4	4
в частности	2	4
между двумя	2	2
мышление с	2	2
что это	3	5
к мышлению	3	3
так и	5	5
об этом	3	2
является то	2	7
и в	23	25
вместе с	9	14
оба эти	3	3
в качестве	9	12
этой проблемы	8	2
не станем	5	4
другой стороны	9	3
все это	6	6
при этом	4	5
в изучении	2	2
связан с	5	2
этот вопрос	3	3
со всей	4	2
уже в	3	7
что мы	5	7
между мышлением	2	3
что он	7	6
столь же	6	7
показывает что	3	8
на первый	2	2
с тем	7	16
детской речи	9	6
мы говорили	3	4
в этом	17	14
понятий ребенка	3	2
должно быть	2	2
мы и	3	2
в поведении	3	5
в то	7	4
речевое мышление	3	2
как уже	7	6
в самом	7	3
на основании	5	11
речь не	3	2
мышления и	40	23
к выводу	4	2
об отношении	12	2
которые не	3	4
форм мышления	3	2
то и	3	4
это положение	4	2
связь между	6	4
мышления в	8	17
значение в	3	3
и не	9	10
смысле слова	3	2
в виде	2	3
известном смысле	2	2
функции и	6	2
мы можем	6	7
в одном	4	2
с самого	8	6
из основных	3	3
без этого	2	2
бы в	5	2
но и	14	4
того чтобы	17	8
ребенка и	5	17
для того	15	7
что говорит	2	2
потому что	6	6
в собственном	5	6
в пользу	4	5
которых мы	2	2
слова и	5	6
когда он	2	3
что ребенок	4	7
в его	14	15
факт что	3	5
бы сказать	2	3
не могли	2	3
и речи	38	20
тем самым	5	2
в каком	3	2
ребенка с	2	3
в своих	5	2
же как	6	6
мы не	7	9
одной и	2	2
к изучению	2	2
указывает на	2	2
этого слова	4	4
от всех	3	2
из которых	3	5
мы получили	2	3
ребенок не	4	9
в сфере	3	2
мышлении ребенка	2	7
все более	3	2
по отношению	7	3
в детском	9	4
с мы	3	4
а с	4	3
иначе говоря	2	2
в какой	5	4
и отношение	2	2
в зависимости	2	5
можно было	3	6
что она	4	5
в своей	4	2
к проблеме	2	2
в свете	4	2
прежде всего	10	4
в высшей	4	6
но не	4	6
если бы	5	5
независимо от	6	4
для него	2	5
именно в	6	5
что оно	3	4
поэтому в	2	2
и мышление	4	2
человека и	3	5
о котором	2	2
говорили выше	2	2
что с	2	4
и эти	2	2
взрослого человека	6	10
развития в	2	2
вопрос об	6	2
во всем	3	3
на этом	2	3
представляет собой	11	6
между ними	2	3
очень рано	2	2
все остальные	4	2
с одной	8	5
проблема мышления	2	2
возраста в	2	2
из того	5	2
детского мышления	34	8
в речи	2	2
и той	2	2
как известно	3	3
эти исследования	3	3
в связь	2	2
если мы	2	3
друг с	4	5
тогда когда	3	4
мышление и	3	5
мы видим	4	3
между собой	5	13
виде в	2	2
внутренней речи	9	19
в основу	2	4
мышления которые	3	3
обе эти	3	3
приводит нас	2	3
мы должны	5	6
мышления ребенка	5	7
не является	9	8
для этого	5	2
как он	3	3
к установлению	3	2
речи и	28	8
в этих	2	2
то что	17	15
мы видели	2	6
в области	3	7
с другом	4	5
говорит он	15	4
с этой	6	3
как говорит	2	5
его мышления	3	3
с его	4	2
заключается в	8	9
не только	16	6
том что	21	20
на этот	3	2
ступени развития	2	5
могут быть	3	5
мы могли	7	9
от того	6	4
речи но	3	2
уже сказано	6	5
который мы	2	2
и на	8	6
во всяком	3	4
с той	2	2
мышления мы	2	3
все время	6	2
всяком случае	3	4
внутренняя речь	4	5
речи как	8	4
и от	3	2
это речь	2	2
сказать что	11	4
между тем	9	3
из этих	3	4
как на	4	2
речи в	14	4
за этой	2	2
нами в	2	2
зависимости от	2	6
в процессе	8	27
в силу	6	6
развитии ребенка	2	4
в свою	4	3
вслед за	2	3
не связаны	2	2
и потому	2	2
возрасте эти	2	2
и слово	2	3
ребенка как	4	3
того что	15	10
в отношении	10	6
в чем	4	2
в своем	3	4
детском возрасте	9	2
то же	8	2
между отдельными	3	5
основных форм	2	2
к этому	4	3
является для	2	2
в которых	3	3
эгоцентрическая речь	19	4
выводу что	4	4
так как	7	12
же точно	9	3
с ней	2	3
речи ребенка	9	4
в известном	2	4
психологической природы	4	2
возрасте и	4	4
на то	5	4
как мы	5	8
бы что	2	4
все эти	4	7
показывают что	3	5
не столько	4	4
как это	2	7
мышление ребенка	3	2
но тем	2	2
не в	4	6
ребенка к	3	2
но все	2	2
может быть	14	13
ни в	4	9
и все	5	4
о том	6	5
в этой	7	5
и к	4	5
этом отношении	4	3
свою очередь	3	2
раннего возраста	2	7
развития понятий	2	5
от речи	2	3
то время	5	4
как в	4	9
как и	14	15
в развитии	12	24
в течение	2	2
мышление в	4	3
один из	2	6
развития детского	2	2
ясно что	2	2
понятий и	4	7
первый план	2	2
показали что	4	4
развитии мышления	8	7
и то	3	2
на которых	2	2
основной и	2	2
речь и	2	4
их в	4	3
с развитием	2	2
и других	3	2
тому что	5	2
который в	3	3
по своей	5	7
значение слова	5	4
только что	4	2
что перед	2	4
у детей	3	2
этот метод	2	2
в основе	8	16
что является	2	2
раньше всего	3	2
одной стороны	9	5
в один	2	2
там где	2	4
мышления это	2	2
и что	5	10
в смысле	2	4
с другой	10	6
время как	4	4
