2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
для них	2	3
не так	3	4
он был	3	2
мы имеем	6	2
связи с	3	7
далеко не	2	4
как будто	11	3
в нем	5	6
так же	5	5
можно было	4	2
есть в	7	2
из этого	3	4
к нему	3	3
так и	10	7
об этом	6	4
его в	2	6
несмотря на	4	6
с точки	11	8
в своей	4	22
это не	7	2
прежде всего	11	6
в ее	5	3
свидетельствует о	2	2
и он	2	4
как о	3	4
в данном	6	2
как символ	6	9
и в	20	30
не будет	2	2
но не	5	7
вместе с	5	7
то есть	27	21
в стихотворении	2	14
тот же	2	3
к тому	3	2
в качестве	10	4
данном случае	5	2
все в	3	3
жизни в	2	4
для нас	6	10
здесь не	7	7
именно в	7	3
другой стороны	6	6
при этом	6	4
по крайней	6	4
в результате	8	7
и с	7	5
однако в	2	3
уже в	4	2
да и	5	2
и как	3	6
на земле	2	9
едва ли	10	4
точки зрения	14	10
в отношении	4	3
в символе	6	2
не менее	10	5
в чем	2	2
что он	8	7
в своем	3	11
так что	6	11
это уже	3	2
была бы	2	2
тем не	10	5
также и	13	12
сравнении с	2	3
с тем	4	5
что они	2	3
не чем	2	2
в таком	6	2
и является	3	2
то же	7	2
а также	6	3
как бы	4	6
что в	3	5
и притом	2	5
космоса и	2	2
уже не	5	6
в новое	3	3
в этом	9	17
и вполне	5	4
этом смысле	3	3
а его	2	4
не к	2	2
того же	2	4
необходимо сказать	3	4
кроме того	4	2
в это	2	2
здесь в	5	2
здесь конечно	2	2
никак не	4	8
тех или	4	2
всякого рода	3	2
то более	3	2
дело в	2	2
и о	5	5
еще не	7	3
в то	4	4
и для	4	6
и вообще	6	9
так как	5	6
что иное	2	3
как раз	4	5
было бы	14	4
в сравнении	2	3
в самом	2	5
нет никакого	3	3
таким образом	8	13
у гесиода	2	2
а в	4	6
человеческой жизни	5	2
как именно	2	4
иным как	2	2
или вернее	2	3
значительной мере	2	2
подобного рода	11	7
по этому	2	2
или к	2	2
вовсе не	21	8
а именно	2	12
то и	5	2
некоторого рода	2	4
как мы	3	2
без всякого	4	2
разложение в	2	2
все эти	16	2
в других	2	3
жизни и	5	2
точно так	3	3
в значительной	2	2
только и	5	3
или иных	3	2
не в	13	7
такого рода	7	2
но только	2	3
у нас	14	7
но все	3	4
чем иным	2	2
об его	2	2
и не	28	12
может быть	9	7
и другое	3	3
ни в	17	4
смысле слова	15	3
в виде	22	10
конечно не	3	2
даже и	13	4
мы можем	3	5
в одном	4	3
о себе	3	2
и все	8	9
о том	5	12
в этой	4	10
мы читаем	2	6
при помощи	10	6
и к	3	4
в связи	3	7
иное как	2	3
в себе	12	4
верит в	2	2
нет никакой	4	3
и тогда	2	2
и без	6	2
что здесь	6	2
только в	23	9
не просто	16	5
но и	14	13
в другом	3	3
что не	4	2
не что	2	3
учение о	3	3
не прямо	3	2
того чтобы	2	2
то время	2	3
жизнь и	4	3
из них	3	2
здесь тоже	3	3
не то	2	2
и более	3	2
что и	3	6
как в	5	2
для того	3	3
тут же	3	6
только для	3	2
то что	15	18
как и	6	7
потому что	15	13
но даже	4	4
в которой	2	5
если не	3	4
в области	3	2
будто бы	2	5
и сама	3	2
ясно что	7	4
говорит о	2	7
и его	10	6
и только	4	2
в целях	5	2
самом деле	3	2
он не	2	3
не может	5	5
еще более	2	3
в его	3	12
крайней мере	6	4
и то	2	5
с ним	4	3
не только	24	18
по себе	11	2
том что	12	17
можно сказать	5	6
со всеми	2	2
в какой	4	2
бесконечный ряд	16	2
отнюдь не	10	4
и тем	7	3
в них	5	2
уже и	3	2
в виду	6	3
тем что	3	2
а не	7	5
хотя и	5	8
мы не	7	2
указывает на	4	3
мы находим	2	7
в ней	7	3
и даже	9	14
и на	3	6
что именно	2	2
есть только	2	3
во всяком	8	2
же в	4	3
что его	4	3
в котором	2	2
в самой	4	3
в конце	2	8
для себя	2	5
хотя бы	7	2
или в	5	4
еще и	3	4
если он	2	2
в начале	3	3
все время	2	3
всяком случае	4	2
в бесконечный	14	2
в том	20	12
но в	8	9
и что	2	6
в смысле	5	4
на его	2	2
с другой	7	6
является символом	6	2
время как	2	3
здесь как	4	2
сказать что	7	9
все же	2	9
в частности	2	4
