2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram
связи с	3	2
связанное с	2	2
так же	5	3
из коих	3	6
со стороны	8	3
к тому	4	7
с нею	4	2
для нас	9	20
к мысли	2	3
к сознанию	2	2
мысли о	4	2
с этим	7	6
и как	6	5
что слово	3	7
точки зрения	8	2
того как	6	4
том смысле	4	3
заключить что	2	2
остается только	4	2
от нас	2	3
что мысль	4	2
слова но	2	2
зависит от	5	6
в целом	2	3
как бы	6	3
себе представить	7	3
что в	22	17
уже не	2	6
же с	7	6
что как	3	2
но как	3	2
никак не	2	3
той же	3	2
души не	2	2
и о	2	2
могла бы	2	2
заставляет нас	2	2
некотором смысле	2	2
было бы	12	9
с понятием	2	2
только на	3	3
в нас	7	2
таким образом	13	14
а в	5	12
для мысли	2	4
для человека	2	4
вместе и	9	5
из себя	5	2
очевидно что	3	5
только потому	3	3
в других	2	2
жизни и	2	2
отношению к	13	5
steinthal с	4	6
с какою	2	4
и слова	2	2
на него	3	3
и понятия	2	3
в себе	13	16
только в	25	21
сколько и	3	2
не имеет	5	6
если не	2	4
и это	3	4
и его	5	4
в животном	2	3
он не	3	4
не может	22	6
самого себя	4	3
не есть	10	17
и если	2	2
по себе	10	16
что по	3	2
или же	3	4
и тем	3	5
а как	2	2
в них	3	5
мере того	3	3
быть не	4	2
тем что	9	7
есть уже	3	11
а только	4	3
язык не	5	2
не могла	2	2
же время	4	5
и следовательно	2	3
мысли и	9	2
известным образом	2	3
слова в	2	7
не существует	2	3
быть только	5	4
слова для	4	3
в том	26	32
над всеми	2	3
с ср	3	3
в понятии	2	2
все же	6	2
к одному	2	5
со словом	3	4
в природе	6	2
относится к	3	4
то оно	2	3
по мере	6	4
что это	3	4
и при	3	4
в словах	3	3
так и	13	11
душевной деятельности	4	2
и в	39	30
не будет	2	3
деятельности и	5	2
не можем	2	3
вместе с	8	12
она не	3	2
другой стороны	5	4
есть дело	2	2
при этом	6	3
представить себе	3	3
в сознании	3	15
словом и	2	5
и с	3	2
несомненно что	2	2
что мы	4	8
и наоборот	6	4
языка и	17	2
все что	2	4
тому как	4	5
с и	3	3
столь же	3	4
показывает что	3	2
с тем	5	7
только тогда	5	9
мысль о	2	5
в основании	3	2
к ней	2	5
в этом	15	10
не следует	5	5
должно быть	7	5
бы ни	4	3
в их	2	2
еще не	6	5
в то	4	10
в самом	3	8
об отношении	3	4
души и	5	2
что для	3	4
каждый раз	4	2
без слова	2	3
то и	7	6
т п	4	2
бы быть	4	2
связь между	2	2
так например	3	2
т с	25	22
и не	18	15
за пределы	2	2
членораздельный звук	2	3
мы можем	2	3
в одном	8	2
и без	3	7
бы в	4	2
но и	20	19
там же	9	6
того чтобы	2	3
для того	3	4
понятия и	3	2
в собственном	2	2
потому что	52	46
в которой	2	3
в каждом	4	3
создание языка	2	2
только не	2	2
слова и	4	5
тем более	2	4
в слове	8	32
в его	5	4
с ним	3	6
в коих	2	2
тем самым	4	7
в каком	6	5
согласно с	4	2
мы не	10	9
одной и	3	4
в ней	7	8
сравнительно с	2	5
никто не	3	3
что именно	2	4
но вместе	2	4
же в	2	2
мысль в	2	3
не было	4	4
это последнее	2	2
по отношению	13	5
можно думать	2	3
или в	2	3
что язык	16	2
в начале	2	3
что даже	2	4
есть понятие	2	2
а потому	10	6
заметить что	2	3
в действительности	4	5
что например	3	3
в нем	20	9
природы в	2	2
явлений и	3	2
оно не	3	4
несмотря на	5	2
в своей	3	2
с в	5	2
прежде всего	4	3
но это	5	6
к одной	3	3
таком случае	2	2
но не	8	7
то есть	42	34
если бы	14	12
и т	6	5
все в	2	2
независимо от	6	5
для него	4	9
что оно	2	11
его только	2	2
по крайней	2	5
связь с	2	3
одним словом	2	2
разница между	3	3
не все	2	4
так что	16	7
так сказать	2	2
вопрос об	3	2
в таком	5	3
только по	2	5
в мысли	8	2
и притом	4	2
за ним	2	3
все остальные	4	3
в некотором	2	2
с одной	3	7
слова не	2	2
из того	2	2
предмета а	2	3
что а	2	2
душевной жизни	9	6
в живой	2	2
тем же	2	4
и той	3	2
состояние души	2	2
lotze т	4	2
тогда как	2	2
прежде чем	3	2
есть для	2	5
но без	2	2
тогда когда	9	9
