2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram
прав когда	3	5
он был	3	2
с такой	5	4
из этих	3	3
которую мы	4	2
как все	2	2
никогда не	4	9
как будто	4	6
так же	2	13
что это	10	8
в нем	4	7
как на	3	11
что она	16	6
действия и	2	4
из этого	8	2
в своей	5	4
несмотря на	5	5
с точки	9	2
мы нашли	2	3
в ее	7	3
которое мы	3	3
видим в	2	2
чувства которые	2	2
со стороны	2	3
в данном	2	3
в одной	2	2
и та	2	2
и в	38	30
действующее лицо	2	2
одна из	4	3
в силу	2	3
не можем	4	4
вместе с	5	12
то есть	15	13
оба эти	3	2
увидеть что	7	2
если бы	14	11
к тому	6	8
в качестве	2	2
тот же	3	3
данном случае	2	3
перед нами	8	2
и т	14	7
для него	2	3
на деле	4	8
одно и	3	3
для нас	8	3
должен был	2	4
что оно	2	6
в свою	4	3
другой стороны	5	5
все это	3	2
при этом	4	8
противоречие с	2	2
у него	4	3
по самому	2	2
совсем не	3	2
о которых	9	2
о котором	5	6
и другие	2	3
два совершенно	4	2
с этим	8	2
мы хотим	3	2
по его	3	3
и как	8	7
его мнению	2	2
самого начала	6	3
того что	4	8
слов и	2	2
едва ли	3	2
точки зрения	16	7
с здесь	2	3
отношения к	2	2
же самое	10	5
того как	3	2
чувства и	2	5
что он	11	17
с и	6	5
показывает что	2	3
что с	4	6
говорит что	8	6
так что	8	3
в своем	5	6
что эта	4	4
чтобы увидеть	5	2
была бы	2	3
с теми	3	3
самом деле	21	8
с тем	8	8
что они	4	5
в таком	3	3
то же	10	7
в целом	4	5
на этом	5	6
к этому	3	3
мы говорили	3	4
как бы	14	19
басни и	13	2
сих пор	5	5
что в	20	24
в которых	6	2
в этом	13	14
в нее	2	2
образом и	2	2
что всякое	2	4
видим что	8	3
противоречие которое	3	3
того же	3	2
от этой	2	2
должна быть	5	2
и уже	2	3
по мнению	2	6
с одной	6	12
из двух	3	3
это есть	2	3
совершенно ясно	13	7
никак не	7	6
и дальше	2	2
два плана	7	2
стоит только	3	5
когда она	3	3
он в	2	2
той же	2	3
и о	3	3
но мы	2	2
в то	3	2
и для	4	6
так как	6	9
и мы	13	16
как раз	8	13
и другими	2	2
заставляет нас	2	3
же точно	2	6
было бы	12	5
к самому	2	2
в самом	25	14
следует понимать	2	2
в нас	4	13
таким образом	12	20
и той	2	2
смысл этого	3	3
должен быть	3	2
а в	7	4
что если	4	6
в лучшем	2	3
или вернее	2	2
до сих	6	5
в басне	37	2
на то	16	17
очевидно что	2	2
вовсе не	8	3
как мы	7	5
находятся в	2	3
представляют собой	2	2
все эти	4	2
не могут	2	3
как это	6	7
внимание на	2	4
он видит	2	2
обратиться к	4	5
во всех	4	2
т п	5	3
если мы	6	16
не в	12	8
это только	3	3
так например	2	3
но только	8	3
у нас	2	4
что эти	4	2
мы видим	12	8
мы найдем	2	4
и не	10	6
что поэт	2	3
полагает что	3	3
и другое	4	2
между собой	2	2
может быть	19	11
всякий раз	3	2
ни в	3	3
показать что	7	12
для читателя	2	2
и наконец	2	3
именно это	3	4
и все	10	4
мы можем	7	7
состоит в	3	3
все то	7	2
в одном	8	2
на самом	2	2
о том	6	10
напротив того	6	2
легко показать	6	3
аффективное противоречие	3	2
по существу	2	2
в совершенно	2	6
в этой	13	5
с самого	6	3
совершенно не	5	6
и к	3	4
в себе	4	5
на примере	2	4
что у	7	3
что здесь	2	3
только в	4	5
бы в	3	5
и когда	5	9
но и	5	6
в другом	5	3
уже давно	2	4
для этого	2	9
образом мы	4	3
имеет место	2	3
того чтобы	9	20
двух противоположных	5	6
что когда	2	2
из них	6	2
при таком	2	3
когда мы	2	6
ясно что	6	6
в этих	2	3
что и	4	3
казалось бы	5	4
для того	8	20
как в	4	3
то что	35	37
как и	8	6
увидим что	9	9
т д	4	3
мы увидим	12	9
потому что	14	23
что все	3	6
в течение	4	2
в которой	5	3
один из	6	5
и это	8	8
которых мы	6	4
очень легко	4	3
говорит он	2	2
говорит о	2	4
и здесь	6	6
был бы	3	5
с этой	2	2
и его	6	6
и только	3	3
когда он	4	5
до конца	2	2
в двух	9	5
это будет	2	2
к которым	5	2
не может	7	9
он не	6	3
наше внимание	3	2
по преимуществу	2	2
могли бы	5	4
в его	5	4
и то	8	9
том и	2	2
не могли	4	4
и если	6	6
в той	5	3
заключается в	7	8
не только	12	16
том что	14	21
мы уже	7	6
как только	3	4
что по	3	2
двух планах	5	3
и тем	3	6
в них	3	4
в своих	4	5
мы все	4	6
мы могли	4	4
действующих лиц	5	7
эти два	3	3
тем что	3	6
а не	7	8
в виду	4	4
мы не	5	3
одной и	2	2
указывает на	6	4
из которых	4	4
в ней	15	4
и даже	4	2
то это	2	4
целый ряд	2	3
и на	6	3
что именно	2	5
с но	2	2
есть только	2	2
же в	2	2
тому что	6	8
с той	4	2
и следовательно	2	2
только что	2	4
в котором	6	2
и совершенно	4	4
в конце	2	4
он говорит	6	3
или в	5	6
хотя бы	2	3
когда в	4	2
ничего не	2	2
бы для	2	2
сущности говоря	7	8
все время	30	20
в основе	3	7
лучшем случае	2	3
эстетической реакции	2	17
одной стороны	5	12
там где	6	4
в том	25	27
а с	2	5
что даже	2	2
совершенно прав	2	7
это же	2	2
но в	3	5
и что	18	23
внутреннее противоречие	2	2
и между	4	3
по рецепту	2	4
с другой	7	9
и вот	2	2
но он	2	3
в сущности	10	12
из критиков	3	2
время как	4	2
сказать что	4	9
все же	8	7
один план	2	2
