2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram
связи с	3	9
на которые	3	2
которую мы	2	5
никогда не	5	4
может возникнуть	2	2
их развития	5	2
так же	15	17
связи и	2	3
этого процесса	2	9
к тому	6	4
он имеет	3	2
по сравнению	5	4
у ребенка	9	19
в результате	4	3
с этим	3	4
переход от	7	3
ребенок к	2	2
и как	3	5
самого начала	5	6
пути развития	3	3
точки зрения	18	6
того как	5	3
вперед по	2	2
что они	5	10
в целом	4	13
как бы	5	10
показывает исследование	2	2
что в	16	17
и основной	2	2
исследования пиаже	2	2
в жизни	2	3
но как	3	3
той же	4	4
что развитие	8	3
для развития	6	3
нас к	3	2
было бы	10	10
в корне	2	2
таким образом	19	17
а в	3	4
высшей степени	2	6
когда ребенок	3	2
и т.д	4	5
речь в	3	2
приходит к	3	6
но только	2	3
отношению к	12	2
что эти	2	3
как она	3	3
и другое	4	5
в себя	3	3
образом что	2	2
с помощью	10	42
как показывают	2	2
является не	2	2
только в	10	10
помощью которого	2	2
имеет место	2	3
речевого развития	3	2
сравнению с	5	3
школьного возраста	12	3
наши исследования	2	2
и его	3	2
ребенка в	5	12
не может	18	6
он не	8	4
могли бы	6	11
не есть	4	3
по себе	7	7
интересующей нас	3	2
со всеми	2	6
экспериментального исследования	3	2
в них	2	2
понятий не	2	2
тем что	5	8
функции в	3	2
в котором	2	3
как показывает	4	2
в том	18	23
все же	3	6
в совершенно	2	2
приводит к	7	4
к одному	2	5
в частности	3	4
между двумя	3	2
для ребенка	3	10
его в	2	3
так и	7	5
является то	2	7
показал что	3	3
и в	16	25
вместе с	4	14
оба эти	4	3
объясняет нам	2	2
в качестве	4	12
понятия в	3	7
к жизни	3	2
не станем	2	4
другой стороны	2	3
все это	2	6
при этом	4	5
то в	3	3
этот вопрос	6	3
к которому	4	3
что мы	4	7
в центр	3	2
все что	2	2
тому как	4	2
что он	25	6
столь же	2	7
показывает что	5	8
с несомненностью	2	3
с тем	3	16
вытекает из	3	2
детской речи	2	6
мы говорили	2	4
в этом	25	14
этого возраста	4	2
должно быть	8	2
мы и	5	2
ребенка но	4	3
еще не	4	4
в то	5	4
этой точки	4	2
как уже	3	6
в самом	4	3
на основании	2	11
речь не	3	2
мышления и	4	23
отличие от	2	6
об отношении	2	2
по типу	2	5
которые не	2	4
то и	2	4
на основе	2	22
значение в	3	3
и не	12	10
известном смысле	7	2
функции и	3	2
именно это	2	2
мы можем	6	7
в одном	3	2
состоит в	6	3
это значит	5	4
с самого	5	6
из основных	3	3
ни на	2	2
бы в	4	2
но и	6	4
того чтобы	17	8
и отношения	3	2
ребенка и	4	17
для того	14	7
понятия и	2	3
таким же	3	2
потому что	21	6
эти связи	2	3
когда он	2	3
что ребенок	11	7
в его	11	15
бы сказать	2	3
одним из	2	5
с ним	5	4
тем самым	8	2
ребенка с	3	3
в своих	2	2
же как	7	6
раньше чем	3	2
мы не	3	9
указывает на	2	2
из которых	3	5
уже по	4	2
ребенок не	6	9
в сфере	5	2
же в	2	2
ступени в	2	2
по отношению	12	3
которые являются	2	2
а с	2	3
этих процессов	3	3
в какой	6	4
и отношение	2	2
в зависимости	2	5
это мы	2	2
в нем	7	2
и того	3	4
можно было	5	6
что она	2	5
в своей	2	2
в свете	4	2
прежде всего	3	4
в высшей	2	6
но это	3	5
но не	10	6
речи не	4	2
если бы	8	5
если в	3	3
тот же	5	2
для него	5	5
именно в	4	5
что оно	6	4
психологической природе	4	2
и мышление	3	2
мы будем	2	2
понятий таким	2	2
к овладению	4	4
что с	5	4
так что	4	2
и эти	2	2
развития в	6	2
вопрос об	3	2
во всем	2	3
на этом	3	3
своего развития	6	3
представляет собой	7	6
и их	4	3
включает в	3	2
которых он	2	2
с которыми	2	3
с одной	3	5
совпадает с	2	6
совершенно ясно	2	2
из того	11	2
связанные с	6	2
детского мышления	4	8
то обстоятельство	2	3
основе этого	2	2
в ряде	2	4
как известно	4	3
мы имели	2	4
совершенно иным	2	2
по своему	3	11
если мы	7	3
друг с	7	5
тогда когда	5	4
с необходимостью	5	2
мы видим	4	3
находится в	2	2
значит что	5	4
между собой	13	13
внутренней речи	7	19
одного и	3	4
обе эти	5	3
приводит нас	2	3
мы должны	8	6
мышления ребенка	2	7
не является	5	8
из нее	5	2
как он	6	3
речи и	6	8
в этих	3	2
то что	26	15
мы видели	3	6
мышления а	3	2
ступень в	3	7
в области	12	7
с другом	7	5
и здесь	2	2
говорит он	2	4
с этой	4	3
заключается в	5	9
не только	16	6
том что	15	20
на этот	4	2
ступени развития	2	5
могут быть	4	5
мы могли	7	9
от того	3	4
речи но	2	2
экспериментальный анализ	2	2
процесса образования	2	14
к внутренней	3	2
который мы	2	2
само по	2	2
и на	6	6
отношения между	3	5
во всяком	2	4
процесса в	3	6
образования понятия	2	6
внутренняя речь	7	5
речи как	4	4
и от	2	2
это речь	4	2
сказать что	13	4
и может	3	2
между тем	3	3
как на	3	2
понятие в	2	4
речи в	6	4
нами в	2	2
зависимости от	2	6
в процессе	13	27
в силу	10	6
как с	3	4
еще в	3	2
развитии ребенка	3	4
процесс развития	2	2
в свою	4	3
вслед за	2	3
и потому	2	2
ребенка как	2	3
того что	16	10
слов и	2	5
в отношении	9	6
не менее	3	6
в чем	3	2
в своем	5	4
обстоятельство что	2	3
понятий в	8	6
то же	8	2
к этому	3	3
является для	2	2
представления о	2	2
того же	7	6
понятий мы	2	4
к данному	2	2
ничего общего	3	3
так как	16	12
и другими	2	2
с их	4	2
оно является	3	3
в известном	8	4
психологической природы	2	2
возрасте и	2	4
как мы	10	8
все эти	4	7
не могут	4	4
как это	8	7
мышление ребенка	3	2
не в	6	6
ребенка к	4	2
но все	2	2
может быть	9	13
мы знаем	3	4
о том	8	5
в этой	6	5
и к	2	5
самый процесс	2	2
своей психологической	2	2
этом отношении	5	3
свою очередь	3	2
возраста и	2	3
то время	4	4
из них	2	4
что и	3	10
как в	5	9
как и	8	15
в развитии	28	24
благодаря этому	2	6
понятий и	15	7
показали что	7	4
к которым	2	4
и то	4	2
как они	3	2
речи что	2	4
в случае	2	3
ребенка на	4	3
речь и	4	4
их в	2	3
с развитием	2	2
задолго до	3	2
речи есть	2	2
тому что	5	2
в отличие	2	6
по своей	3	7
только что	5	2
у детей	2	2
может ли	2	2
но они	2	2
в основе	8	16
что является	2	2
одной стороны	3	5
в образовании	2	7
и что	12	10
в смысле	3	4
на его	2	2
с другой	4	6
время как	4	4
и по	4	5
