2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram
связи с	3	3
подняться над	2	2
не осознает	2	3
в системе	4	3
так точно	4	2
высших психических	5	2
их развития	5	5
никогда не	5	8
так же	15	15
друг другу	2	2
в меру	4	2
связи и	2	3
этого процесса	2	2
в умственном	2	2
системы в	2	4
целиком и	2	2
к тому	6	10
реальных понятий	2	10
научное понятие	2	8
понятия с	3	2
собственной мысли	5	2
от ребенка	3	2
он имеет	3	2
по сравнению	5	15
у ребенка	9	13
между обучением	12	6
если верно	2	2
с этим	3	4
переход от	7	4
и как	3	6
обучения на	2	2
этот период	2	2
самого начала	5	7
пути развития	3	2
точки зрения	18	13
того как	5	5
отношения к	2	3
же самое	4	6
этом возрасте	4	3
понятий которые	4	4
требует от	3	3
не совпадает	2	2
идет от	2	2
зависит от	4	3
что они	5	2
в целом	4	3
как бы	5	11
показывает исследование	2	6
что в	16	17
обучением и	12	5
путь развития	4	7
но как	3	3
лежит в	2	3
той же	4	4
что развитие	8	6
для развития	6	5
нас к	3	4
иначе как	2	5
было бы	10	9
исходит из	2	2
во второй	2	2
только на	2	2
таким образом	19	18
а в	3	2
форм и	2	2
что если	4	2
очевидно что	2	3
когда ребенок	3	3
что я	2	2
каждого отдельного	3	3
представляют собой	2	3
и т.д	4	3
речь в	3	2
умственного развития	6	5
приходит к	3	2
но только	2	2
отношению к	12	10
у нас	2	2
опирается на	4	2
в школьном	18	9
и другое	4	2
в себя	3	3
в школу	3	4
понятиями в	2	4
с помощью	10	13
по существу	3	2
как показывают	2	3
является не	2	2
не с	2	2
иностранный язык	5	6
только в	10	18
имеет место	2	2
обучении и	2	2
не имеет	4	6
сравнению с	5	14
школьного возраста	12	3
и его	3	3
высшую ступень	5	2
мы пытались	2	2
ребенка в	5	8
до конца	3	3
не может	18	19
он не	8	7
могли бы	6	9
но что	3	4
по себе	7	3
детских понятий	12	5
и произвольности	2	4
между развитием	6	4
и тем	3	5
вне системы	3	3
ребенок раньше	3	2
в них	2	3
понятий не	2	4
мысли в	4	4
понятия к	2	11
тем что	5	8
а только	4	2
системе отношений	2	2
в новой	4	2
все основные	3	2
связей и	4	2
и следовательно	6	4
не умеет	3	4
в котором	2	2
мысли и	5	2
как показывает	4	7
сам пиаже	3	3
он может	3	2
если он	2	2
между понятиями	3	21
неспонтанных понятий	2	2
в том	18	28
но в	6	5
и между	2	2
и письменной	5	2
но он	7	2
все же	3	2
в совершенно	2	2
приводит к	7	6
к одному	2	2
в частности	3	4
между двумя	3	2
вообще не	4	6
начинается в	2	2
для ребенка	3	6
по мере	2	3
не на	3	2
из этого	2	2
его в	2	6
больше чем	3	3
так и	7	6
с точки	9	10
показал что	3	4
и в	16	28
вместе с	4	7
оба эти	4	3
отношений общности	3	26
в качестве	4	4
понятия в	3	6
к жизни	3	4
не станем	2	2
родной язык	3	4
этом вопросе	2	2
в такой	5	2
другой стороны	2	2
все это	2	2
то в	3	5
при этом	4	3
верно что	2	2
перейти к	3	2
из области	2	2
этот вопрос	6	3
спонтанных понятий	7	15
усвоение иностранного	3	8
к которому	4	2
что мы	4	11
языка и	6	5
что он	25	18
показывает что	5	7
именно потому	2	2
не знает	5	3
предмета и	2	2
с несомненностью	2	4
и полностью	2	2
с тем	3	5
детской речи	2	5
