2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram	Losev_DialektikaMifa_partition_part1_wordlist_2gram
или не	5	5
сам по	6	5
что такое	10	21
из этих	2	2
как таковая	2	3
и значит	3	3
никогда не	9	7
что это	11	12
для мифа	2	3
так же	4	4
в нем	16	3
для науки	3	2
несмотря на	10	2
к нему	8	3
говорить что	2	4
об этом	4	6
так и	9	5
что она	7	9
но –	4	5
с точки	12	14
это не	9	4
прежде всего	10	8
д и	2	6
говорить о	5	4
оно есть	2	2
но это	8	5
со стороны	2	2
в данном	3	2
как о	2	4
не о	4	2
и в	18	24
вещи есть	2	2
но если	5	6
но не	4	2
вещей и	2	6
если бы	12	6
можно только	2	4
как с	2	2
утверждать что	3	6
к тому	4	4
она не	6	3
и т	21	24
мифология и	3	5
миф есть	4	12
для него	2	4
– и	3	4
одно и	4	5
но вот	3	2
именно в	2	2
что оно	5	7
другой стороны	4	2
все это	11	6
то в	7	2
по крайней	4	5
и потому	3	2
и всякий	2	3
и есть	16	16
с этим	2	3
и ни	6	3
– не	11	7
грань между	2	2
и с	5	6
иметь в	3	2
и как	7	8
как мифология	2	2
даже не	3	6
того что	2	12
миф сам	2	2
точки зрения	17	25
не менее	2	11
ничто не	3	2
в чем	6	4
стало быть	9	9
же и	2	2
что он	11	13
есть просто	3	4
так что	15	8
не знает	2	3
в своем	5	3
была бы	3	3
также и	7	2
есть мифология	3	2
есть и	5	12
при условии	3	3
только тогда	2	3
во всем	2	3
что не	7	5
и является	2	2
то же	10	6
на этом	2	2
как бы	11	3
не мешает	4	2
что в	13	7
и жизни	4	6
и притом	4	5
уже не	2	5
утверждаю что	5	5
есть бытие	3	2
в этом	12	8
должно быть	3	3
отличается от	2	8
в мифе	12	13
– это	9	6
должна быть	3	6
мифа и	2	6
раз и	2	3
не буду	3	5
вероучение и	2	2
с одной	2	3
это есть	9	8
но как	2	2
никак не	6	2
тех или	3	2
если иметь	2	2
мы и	2	4
и говорить	2	2
в их	3	2
не что-нибудь	3	2
– вот	3	2
не значит	3	3
и о	3	3
еще не	2	2
из того	2	2
в то	6	5
т е	25	48
то как	3	2
учения о	2	2
этой точки	2	2
и для	2	2
есть ни	6	3
и у	2	2
как раз	4	7
он –	18	7
и вообще	4	2
так как	11	6
было бы	12	5
в самом	3	7
для мифического	6	2
другими словами	2	7
быть и	4	3
случае не	3	3
– или	2	3
только на	3	7
ровно никакого	2	3
а в	5	2
точка зрения	2	5
это и	4	7
или нет	3	5
ибо иначе	2	3
что если	2	2
что для	3	5
это –	24	16
мы говорим	4	2
миф не	14	5
на то	5	3
и он	5	2
вовсе не	7	13
вопрос о	2	5
то и	2	3
как мы	4	2
только потому	3	2
все эти	2	3
он и	2	3
мифического сознания	15	7
жизни и	3	5
нет ни	2	2
очень мало	2	2
есть всегда	4	5
иной раз	2	2
точно так	2	2
как это	4	5
только и	4	2
не наука	2	3
как таковой	4	2
не в	6	3
итак миф	2	2
же можно	2	2
но только	3	4
сознания и	3	4
только как	2	5
лишь как	2	2
всегда есть	2	5
и не	30	27
же он	2	2
пространства и	2	2
значит что	14	24
же тут	3	4
может быть	17	13
ни в	15	9
в виде	2	8
не больше	2	3
от самого	3	2
не говорит	4	3
конечно не	3	4
даже и	3	7
– тогда	3	11
– все	6	3
и все	3	6
о том	4	6
на что	2	2
это значит	11	24
даже если	3	2
я не	5	6
совершенно не	8	2
тому что	3	4
в себе	11	2
ничем не	3	7
как же	5	5
и тогда	2	5
не просто	7	18
только в	3	5
бы в	3	2
но и	7	9
ни на	6	3
от бога	3	2
для этого	2	2
миф –	9	5
учение о	11	8
ровно ничего	5	3
как не	2	2
оно –	3	4
что же	3	11
больше ничего	3	6
жизнь и	3	4
сказать что	10	4
мифическое сознание	8	3
быть может	4	3
и –	14	6
не имеет	15	11
из них	2	3
что и	3	6
реальная жизнь	2	3
для того	2	3
что миф	12	7
или иной	3	4
обе стороны	3	2
чаще всего	2	2
то что	13	14
как и	2	7
т д	19	23
потому что	14	7
в особенности	5	7
и где	2	2
и это	2	4
ни от	2	4
ясно что	8	7
и пр	5	6
говорит о	5	4
с этой	2	5
она есть	5	10
это было	2	3
тем более	2	3
как например	2	2
самом деле	3	6
он не	3	5
не может	12	19
того кто	2	3
есть конечно	2	2
в его	3	2
крайней мере	4	5
но что	3	7
и то	9	4
не есть	40	54
не только	13	23
есть нечто	10	23
по себе	25	20
том что	9	8
миф и	4	3
она должна	2	2
– в	4	6
отнюдь не	9	10
в каком	8	3
в них	3	5
может и	4	2
уже и	3	3
могут быть	3	2
в виду	5	7
той или	7	2
же как	2	2
хотя и	4	5
и даже	13	13
а не	14	26
в ней	3	2
то это	4	9
никто не	2	2
есть подлинная	2	3
же время	4	3
ни к	2	3
что именно	2	3
и больше	2	4
само по	5	5
он есть	4	3
собственно говоря	4	4
есть только	5	12
я утверждаю	4	4
не было	6	3
и следовательно	2	2
во всяком	4	2
думать что	3	2
сама по	8	4
ни о	5	3
есть не	3	9
только что	3	4
– одно	2	2
хотя бы	6	4
ничего не	17	17
именно как	2	3
еще и	3	2
не существует	7	10
тому же	2	2
но они	2	2
мифологии и	5	3
в основе	3	3
вещь не	2	2
всяком случае	2	2
но она	3	3
одной стороны	2	3
и тут	3	3
– как	5	3
в том	9	5
что их	2	2
но в	6	2
и что	12	15
необходимым образом	2	2
с другой	6	4
и от	2	3
и вот	6	2
время как	2	4
что мир	2	7
все равно	3	2
все же	5	3
его не	6	2
в частности	2	2
