2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram
авторитарного сознания	2	12
ни было	2	2
всего лишь	5	3
в рамках	4	4
я это	2	2
никогда не	4	3
в хх	3	4
наконец в	3	2
в нем	2	3
д андреев	2	3
дискурс власти	3	3
как на	3	3
одно из	4	2
так и	9	7
этот путь	2	3
с точки	3	3
прежде всего	3	4
в ее	5	2
со стороны	7	3
в данном	4	3
и в	16	19
из ведущих	2	2
но не	4	5
не случайно	3	4
вместе с	5	5
то есть	5	5
х годов	15	3
в стихотворении	6	13
еще в	3	4
в качестве	5	5
данном случае	4	3
к жизни	2	2
в поэзии	5	3
для него	2	4
жизни в	4	4
я твой	2	2
в принципе	2	5
другой стороны	2	4
при этом	15	6
то в	3	2
и одновременно	2	2
хх века	11	8
без другого	2	2
подобно тому	2	2
соцреализма в	2	5
художественного творчества	2	2
и с	2	3
мира в	3	2
однако в	4	6
и как	3	3
разумеется не	3	2
того что	9	5
едва ли	3	4
точки зрения	7	4
не менее	2	6
себя в	7	6
эстетический субъект	2	3
что он	5	3
коммуникативное событие	4	3
тому как	3	2
не знает	2	2
в третьем	3	2
и ты	4	3
доверие к	2	2
в целом	5	2
то же	9	12
а также	4	2
как бы	8	2
общественного сознания	2	2
в противоположность	2	2
е годы	9	2
представляет собой	2	2
что в	2	4
и жизни	3	3
в кругозоре	2	3
уже не	3	2
в этом	14	9
дискурс ответственности	2	2
другого в	4	3
в году	5	5
в жизни	8	2
того же	2	4
лирического героя	7	4
с одной	4	7
присутствия в	6	2
из стихотворений	2	2
жизнь как	2	2
художественного мышления	6	5
на жизнь	2	2
той же	3	2
в каждой	2	2
в мире	16	9
эстетического субъекта	7	3
еще не	6	2
в то	9	9
из того	2	2
и для	4	3
искусство не	2	2
как раз	2	2
личности в	3	3
но уже	3	2
было бы	2	2
не надо	2	2
в соцреалистических	2	2
на свете	2	2
а в	5	3
нашего столетия	2	2
выше и	2	2
[] в	3	6
жизни а	2	2
пути в	4	8
своего рода	10	13
мы с	2	3
тогда как	17	9
него не	2	2
и т.п	6	10
что я	5	2
а именно	5	3
творческого поведения	2	5
он и	2	2
жизни и	3	4
все еще	3	2
я я	2	2
как это	3	2
в глазах	3	3
во всех	2	3
пути как	2	2
не в	10	4
мыслится как	3	3
такого рода	10	9
у нас	2	5
отношению к	4	3
с образом	2	2
и не	22	11
человека в	2	4
даже в	4	4
может быть	12	17
поэзии и	2	2
и наконец	3	2
одном из	2	2
в одном	4	2
состоит в	6	9
о том	6	2
в этой	8	3
по существу	4	3
я и	10	4
и к	3	2
я не	2	5
в себе	6	6
этом отношении	5	3
не с	2	3
не вполне	2	2
что не	2	2
но и	14	10
в ситуации	2	2
себя и	2	2
в другом	6	3
в стихах	6	8
и выше	2	2
соответствии с	5	2
своего другого	4	3
быть может	2	3
из них	4	2
художественной культуры	5	3
коммуникативного события	5	2
и сам	2	2
что и	2	2
для того	2	2
то что	12	7
[] это	3	3
как и	5	10
потому что	3	2
причастность к	2	4
на свою	3	3
право на	2	3
один из	2	4
это как	3	2
в области	3	4
образ пути	2	2
уединенного сознания	14	5
том числе	3	2
с этой	2	2
не могу	2	2
и его	6	3
и только	2	2
конвергентного сознания	7	3
до конца	4	2
лирический герой	5	10
сталинской эпохи	2	3
я в	7	7
не может	8	9
в его	6	4
одним из	4	3
говоря уже	4	2
не только	14	8
том что	8	7
тем самым	7	3
а затем	3	2
отнюдь не	3	4
на себя	2	2
не говоря	4	2
эстетической деятельности	2	3
эстетического откровения	2	3
быть не	2	2
как писал	2	2
в своих	2	2
о которой	2	2
тем что	2	4
а не	12	20
жизни как	2	2
и даже	2	8
вплоть до	2	3
в е	8	2
же время	7	9
и на	2	6
же в	2	2
в облике	2	2
но с	2	3
с ее	3	2
в противовес	7	3
по отношению	4	4
в конце	2	2
для себя	2	2
том чтобы	2	3
нобелевской лекции	2	2
причастности к	6	4
субъекта жизни	2	2
в начале	4	3
следует признать	2	3
в основе	5	2
одной стороны	4	6
хх веке	3	4
в том	12	10
уже о	3	2
но в	3	2
с другой	6	8
у маяковского	2	2
класс и	2	3
все же	2	2
парадигмы художественности	2	3
в частности	11	4
