3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_3gram
человека и его	2	3
каждом из них	2	2
на равных правах	2	2
то есть в	8	2
по сравнению с	2	4
о том что	3	2
в зависимости от	3	2
в братьях карамазовых	2	2
в каждом из	2	3
для правильного понимания	2	2
в его творчестве	3	2
в том что	4	3
в преступлении и	2	2
мы уже говорили	2	2
в большинстве случаев	2	4
в то же	3	5
с точки зрения	9	2
в области серьезно-смехового	2	2
можно сказать что	2	4
том числе и	2	10
то есть с	2	2
жизни и смерти	7	2
то же время	3	5
до сих пор	2	5
преступлении и наказании	2	2
в том числе	2	11
