2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram
между тем	5	3
он был	2	3
вообще не	3	2
пушкин писал	4	5
никогда не	3	5
что это	3	4
работы пушкина	3	2
так же	3	5
в москве	2	2
в нем	4	5
борисе годунове	32	2
мне кажется	3	5
его в	2	2
так и	9	9
об этом	6	3
речь идет	4	4
с точки	2	8
несмотря на	2	2
в своей	7	6
прежде всего	5	7
в ее	2	4
словаре академии	2	3
но это	3	6
пушкина к	5	3
со стороны	2	6
в данном	2	14
и в	29	44
но не	3	3
по рукописям	3	3
пушкиным и	3	4
оба эти	3	2
если бы	2	9
пушкина от	4	2
в качестве	5	4
для пушкина	21	3
что пушкин	15	8
пушкина который	3	2
должна была	2	4
и т	9	30
для него	4	6
должен был	4	2
именно в	4	6
другой стороны	3	7
все это	11	5
при этом	2	2
пушкин был	4	2
пушкина не	6	5
и потому	2	2
в результате	2	3
этот вопрос	2	4
по поводу	8	7
с этим	3	3
и с	4	3
по его	3	2
того что	5	9
в отношении	2	9
далее в	2	2
в пушкинское	2	2
точки зрения	5	11
том смысле	2	2
пушкина это	2	4
академии российской	2	4
не менее	3	5
что он	13	10
что с	2	2
так что	3	6
в своем	9	2
была бы	5	5
что эта	3	2
тем не	2	2
материал для	3	3
также и	2	9
и те	2	2
обстоятельство что	4	3
в числе	2	2
что они	2	7
то же	2	5
бахчисарайского фонтана	11	5
а также	2	2
как бы	5	4
сам пушкин	3	2
сих пор	5	7
что в	19	30
за то	3	3
в этом	21	21
пушкина является	2	3
ни с	2	3
того же	2	3
пушкина и	9	13
очень большое	2	2
дело в	4	6
в то	2	9
т е	10	15
и вообще	2	3
так как	2	5
у пушкина	12	8
как раз	8	4
в статье	2	7
в тех	2	3
было бы	5	17
в рукописи	2	4
то обстоятельство	4	2
в самом	7	7
случае не	2	2
тем же	2	3
таким образом	10	7
в печати	4	5
в печатном	4	3
своего рода	5	3
ни одного	3	2
до сих	6	7
к сожалению	2	3
борису годунову	3	2
по этому	2	3
на то	2	4
вовсе не	6	19
вопрос о	6	4
на вопрос	3	4
все эти	2	5
например в	3	8
к пушкину	3	2
очень мало	2	3
как это	2	4
внимание на	4	3
вряд ли	3	5
т п	3	9
между прочим	12	2
сочинений пушкина	5	28
не в	4	12
самого пушкина	3	5
достаточно для	2	2
так например	7	7
у нас	3	11
но все	7	4
такого рода	2	2
но также	4	9
и не	9	16
может быть	2	15
даже в	2	3
пушкина на	4	3
ни в	3	3
только с	2	2
и сейчас	3	4
по словам	4	4
на самом	3	6
нового академического	2	2
о том	17	17
и чернышев	10	66
в россии	3	4
в этой	2	11
при помощи	4	2
по существу	2	2
я не	7	7
совершенно не	2	5
пушкина как	3	6
в себе	2	2
в автографе	2	2
что у	4	4
этом отношении	9	7
только в	2	10
но и	19	10
в другом	4	3
не является	3	3
дело не	2	4
в истории	2	3
не по	2	3
того чтобы	6	11
из них	3	8
не имеет	2	4
и сам	2	2
бориса годунова	74	15
что и	2	6
и более	2	2
в этих	3	2
для того	7	10
и чернышева	2	41
как в	3	13
мере в	2	2
должно было	3	2
которая была	2	2
идет о	3	2
то что	11	18
как и	2	9
т д	6	21
потому что	9	6
в которой	11	4
пушкина для	2	5
если не	2	2
свободен от	2	2
в области	2	14
в пользу	3	2
в борисе	28	2
и это	2	2
в и	13	130
что этот	2	2
говорит о	2	3
с этой	2	3
отметить что	2	2
и его	6	8
самом деле	3	11
подчеркнуть что	3	2
это слово	3	4
он не	9	2
не может	2	8
еще более	4	4
в г	7	3
в его	13	9
и я	2	3
в той	5	6
не только	19	18
к борису	3	2
и речи	2	2
том что	27	29
в какой	2	3
раз в	2	2
пушкина в	18	24
на этот	2	3
во время	2	3
а как	4	2
для которых	2	2
в каком	2	3
издания сочинений	2	6
в словаре	2	3
того времени	4	5
тем что	3	5
а не	5	16
же как	3	3
и даже	3	5
пушкинское время	2	2
годунова в	4	2
в ней	7	3
кажется что	3	3
во всяком	3	6
тому что	7	3
это очень	2	3
пушкина но	4	8
г в	5	5
не было	3	4
но с	4	3
в котором	7	5
этому поводу	2	2
в конце	2	3
пушкина с	7	3
хотя бы	3	6
что на	3	2
ничего не	4	2
еще и	3	2
в начале	3	3
всяком случае	3	6
там где	2	5
в том	27	36
а с	3	3
пушкина над	4	2
русского языка	3	2
другом месте	2	2
но в	8	10
и что	6	4
конечно и	2	3
говорит об	2	2
с другой	4	9
но он	3	2
времени не	2	4
и по	3	5
сказать что	2	7
все же	6	8
академического издания	4	30
в частности	4	4
