3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram
одной стороны и	2	2
на то что	6	4
во всяком случае	6	3
по сравнению с	5	3
для того чтобы	10	5
ступень в развитии	3	3
в собственном смысле	3	7
о том что	4	3
в истории развития	2	7
том что ребенок	3	3
в отличие от	3	2
смысле этого слова	3	7
с таким образом	3	3
друг с другом	2	7
заключается в том	7	14
на всем протяжении	2	2
речь идет о	2	3
мы могли бы	4	9
с помощью которого	2	2
в том что	21	31
как мы уже	3	3
в следующем виде	2	2
в этом отношении	3	7
подобно тому как	2	2
мы уже говорили	3	2
в самом деле	4	6
с точки зрения	18	11
как уже сказано	2	4
то же самое	2	7
развитии детского мышления	5	8
в данном случае	3	2
в высшей степени	7	2
а с другой	4	2
можно было бы	5	5
том числе и	3	2
с одной стороны	7	9
в связи с	6	3
в развитии детского	5	9
в этом смысле	2	8
в том чтобы	4	2
развития детского мышления	7	10
мы видим в	2	2
мы видели что	3	2
состоит в том	3	3
в том числе	3	2
