3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram
одной стороны и	2	2
на то что	4	6
во всяком случае	3	6
по сравнению с	3	5
для того чтобы	5	10
ступень в развитии	3	3
в собственном смысле	7	3
о том что	3	4
в истории развития	7	2
том что ребенок	3	3
в отличие от	2	3
смысле этого слова	7	3
с таким образом	3	3
друг с другом	7	2
заключается в том	14	7
на всем протяжении	2	2
речь идет о	3	2
мы могли бы	9	4
с помощью которого	2	2
в том что	31	21
как мы уже	3	3
в следующем виде	2	2
в этом отношении	7	3
подобно тому как	2	2
мы уже говорили	2	3
в самом деле	6	4
с точки зрения	11	18
как уже сказано	4	2
то же самое	7	2
развитии детского мышления	8	5
в данном случае	2	3
в высшей степени	2	7
а с другой	2	4
можно было бы	5	5
том числе и	2	3
с одной стороны	9	7
в связи с	3	6
в развитии детского	9	5
в этом смысле	8	2
в том чтобы	2	4
развития детского мышления	10	7
мы видим в	2	2
мы видели что	2	3
состоит в том	3	3
в том числе	2	3
