3gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_3gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_3gram
в наше время	2	2
в романе идиот	4	3
по сути дела	3	3
записках из подполья	2	3
о том что	5	2
у достоевского в	3	3
с там же	2	9
в соответствии с	3	4
там же с	2	9
назиров р г	2	2
преступления и наказания	4	2
в одной из	2	2
по крайней мере	2	2
м м бахтин	6	4
по нашему мнению	5	4
в том что	6	2
л п гроссман	2	2
в преступлении и	4	10
в романах достоевского	13	12
в то же	13	7
в скверном анекдоте	3	4
и в то	2	2
и т п	2	2
в творчестве достоевского	4	4
достоевского м с	2	3
в записках из	3	3
то же время	12	7
преступлении и наказании	3	10
записки из подполья	6	2
