2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
не обязательно	2	3
связи с	3	5
так же	5	9
к нему	3	3
без всякой	2	2
которая является	4	2
являются символами	2	3
в данном	6	9
как символ	6	6
того или	3	2
и понятие	4	2
есть символ	11	14
к тому	3	3
перед нами	13	5
есть отражение	5	2
для нас	6	5
о которых	2	3
в результате	8	2
с этим	4	3
и как	3	6
едва ли	10	2
точки зрения	14	3
же самое	6	9
от нас	2	3
именно символ	4	2
нет и	2	2
что они	2	3
что символ	4	13
сказать о	3	2
как бы	4	14
что в	3	12
уже не	5	3
в жизни	3	3
этом смысле	3	6
кроме того	4	2
для символа	2	6
но как	3	6
никак не	4	4
тех или	4	3
и о	5	8
учения о	2	2
имеет ничего	2	2
есть ни	2	5
с другими	3	2
было бы	14	8
только на	2	4
таким образом	8	6
а в	4	4
однако не	4	3
или вернее	2	3
по этому	2	3
медного всадника	3	2
в других	2	5
но только	2	2
у нас	14	14
всех этих	6	7
и другое	3	2
с собой	3	2
в связи	3	4
в себе	12	15
является не	2	2
что здесь	6	3
только в	23	7
не будем	2	2
уже давно	4	2
не имеет	4	2
само собой	3	2
не то	2	2
символ или	2	2
или иной	13	5
только для	3	3
а это	3	2
если не	3	4
и это	2	9
есть именно	2	5
говорит о	2	3
сливаются в	3	3
более или	2	3
и его	10	3
и только	4	4
не может	5	8
он не	2	3
не есть	12	29
говоря уже	2	2
и если	5	6
по себе	11	15
со всеми	2	2
и тем	7	13
содержит в	8	7
в них	5	7
тем что	3	7
объективного мира	2	3
хотя и	5	6
а только	6	5
функции в	2	4
в котором	2	5
единичного и	2	3
не существует	5	6
нас выше	3	2
в том	20	9
символа мы	3	7
известного рода	5	3
но в	8	14
под него	2	2
символа от	2	3
является символом	6	4
в понятии	2	2
все равно	3	5
самой же	2	2
и ее	4	8
мы имеем	6	2
вообще не	3	2
как будто	11	3
что это	2	3
его в	2	6
так и	10	12
об этом	6	10
с точки	11	3
в ее	5	3
говорить о	2	6
и в	20	32
не будет	2	2
вместе с	5	2
в качестве	10	2
здесь не	7	7
ли сказать	2	2
другой стороны	6	3
все это	9	7
при этом	6	6
то в	2	5
в сознании	3	5
и с	7	2
и ни	5	4
уже в	4	3
не являются	2	5
она является	2	2
да и	5	3
что мы	3	13
и уж	2	2
в символе	6	17
же и	3	3
что он	8	7
этого понятия	2	2
также и	13	11
с тем	4	5
в этом	9	19
и вполне	5	3
в это	2	2
это есть	3	9
здесь в	5	3
символ и	8	8
еще не	7	9
в то	4	6
символа и	8	9
что иное	2	2
у пушкина	3	2
как раз	4	13
и начала	2	2
в самом	2	6
