3gram	Losev_VladivirSolovjev_partition_part1_wordlist_3gram	Losev_VladivirSolovjev_partition_part3_wordlist_3gram
для вл соловьева	8	7
работы вл соловьева	4	2
в конце концов	5	3
вл соловьев был	4	7
на то что	2	4
вл соловьева с	6	5
с м указ	2	4
вл соловьева не	6	6
во всяком случае	3	2
сам вл соловьев	7	7
еще и сейчас	2	2
о том что	8	7
у вл соловьева	42	13
там же с	6	10
то что вл	4	3
и то что	4	4
вл соловьева но	4	3
вл соловьевым в	2	3
к вл соловьеву	2	4
кризис западной философии	4	2
а вл соловьев	2	2
критика отвлеченных начал	6	2
в те времена	5	5
вл соловьева в	8	15
в том что	10	7
соловьев никогда не	6	2
что же касается	5	4
на вл соловьева	2	3
в то время	4	2
вл соловьева о	5	4
жизни вл соловьева	2	4
по вл соловьеву	8	2
вл соловьева и	10	6
в те годы	2	3
к тому же	5	2
вопросы философии и	2	2
л м лопатин	7	8
в то же	3	4
тем не менее	9	2
что вл соловьев	17	9
самого вл соловьева	4	3
вл соловьев и	11	3
м указ соч	2	4
в году в	3	2
вл соловьев в	7	8
как раз и	5	2
философии и психологии	2	4
и потому что	2	3
также и то	3	2
вл соловьев не	2	2
с другой стороны	2	3
и в то	2	2
в истории философии	3	2
же с ]	5	7
еще и потому	2	2
том что в	3	3
вл соловьев никогда	7	2
на первый план	2	2
дело в том	5	4
только в году	2	2
вл соловьевым и	2	3
не может быть	6	3
вл соловьева то	8	3
вл соловьев всегда	2	3
вл соловьева к	3	3
в этом смысле	3	4
но даже и	2	2
с вл соловьевым	4	4
то же время	2	4
л м лопатина	2	6
вл соловьева как	10	2
более или менее	5	3
что и в	3	2
т i с	2	2
