3gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_3gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_3gram
подобно тому как	2	2
еще в году	2	2
с одной стороны	2	6
в хх веке	5	4
в то же	5	9
с точки зрения	2	3
между я и	2	3
культура авторитарного сознания	2	2
тем не менее	2	2
в е годы	2	2
в конечном счете	4	5
на наш взгляд	5	3
по отношению к	2	3
в русской литературе	3	2
о том что	2	2
в том что	11	5
то же время	5	9
в данном случае	4	3
не говоря уже	2	2
состоит в том	5	4
в этом отношении	2	3
