3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
а не просто	3	2
в чистом виде	2	3
взятые сами по	4	2
в каком случае	2	3
и то что	7	7
тоже нечто значит	2	2
так как иначе	4	3
на самом деле	2	2
заключается в том	3	2
что знак есть	3	3
но никак не	3	2
в настоящее время	2	16
не есть ни	3	3
или по крайней	4	3
того или иного	3	5
то или иное	2	2
и в этом	6	3
не имеет ничего	3	2
только то что	2	3
как раз и	4	4
с другой стороны	5	5
можно было бы	3	2
в языкознании и	2	3
между знаком и	2	5
само по себе	3	2
не может быть	5	3
есть не что	4	3
в конце концов	3	7
всякий знак есть	3	5
не есть просто	2	2
то есть в	3	2
о том что	3	14
как будто бы	3	5
та или иная	3	2
бы то ни	4	2
и вовсе не	4	4
не что иное	4	3
есть нечто более	2	2
не только в	2	2
знаком и символом	2	2
уж во всяком	3	2
в то же	4	4
содержит в себе	3	2
сами по себе	6	2
тем не менее	10	12
имеет ничего общего	3	2
что всякий знак	4	3
ничего общего с	2	2
имеется в виду	4	2
на первый план	2	3
еще не есть	2	2
в связи с	7	5
точно так же	3	3
никак не может	2	2
друг от друга	2	2
вовсе не есть	8	10
самостоятельное значение и	3	2
той или другой	4	4
во всяком случае	6	10
же самое время	4	4
то такого рода	2	2
да и то	2	2
сама по себе	8	4
что такое знак	2	5
что же такое	3	4
у нас не	2	2
то это значит	2	2
и в частности	2	3
в том что	9	4
необходимо сказать что	2	5
ни в каком	4	4
в таком случае	4	10
знаковой теории языка	2	8
того или другого	3	2
это значит что	2	3
но и в	2	3
в данном случае	7	5
можно сказать что	2	3
и ни в	2	2
не просто как	2	3
от знака к	2	2
том или ином	2	2
не имеет никакого	3	2
вовсе не является	2	3
по крайней мере	5	6
если мы возьмем	2	2
когда мы говорим	3	2
даже и не	4	2
то же самое	7	5
в этом случае	5	7
также и то	4	2
даже и в	2	3
и т д	13	6
что иное как	4	3
может быть и	3	2
до сих пор	2	4
