2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram
прав когда	2	5
связи с	2	2
о смерти	5	5
эти три	2	2
понятно что	3	2
никогда не	5	9
как все	4	2
так же	13	13
утверждает что	4	2
пор пока	2	2
со стороны	2	3
и та	2	2
к тому	12	8
перед нами	6	2
для нас	7	3
времени и	2	3
о которых	2	2
в результате	2	4
с этим	5	2
и как	5	7
самого начала	5	3
с совершенно	4	2
точки зрения	6	7
едва ли	2	2
же самое	6	5
говорит что	10	6
что они	6	5
в целом	5	5
как бы	25	19
и говорит	3	3
что в	21	24
совершенно верно	6	4
и уже	4	3
никак не	6	6
той же	4	3
и о	4	3
заставляет нас	2	3
было бы	12	5
к самому	2	2
таким образом	13	20
а в	4	4
что если	3	6
или вернее	2	2
ни одного	2	2
жизни и	4	6
у нас	4	4
для нашей	2	2
что эти	2	2
как она	10	4
и другое	2	2
у шекспира	2	6
все то	12	2
образом что	2	3
мы никогда	3	2
напротив того	2	2
легко показать	3	3
аффективное противоречие	2	2
характера и	8	2
по существу	2	2
это делает	2	2
нам кажется	2	2
в себе	6	5
только в	4	5
в искусстве	2	6
мы увидим	2	9
и это	5	8
говорит о	4	4
что самое	5	2
и его	5	6
и только	7	3
до конца	7	2
не может	10	9
он не	11	3
могли бы	2	4
и если	9	6
по себе	9	7
как только	2	4
а как	2	2
в них	2	4
дело и	2	3
тем что	3	6
в котором	2	2
в том	21	27
но в	2	5
гамлета и	8	2
но он	6	3
все же	5	7
в частности	4	4
мы имеем	2	8
как будто	8	6
что это	13	8
действия и	2	4
в словах	2	2
так и	3	3
об этом	4	3
из этого	5	2
с точки	4	2
в ее	2	3
в одной	2	2
и в	33	30
стороны он	2	2
не можем	3	4
вместе с	8	12
исходя из	4	2
должен был	3	4
другой стороны	2	5
все это	13	2
при этом	2	8
верно что	2	3
знаем что	4	2
этот вопрос	4	4
и с	2	2
уже в	2	6
что мы	6	11
фабулы и	5	2
что он	20	17
с тем	4	8
все события	3	2
в этом	28	14
должно быть	3	2
мы получим	3	2
героя и	2	7
видим что	2	3
этот закон	2	2
в их	2	3
но мы	2	2
в то	3	2
как раз	9	13
в самом	12	14
и до	3	2
это и	5	2
будем иметь	2	2
до сих	3	5
конце концов	3	2
во всех	2	2
т п	3	3
бы по	2	2
так например	4	3
себе и	2	2
и не	13	6
показать что	7	12
и наконец	2	3
в трагедии	10	15
мы можем	5	7
в одном	3	2
на самом	6	2
с самого	5	3
совершенно не	4	6
трагедии в	2	3
что касается	2	2
и когда	2	9
но и	3	6
того чтобы	22	20
двух противоположных	2	6
зрителя и	2	2
при таком	3	3
казалось бы	5	4
для того	23	20
материала и	2	5
увидим что	3	9
потому что	24	23
в которой	4	3
только не	2	5
тех пор	2	2
когда он	7	5
в его	10	4
бы сказать	2	2
в той	3	3
можно сказать	2	2
в каком	8	3
в своих	3	5
которые конечно	2	2
мы все	3	6
же как	3	2
мы не	5	3
одной и	2	2
указывает на	3	4
из которых	3	4
в ней	6	4
что именно	3	5
мы сейчас	2	3
и совершенно	5	4
том чтобы	4	2
для чего	4	2
это в	4	3
а с	2	5
и почему	2	2
художественной формы	4	3
с такой	2	4
в нем	7	7
можно было	4	3
что она	10	6
в своей	4	4
что ни	2	3
это не	6	3
мнение толстого	2	2
прежде всего	2	4
на сцене	3	2
одна из	4	3
но не	3	7
и ясно	2	2
то есть	13	13
если бы	10	11
тот же	3	3
и т	6	7
и так	4	2
что оно	3	6
именно в	2	6
у него	6	3
такое понимание	2	2
так что	7	3
в таком	4	3
дело с	3	5
во всем	2	2
на этом	3	6
в нее	2	2
с одной	3	12
самого гамлета	3	2
совершенно ясно	8	7
что шекспир	7	4
стоит только	2	5
это совершенно	3	2
и для	3	6
понять как	2	2
и той	2	2
вопрос о	2	3
нет ни	3	2
если мы	12	16
друг с	4	3
мы видим	6	8
что поэт	2	3
полагает что	5	3
в основу	3	4
мы должны	6	3
не является	2	2
для этого	8	9
что трагедия	5	3
