3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram
в свою очередь	3	3
по сравнению с	5	5
для того чтобы	15	14
не в состоянии	2	4
вместо того чтобы	2	3
о том что	6	4
в сущности говоря	2	4
в зависимости от	2	2
пороге школьного возраста	2	4
на пороге школьного	2	4
в такой же	3	3
друг с другом	4	7
в другом месте	6	4
заключается в том	6	5
в теории пиаже	3	2
то время как	4	4
на этот вопрос	2	4
на всем протяжении	2	2
именно в этом	2	2
и в частности	2	2
того факта что	2	2
по отношению к	7	12
мы могли бы	5	6
в том что	15	11
в то время	5	4
для современной психологии	3	2
от того что	2	2
вместе с тем	5	2
связей и отношений	2	3
в этом отношении	4	5
том что он	2	2
в самом деле	2	2
на вопрос о	2	3
с точки зрения	18	9
с самого начала	8	5
является то что	2	2
из того что	5	4
то же самое	3	4
такой же мере	3	3
можно сказать что	4	5
в известном смысле	2	7
с другой стороны	9	2
том что в	2	2
в высшей степени	4	2
можно было бы	3	3
а с другой	2	2
мы не станем	4	2
ответ на этот	2	2
таким образом что	3	2
с одной стороны	8	3
в школьном возрасте	3	18
друг от друга	3	4
не может быть	5	3
так же как	5	7
развития научных понятий	2	2
до сих пор	4	3
могли бы сказать	2	2
