2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram
большей частью	2	2
прав когда	2	3
и ее	2	2
далеко не	3	3
такой же	2	2
с такой	2	5
из этих	2	3
как все	4	2
никогда не	5	4
как будто	8	4
так же	13	2
что это	13	10
мы в	3	2
в нем	7	4
как на	6	3
окончание на	2	2
его в	3	3
больше чем	2	4
из этого	5	8
действия и	2	2
речь идет	3	4
с точки	4	9
что она	10	16
в своей	4	5
одно из	2	2
в ее	2	7
нами в	2	2
со стороны	2	2
в одной	2	2
и та	2	2
и в	33	38
одна из	4	4
но если	3	4
в русской	2	2
не можем	3	4
вместе с	8	5
если бы	10	14
то есть	13	15
тот же	3	3
к тому	12	6
она не	3	6
и т	6	14
перед нами	6	8
для нас	7	8
должен был	3	2
с необычайной	2	3
в такой	2	3
что оно	3	2
другой стороны	2	5
на тему	2	3
все это	13	3
при этом	2	4
у него	6	4
о которых	2	9
и затем	3	2
с этим	5	8
со всей	2	3
их в	3	2
и как	5	8
самого начала	5	6
того что	4	4
и дает	2	2
едва ли	2	3
точки зрения	6	16
приглядеться к	2	2
совершенно иначе	3	2
же самое	6	10
что он	20	11
в своем	7	5
столь же	2	2
так что	7	8
говорит что	10	8
и эти	2	2
была бы	2	2
что эта	6	4
совершенно в	2	2
надо было	2	2
он все	3	2
что они	6	4
с тем	4	8
место в	2	3
в целом	5	4
в таком	4	3
совершенно другой	2	3
на этом	3	5
то же	9	10
к этому	4	3
как бы	25	14
что автор	4	2
представляет собой	2	2
сих пор	3	5
что в	21	20
в которых	3	6
в этом	28	13
в нее	2	2
видим что	2	8
и конечно	2	3
и уже	4	2
с одной	3	6
все они	2	2
совершенно ясно	8	13
здесь в	3	2
никак не	6	7
лежит в	2	2
и этот	3	3
стоит только	2	3
той же	4	2
сам себя	2	2
и о	4	3
могла бы	4	3
но мы	2	2
эти слова	3	2
в то	3	3
то как	2	2
и для	3	4
так как	12	6
и мы	15	13
как раз	9	8
заставляет его	4	2
в тех	2	4
заставляет нас	2	2
же точно	7	2
было бы	12	12
к самому	2	2
в самом	12	25
смысле этого	3	2
содержание рассказа	2	2
и той	2	2
таким образом	13	12
рассказа и	10	2
а в	4	7
однако мы	2	3
что если	3	4
эти события	3	2
либо в	4	2
ее в	4	4
которые с	2	2
или вернее	2	2
до сих	3	6
на то	10	16
вовсе не	5	8
как мы	4	7
все эти	6	4
например в	3	2
могло бы	3	2
как это	14	6
самого конца	2	2
он видит	3	2
внимание на	2	2
обратиться к	3	4
во всех	2	4
т п	3	5
если мы	12	6
не в	2	12
так например	4	2
этот рассказ	2	3
у нас	4	2
только этой	2	2
что эти	2	4
мы видим	6	12
и не	13	10
всех этих	3	2
что поэт	2	2
и другое	2	4
полагает что	5	3
может быть	22	19
всякий раз	6	3
ни в	3	3
в виде	3	2
и наконец	2	2
показать что	7	7
какой мере	2	2
конечно не	3	4
и все	12	10
ли это	3	2
мы можем	5	7
все то	12	7
на самом	6	2
в одном	3	8
о том	20	6
напротив того	2	6
легко показать	3	6
аффективное противоречие	2	3
по существу	2	2
при помощи	4	4
в этой	9	13
с самого	5	6
совершенно не	4	5
я не	4	5
в себе	6	4
мы читаем	2	2
и к	2	3
на примере	2	2
что у	4	7
не просто	4	2
только в	4	4
но и	3	5
и когда	2	5
что не	4	3
для этого	8	2
нас совершенно	2	3
того чтобы	22	9
двух противоположных	2	5
из нее	3	2
то время	2	2
из них	4	6
когда мы	6	2
при таком	3	2
не имеет	2	6
ясно что	5	6
не то	4	4
сам автор	2	3
что и	3	4
казалось бы	5	5
для того	23	8
как в	3	4
идет о	3	4
то что	44	35
как и	5	8
увидим что	3	9
т д	2	4
мы увидим	2	12
потому что	24	14
бы не	2	3
что все	11	3
в которой	4	5
конечно же	2	2
один из	2	6
том как	3	2
и это	5	8
очень легко	4	4
что этот	3	4
и здесь	3	6
говорит о	4	2
был бы	3	3
с этой	4	2
в двух	4	9
и его	5	6
и только	7	3
когда он	7	4
до конца	7	2
чтобы он	2	2
самом деле	12	21
не может	10	7
он не	11	6
истинный смысл	2	2
могли бы	2	5
в его	10	5
и то	2	8
и если	9	6
с ним	5	2
в той	3	5
заключается в	5	7
не только	7	12
том что	22	14
впечатление от	2	2
мы уже	5	7
как только	2	3
раз в	7	4
та же	3	3
этого рассказа	12	2
в них	2	3
в своих	3	4
быть не	2	2
мы все	3	4
мы могли	2	4
в виду	2	4
тем что	3	3
который говорит	3	2
смысл и	4	4
мы не	5	5
одной и	2	2
этого слова	3	2
указывает на	3	6
в ней	6	15
все те	2	2
из которых	3	4
а не	6	7
то это	3	2
целый ряд	5	2
и на	5	6
что именно	3	2
с но	3	2
думать что	2	2
во всяком	3	2
есть только	2	2
тому что	6	6
с той	2	4
который не	2	4
нам в	2	2
с ее	3	2
что его	3	2
только что	15	2
в котором	2	6
и совершенно	5	4
в самой	6	4
в конце	8	2
он говорит	3	6
хотя бы	2	2
он может	2	2
ничего не	2	2
если он	2	4
сущности говоря	2	7
все время	24	30
в основе	3	3
к этой	3	2
всяком случае	3	2
одной стороны	3	5
до самого	2	2
в том	21	25
а с	2	2
иначе говоря	2	5
но в	2	3
здесь мы	3	4
и что	25	18
с другой	2	7
и вот	6	2
но он	6	2
в сущности	6	10
время как	2	4
сказать что	13	4
все же	5	8
и может	5	2
в какой	5	5
