3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram
одно и то	5	2
в свою очередь	3	6
точно так как	6	4
для того чтобы	3	2
и может быть	2	2
как бы ни	2	3
по мере того	3	4
сам по себе	5	4
сама по себе	2	2
смысле этого слова	7	3
так и в	2	2
только потому что	2	2
можно думать что	2	2
то есть не	4	3
не в том	5	2
не заключает в	2	2
по крайней мере	5	5
мы не можем	2	3
то что мы	2	2
в том что	16	7
не могут быть	2	3
в то время	4	4
от того что	5	4
не только по	3	2
в таком случае	2	2
подобно тому как	2	4
в то же	5	2
humboldt т с	14	10
тем не менее	3	5
лишь настолько насколько	3	2
lotze т с	2	6
а между тем	2	4
только тогда когда	7	2
с другой стороны	4	2
и т п	2	3
само по себе	3	2
с одной стороны	3	3
и т д	3	3
заключает в себе	5	4
не может быть	3	2
но тем не	2	3
в том смысле	3	4
более или менее	3	8
то же время	5	2
до сих пор	3	4
мере того как	3	4
и то же	5	2
