3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
самого начала что	2	2
самой своей природе	2	4
для того чтобы	14	8
не в состоянии	4	2
в процессе обучения	5	7
то что он	2	2
в сущности говоря	4	4
как показывает исследование	2	6
и то что	2	2
заключается в том	5	5
то время как	4	5
не иначе как	2	4
его отношение к	2	2
из того что	4	3
общности между понятиями	2	14
иное отношение к	3	2
с другой стороны	2	2
можно было бы	3	5
ступени в развитии	2	2
потому что он	5	4
не может быть	3	2
научных понятий в	3	5
развития научных понятий	2	5
могли бы сказать	2	2
обучение и развитие	8	4
то что ребенок	3	6
отношение к объекту	5	2
что научные понятия	3	4
вместо того чтобы	3	2
родного языка и	4	3
высших психических функций	5	2
друг с другом	7	5
умственного развития ребенка	5	2
на этот вопрос	4	2
целиком и полностью	2	2
в силу одного	2	2
в то время	4	6
вместе с тем	2	2
в дошкольном возрасте	2	3
и письменной речи	4	2
он не умеет	2	3
мы не станем	2	2
в школьном возрасте	18	8
как частный случай	2	3
понятий в школьном	3	2
состоит в том	3	2
на высшую ступень	5	2
в этом возрасте	4	3
обучения и развития	11	5
по сравнению с	5	14
усвоение иностранного языка	3	8
если верно что	2	2
между обучением и	12	5
системе отношений общности	2	2
в зависимости от	2	5
исследование показывает что	3	5
именно в этом	2	2
по отношению к	12	10
в том что	11	19
в этом отношении	5	3
не только не	3	2
развитием научных понятий	2	2
и житейских понятий	4	5
с точки зрения	9	10
с самого начала	5	7
можно сказать что	5	6
и того же	3	4
в своем развитии	4	4
именно потому что	2	2
так же как	7	6
одного и того	3	4
письменной речи и	2	3
ступень в развитии	2	4
и научных понятий	2	7
устной и письменной	3	2
мы могли бы	6	9
как мы видели	2	4
по самой своей	2	4
от того что	2	6
осознанность и произвольность	2	2
что обучение и	3	2
то же самое	4	6
обучением и развитием	11	5
в этом случае	3	2
исследования показали что	4	3
научных и житейских	4	5
и не может	2	2
до сих пор	3	3
