3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part1_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part2_wordlist_3gram
в своей книге	2	2
в известной мере	3	3
в значительной степени	2	2
в романе рабле	4	2
нужно сказать что	3	4
в свое время	3	2
но все же	2	2
или меньшей степени	3	4
в большей или	3	4
отношение к времени	3	3
смеховой культуры средневековья	5	7
большей или меньшей	3	4
народной смеховой культуры	7	21
как мы уже	3	5
в этом отношении	3	3
xvii и xviii	2	2
мы уже говорили	5	7
с точки зрения	5	3
его связь с	2	2
протяжении всего средневековья	2	2
сих пор еще	2	3
но и в	4	2
с одной стороны	3	2
в эпоху возрождения	2	3
в средние века	8	4
в xvii веке	10	2
вполне понятно что	2	2
до сих пор	4	4
на протяжении всего	5	2
