2gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_2gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_2gram
для них	2	3
между тем	3	7
мы имеем	6	4
связи с	2	4
далеко не	4	3
к таким	2	3
а иногда	2	4
из этих	2	4
многие другие	2	2
вс миллер	2	3
на ивана	6	3
в этот	10	10
не совсем	2	4
что это	3	3
же а	2	2
так же	4	3
что она	3	2
одно из	2	5
это делалось	4	6
об этом	2	9
это не	5	10
после того	2	2
с в	8	4
в свете	3	2
другие праздники	2	5
и в	29	36
одна из	11	4
но не	5	2
в шейн	10	7
иногда и	2	5
не можем	2	3
вместе с	6	10
праздник в	2	2
на украине	2	3
еще в	2	4
в качестве	3	3
она не	3	2
xix в	3	13
многих случаях	2	2
должна была	5	2
к жизни	5	3
шейн №	2	10
для нас	6	6
и т	5	10
это время	2	2
кладут на	2	2
следующим образом	5	4
все это	10	6
при этом	6	6
у русских	4	8
на урожай	2	2
снегирев iii	8	6
а макаренко	2	6
i ч	9	3
этот вопрос	2	2
и м	8	14
в советское	3	2
с этим	2	2
и с	10	2
и п	13	16
и другие	14	13
в аничков	5	5
переход от	2	2
ивана купалу	6	4
и как	2	2
того что	3	4
того как	2	5
не менее	2	3
к зеленин	3	5
показывает что	8	5
так что	4	2
после этого	2	4
или на	8	3
главным образом	3	2
тем не	2	3
и чичеров	2	13
сахаров ii	12	9
сообщает из	15	3
с тем	6	8
то же	4	3
на этом	3	3
к этому	5	4
а также	4	3
как бы	18	5
калинский пишет	2	2
представляет собой	2	4
п сахаров	7	5
что в	22	19
во многих	9	5
уже не	4	6
к ней	2	2
по нескольку	2	2
тем и	2	2
в этом	11	12
п в	12	13
другие сроки	3	6
обрядовых празднеств	2	2
в другие	4	8
в году	3	2
на троицу	2	7
том же	4	2
природы и	2	2
о чем	4	3
в xix	3	10
в семик	2	2
и многие	2	2
саратовской губернии	3	4
в их	2	4
еще не	6	4
связанные с	2	3
и для	2	2
нас к	3	2
т е	24	17
исконный смысл	3	3
поле и	4	2
что иное	2	2
этом случае	6	5
видно что	2	6
так как	13	15
в максимов	8	3
советское время	3	2
как уже	2	4
вокруг этого	2	2
пели песни	2	2
с ней	5	2
этого обряда	2	3
таким образом	6	6
а в	9	9
песни и	4	3
в которых	4	5
этот обряд	6	3
тогда как	2	2
по этому	2	3
как мы	3	10
представляют собой	7	7
все эти	3	2
в других	15	11
как можно	2	2
в некоторых	9	4
этот день	10	10
как это	4	8
во всех	3	4
связь между	2	2
в фольклоре	4	2
у нас	4	8
в честь	3	3
полагает что	2	6
а а	8	25
между собой	2	2
может быть	13	8
в поле	19	3
чтобы они	2	2
в виде	4	6
д к	3	8
кн vii	12	8
состоит в	15	8
на самом	2	2
о том	9	8
так в	2	4
этот обычай	4	11
по существу	4	4
н афанасьев	3	4
е в	10	8
приводит нас	2	2
в день	7	6
иное как	2	2
м снегирев	7	9
вывод что	2	3
не с	2	3
но и	8	16
не будем	3	3
не что	2	2
для этого	5	2
там же	12	5
в сибири	2	2
по домам	3	3
из них	4	8
не имеет	3	6
представление о	5	3
в этих	3	3
что и	2	7
как в	7	5
на семик	3	3
должно было	3	2
с религией	2	2
смоленской губернии	4	2
в последний	3	2
то что	5	6
как и	11	10
потому что	5	10
нас не	2	2
т д	5	9
это показывает	3	2
в течение	2	5
на масленицу	8	14
один из	2	8
будто бы	5	6
в и	3	17
шейн i	9	6
в разные	2	2
и пр	2	2
в земле	4	2
пишет в	3	3
в целях	2	3
как например	3	3
это имеет	2	2
до конца	3	2
в дом	8	2
не может	5	4
в г	2	4
связаны с	3	3
в образе	2	2
чем в	2	2
на могилах	2	8
сообщает что	8	4
не только	10	22
а н	3	18
том что	22	19
та же	2	2
что по	4	4
на себя	2	2
во время	12	14
в пищу	2	3
воздействовать на	2	2
в них	4	6
говорится что	4	3
в своих	2	2
могут быть	2	2
тем что	3	4
а не	4	2
их в	4	3
мы не	6	6
и других	3	7
должны были	2	2
и на	6	10
не было	2	2
новый год	3	25
эти представления	4	2
этому поводу	2	2
на новый	3	2
уже указывалось	2	3
других местах	8	3
к весне	2	2
или в	7	2
предположить что	4	2
что на	2	4
и по	3	8
в песнях	3	2
снегирев сообщает	4	3
начиная с	2	3
но она	2	2
после чего	2	2
п калинский	4	5
там где	2	2
в том	22	17
а с	2	4
не объясняет	3	2
и другой	3	3
этого праздника	2	3
но в	5	2
что от	3	2
и что	5	4
на святках	5	11
а терещенко	4	3
а и	2	5
снегирев ii	2	8
и обрядов	2	6
ii кн	12	8
обычаев и	2	2
все же	2	5
также в	2	3
